weight_class,f1_reach,f1_stance,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_stance,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
10,70.0,4,0.6,55,2.45,62,185.0,72.0,4,0.9,25,1.62,47,170.0,41,17,0,31,12,0,24,25,72,70
10,73.0,2,0.4,48,2.46,64,170.0,72.0,2,0.5,33,0.5,64,170.0,19,10,0,5,3,0,29,31,70,72
10,70.0,2,2.2,35,1.3,30,155.0,72.0,2,1.0,59,5.27,59,170.0,41,16,0,19,8,0,27,24,70,70
10,70.0,4,1.4,48,1.6,47,170.0,70.0,4,0.0,66,0.75,75,170.0,20,9,0,50,27,7,33,34,70,70
5,72.0,2,0.0,14,0.9,0,205.0,72.0,2,1.0,50,0.33,57,205.0,16,8,0,16,7,0,0,30,72,71
7,73.0,2,0.9,26,0.44,55,185.0,74.0,2,0.8,30,0.58,52,170.0,17,7,0,25,11,0,22,26,74,73
10,70.0,2,2.5,50,0.46,57,170.0,70.0,2,0.9,63,3.76,67,170.0,44,16,2,22,11,0,32,25,70,68
10,71.0,4,2.0,34,2.67,43,170.0,73.0,4,0.3,48,1.65,63,170.0,33,6,0,34,10,2,29,22,71,71
7,72.0,2,4.0,60,3.0,0,170.0,74.0,2,2.1,100,0.31,30,185.0,6,1,0,15,5,0,0,21,72,74
5,76.0,2,0.0,75,0.44,81,205.0,74.0,2,0.6,35,2.47,54,205.0,21,8,0,17,11,1,37,31,74,75
5,77.0,2,0.7,48,1.05,57,205.0,76.0,2,0.7,45,1.18,62,185.0,19,7,0,17,10,2,27,31,75,74
7,80.0,2,2.0,16,1.43,35,185.0,74.0,4,0.8,41,1.14,53,185.0,26,16,0,22,11,0,31,26,75,71
4,76.0,2,1.6,7,0.53,37,232.0,77.0,2,0.3,36,0.52,79,240.0,7,3,0,28,19,0,28,27,76,75
5,75.0,2,0.3,43,1.05,63,185.0,75.0,2,1.8,36,1.81,50,185.0,31,9,0,14,7,2,27,29,73,75
10,70.0,4,1.5,42,2.25,40,170.0,70.0,2,0.3,60,0.71,63,170.0,10,4,0,28,15,0,32,23,72,69
4,76.0,2,1.1,39,2.8,66,242.0,73.0,2,0.9,36,3.21,36,205.0,17,11,0,14,5,0,27,25,74,72
7,77.0,2,0.8,25,0.39,64,185.0,75.0,4,0.5,39,1.98,84,170.0,11,9,0,35,12,0,30,25,74,74
4,77.0,2,1.2,42,1.22,45,234.0,75.0,2,1.1,22,2.03,33,205.0,8,5,0,15,10,0,31,34,74,75
5,70.0,4,0.0,50,4.06,0,185.0,75.0,2,0.0,44,2.98,73,205.0,18,17,0,24,8,1,30,28,70,72
4,76.0,2,0.2,54,6.39,25,205.0,78.0,2,0.7,50,1.22,32,250.0,13,4,0,28,14,0,23,29,75,76
6,70.0,4,0.8,30,0.67,60,155.0,71.0,2,2.4,36,1.53,37,155.0,25,9,0,22,12,0,31,33,67,66
7,74.0,2,0.8,51,1.87,70,185.0,75.0,2,1.1,15,1.58,50,185.0,38,19,2,11,7,0,28,31,72,73
10,71.0,2,2.0,33,0.99,25,170.0,72.0,2,0.3,36,2.53,72,170.0,28,13,0,29,17,0,26,27,71,70
7,77.0,2,1.2,48,2.2,59,205.0,74.0,4,2.2,0,0.0,33,185.0,26,14,0,18,3,0,27,25,73,74
6,70.0,2,0.7,37,3.32,69,155.0,69.0,2,1.2,52,1.38,76,155.0,35,16,0,25,8,0,26,31,67,69
10,72.0,4,1.1,42,1.72,25,155.0,68.0,2,0.0,100,1.19,0,170.0,40,20,1,6,13,0,31,27,69,68
7,75.0,2,0.7,24,1.95,30,185.0,77.0,4,0.8,77,0.52,69,185.0,10,6,0,34,10,0,34,32,71,74
4,73.0,4,0.3,40,0.19,78,230.0,74.0,2,0.0,26,1.13,42,230.0,31,11,2,13,5,0,33,25,74,74
6,69.0,4,2.0,0,0.0,66,155.0,70.0,2,0.5,46,2.13,52,155.0,16,7,0,21,5,1,35,24,69,69
5,73.0,2,0.1,56,1.52,73,205.0,73.0,2,0.0,33,1.38,81,185.0,36,11,0,17,14,1,29,36,73,69
7,70.0,2,0.4,6,0.13,58,185.0,71.0,2,0.2,20,0.68,43,170.0,17,9,0,24,11,0,28,27,72,71
7,71.0,2,0.0,40,3.01,92,185.0,73.0,2,0.1,50,0.84,63,185.0,22,9,0,19,9,0,27,35,68,73
6,68.0,2,0.9,46,1.87,59,145.0,68.0,2,0.3,31,2.36,65,145.0,15,6,0,22,7,1,23,26,66,66
5,74.0,4,0.4,65,1.21,75,185.0,74.0,2,1.3,38,1.12,29,205.0,24,8,0,10,4,0,29,27,73,74
6,66.0,2,0.7,40,1.33,0,155.0,76.0,2,4.1,50,0.55,25,170.0,21,16,1,12,7,0,25,21,66,73
4,75.0,2,0.5,46,2.78,58,205.0,80.0,2,0.1,100,0.11,75,265.0,19,11,0,30,7,0,44,31,73,80
7,72.0,4,0.7,100,1.42,56,185.0,72.0,2,2.0,41,1.86,78,170.0,10,6,0,20,7,0,29,25,72,72
7,75.0,4,0.7,66,1.31,63,185.0,80.0,2,2.0,16,1.43,35,185.0,29,7,0,26,16,0,33,32,73,75
10,68.0,2,2.4,55,0.7,55,170.0,73.0,5,1.2,50,2.95,35,170.0,31,18,5,45,9,0,33,34,71,69
5,75.0,2,2.4,36,1.35,28,185.0,75.0,2,2.6,42,2.48,65,205.0,25,12,0,36,9,0,32,32,75,73
5,75.0,4,0.0,0,0.0,100,205.0,76.0,2,0.0,34,3.0,91,205.0,4,2,0,12,5,0,0,31,75,73
10,76.0,2,0.8,51,3.6,56,170.0,70.0,2,0.9,63,3.76,67,170.0,27,5,1,22,11,0,29,26,72,68
6,71.0,2,1.4,0,0.0,26,155.0,71.0,4,0.8,53,4.08,92,155.0,21,12,0,40,14,0,27,24,70,70
6,72.0,2,0.8,53,3.49,66,155.0,72.0,2,0.0,0,0.0,0,170.0,21,11,1,14,5,0,23,0,68,72
6,68.0,2,0.2,63,1.3,61,155.0,70.0,2,2.2,44,2.75,39,145.0,48,15,3,31,14,0,24,25,69,67
4,73.0,2,0.0,44,1.28,43,225.0,78.0,2,0.9,0,0.0,40,245.0,10,5,2,8,6,0,31,31,73,76
6,67.0,4,1.4,40,2.47,25,155.0,74.0,4,1.3,33,2.22,60,145.0,20,7,2,14,6,0,35,31,67,70
5,76.0,2,2.2,66,0.9,57,185.0,76.0,2,2.3,50,0.46,47,205.0,12,8,0,14,6,0,29,28,73,72
10,73.0,4,0.3,48,1.65,63,170.0,70.0,2,2.2,35,1.3,30,155.0,34,10,2,41,16,0,23,28,71,70
6,70.0,2,0.8,54,2.9,69,155.0,72.0,2,0.0,50,0.45,71,155.0,16,6,0,9,7,0,28,24,68,69
10,71.0,2,0.0,100,1.3,66,170.0,70.0,2,0.6,30,1.91,25,168.0,24,9,0,19,8,0,32,31,69,70
10,74.0,2,1.4,42,3.05,83,170.0,72.0,4,1.1,42,1.72,25,155.0,21,11,0,40,20,1,29,31,71,69
6,66.0,4,0.8,16,0.83,46,155.0,68.0,2,1.5,42,3.83,62,145.0,33,13,7,24,7,1,26,23,68,67
10,68.0,2,0.9,20,2.05,38,170.0,76.0,2,1.1,74,4.16,83,185.0,11,7,0,26,2,0,33,26,66,71
10,72.0,4,0.9,25,1.62,47,170.0,73.0,2,0.4,48,2.46,64,170.0,31,12,0,19,10,0,26,30,70,70
6,70.0,2,0.5,46,2.13,52,155.0,69.0,2,0.5,26,0.3,42,145.0,21,5,1,19,11,1,24,28,69,70
7,77.0,2,0.6,50,1.06,61,170.0,75.0,4,0.5,39,1.98,84,170.0,15,6,0,35,12,0,28,26,73,74
7,79.0,2,1.7,45,0.49,56,185.0,73.0,2,0.9,26,0.44,55,185.0,13,10,0,17,7,0,25,23,78,74
4,79.0,2,1.0,71,1.72,0,265.0,78.0,2,0.7,50,1.22,32,250.0,13,7,0,28,14,0,30,29,79,76
7,78.0,2,1.1,27,2.1,30,185.0,75.0,2,0.9,21,0.91,47,170.0,28,9,0,9,5,0,26,25,73,71
10,69.0,2,0.3,100,0.3,46,170.0,70.0,4,1.4,48,1.6,47,170.0,23,21,0,20,9,0,36,34,69,70
10,74.0,2,1.4,55,0.89,42,170.0,69.0,2,0.0,18,0.94,42,170.0,6,6,0,14,11,0,27,30,72,69
4,73.0,4,0.3,40,0.19,78,230.0,76.0,2,1.1,39,2.8,66,242.0,31,11,2,17,11,0,33,28,74,74
4,77.0,2,0.3,36,0.52,79,240.0,77.0,2,1.1,30,1.65,31,231.0,28,19,0,23,8,1,28,30,75,76
5,77.0,2,1.2,0,0.0,0,205.0,75.0,2,0.3,43,1.05,63,185.0,7,11,2,31,9,0,36,28,75,73
5,74.0,4,0.4,65,1.21,75,185.0,72.0,2,1.0,50,0.33,57,205.0,24,8,0,16,7,0,29,31,73,71
4,70.0,2,1.8,34,2.66,25,241.0,82.0,2,0.2,56,2.3,52,240.0,15,8,0,29,9,2,33,32,70,76
6,73.0,2,1.4,30,0.43,39,155.0,70.0,2,0.5,37,2.19,82,145.0,15,5,0,15,5,0,21,26,73,68
6,70.0,2,0.0,0,0.0,50,155.0,72.0,2,0.7,24,2.43,66,145.0,9,7,0,13,4,0,0,26,70,69
5,72.0,2,0.0,78,2.18,62,185.0,72.0,2,0.0,14,0.9,0,205.0,19,11,0,16,8,0,26,0,72,72
10,70.0,2,0.3,32,0.87,65,145.0,72.0,2,1.6,53,3.28,30,170.0,23,11,0,19,11,0,28,0,66,69
10,72.0,2,0.5,25,0.27,56,155.0,72.0,2,0.0,0,0.0,0,170.0,11,6,1,20,8,2,28,25,72,72
5,76.0,2,0.0,75,0.44,81,205.0,73.0,2,0.1,56,1.52,73,205.0,21,8,0,36,11,0,38,29,74,73
10,72.0,2,1.0,59,5.27,59,170.0,72.0,2,0.3,36,2.53,72,170.0,19,8,0,29,17,0,25,27,70,70
7,72.0,2,2.5,18,0.49,36,185.0,71.0,2,0.0,40,3.01,92,185.0,13,8,0,22,9,0,36,27,72,68
5,72.0,2,0.0,57,1.19,33,205.0,76.0,2,0.7,45,1.18,62,185.0,13,8,1,17,10,2,35,32,72,74
7,74.0,4,0.8,41,1.14,53,185.0,74.0,2,0.6,33,1.46,25,185.0,22,11,0,12,7,1,27,32,71,75
5,74.0,2,0.7,47,1.03,70,205.0,75.0,2,0.5,0,0.0,36,205.0,16,3,0,15,9,0,25,29,74,74
5,70.0,4,0.0,50,4.06,0,185.0,73.0,2,0.9,26,0.44,55,185.0,18,17,0,17,7,0,30,23,70,74
6,69.0,2,1.2,52,1.38,76,155.0,71.0,2,0.4,38,1.18,65,145.0,25,8,0,28,17,0,31,21,69,69
5,73.0,2,0.9,36,3.21,36,205.0,76.0,2,2.2,66,0.9,57,185.0,14,5,0,12,8,0,26,29,72,73
6,70.0,4,0.8,30,0.67,60,155.0,70.0,2,0.1,38,0.63,77,155.0,25,9,0,21,12,1,31,23,67,69
10,74.0,2,1.4,42,3.05,83,170.0,76.0,2,0.8,51,3.6,56,170.0,21,11,0,27,5,1,29,29,71,72
7,72.0,4,0.7,100,1.42,56,185.0,67.0,4,0.0,0,0.0,80,185.0,10,6,0,23,5,0,29,31,72,67
6,68.0,2,6.2,33,0.48,28,155.0,68.0,2,1.5,42,3.83,62,145.0,23,4,1,24,7,1,35,23,68,67
10,71.0,2,0.0,100,1.3,66,170.0,70.0,2,0.9,63,3.76,67,170.0,24,9,0,22,11,0,32,26,69,68
10,69.0,2,0.3,100,0.3,46,170.0,78.0,5,2.5,50,2.28,33,185.0,23,21,0,14,5,0,36,21,69,76
6,71.0,4,0.8,53,4.08,92,155.0,70.0,2,0.0,50,4.23,80,155.0,40,14,0,10,7,0,24,39,70,70
10,71.0,2,2.0,33,0.99,25,170.0,78.0,2,0.6,57,2.43,77,205.0,28,13,0,22,6,0,26,23,71,74
6,72.0,2,0.0,50,0.45,71,155.0,67.0,2,0.0,20,0.44,85,155.0,9,7,0,17,16,0,24,27,69,67
7,75.0,4,0.5,39,1.98,84,170.0,75.0,4,0.7,66,1.31,63,185.0,35,12,0,29,7,0,26,33,74,73
5,77.0,2,0.7,48,1.05,57,205.0,72.0,2,0.5,55,2.3,66,205.0,19,7,0,9,4,1,28,31,75,72
7,77.0,2,0.8,25,0.39,64,185.0,80.0,2,2.0,16,1.43,35,185.0,11,9,0,26,16,0,31,32,74,75
6,68.0,2,0.9,46,1.87,59,145.0,70.0,2,0.7,37,3.32,69,155.0,15,6,0,35,16,0,23,26,66,67
7,70.0,2,0.4,6,0.13,58,185.0,77.0,2,1.2,48,2.2,59,205.0,17,9,0,26,14,0,28,27,72,73
10,70.0,4,1.4,48,1.6,47,170.0,70.0,2,0.0,0,0.0,0,170.0,20,9,0,5,3,0,34,26,70,70
4,76.0,2,5.2,100,2.58,50,243.0,74.0,2,0.0,26,1.13,42,230.0,9,10,0,13,5,0,39,25,76,74
10,76.0,2,4.1,50,0.55,25,170.0,70.0,2,0.0,0,0.0,0,170.0,12,7,0,5,2,0,21,0,73,70
6,70.0,4,0.3,33,0.22,63,145.0,70.0,2,0.5,55,1.19,74,155.0,25,15,1,16,14,2,33,29,67,69
6,76.0,4,1.4,30,1.19,42,170.0,67.0,2,0.7,34,3.26,69,135.0,21,12,0,18,11,0,22,26,72,65
7,72.0,2,0.0,0,0.0,33,185.0,78.0,2,1.1,27,2.1,30,185.0,12,3,0,28,9,0,31,26,72,73
6,70.0,2,0.5,46,2.13,52,155.0,69.0,2,0.6,83,3.19,69,155.0,21,5,1,13,9,0,24,27,69,69
6,71.0,4,0.0,0,0.0,25,155.0,71.0,2,2.0,45,2.39,54,155.0,26,21,0,28,16,0,24,23,71,70
6,74.0,2,1.8,36,0.6,38,145.0,66.0,2,0.0,0,0.0,0,155.0,21,11,0,7,8,1,23,30,73,66
6,70.0,2,0.4,52,2.02,65,155.0,70.0,2,0.7,47,2.91,81,155.0,11,10,0,14,8,1,26,28,69,69
6,69.0,2,0.5,26,0.3,42,145.0,68.0,2,3.4,100,6.87,0,155.0,19,11,1,4,3,0,28,33,70,68
6,67.0,2,0.0,0,0.0,50,155.0,68.0,2,1.5,37,2.14,56,155.0,24,17,1,16,9,0,27,24,67,70
6,74.0,4,1.3,33,2.22,60,145.0,68.0,4,1.2,50,1.24,25,155.0,14,6,0,12,6,0,31,25,70,69
7,74.0,2,0.8,51,1.87,70,185.0,77.0,4,0.8,77,0.52,69,185.0,38,19,2,34,10,0,28,32,72,74
5,75.0,2,0.0,44,2.98,73,205.0,74.0,2,0.6,35,2.47,54,205.0,24,8,1,17,11,1,28,32,72,75
6,71.0,2,2.4,36,1.53,37,155.0,67.0,2,0.4,46,4.09,56,155.0,22,12,0,36,4,1,33,34,66,66
4,77.0,2,2.4,29,1.3,36,240.0,78.0,2,0.7,50,1.22,32,250.0,34,10,1,28,14,0,31,29,75,76
5,76.0,2,2.8,80,11.11,0,205.0,78.0,2,1.0,40,1.32,60,205.0,9,5,0,17,8,0,36,30,76,76
6,69.0,2,0.5,23,0.81,60,155.0,66.0,2,0.7,40,1.33,0,155.0,14,9,0,21,16,1,30,25,67,66
10,72.0,2,0.0,0,0.0,0,170.0,68.0,2,2.4,55,0.7,55,170.0,14,5,0,31,18,5,0,33,72,71
6,68.0,2,0.3,31,2.36,65,145.0,75.0,2,1.3,36,3.65,31,155.0,22,7,1,12,5,0,26,26,66,68
4,76.0,2,1.1,39,2.8,66,242.0,75.0,2,0.5,46,2.78,58,205.0,17,11,0,19,11,0,28,44,74,73
10,76.0,2,1.1,74,4.16,83,185.0,73.0,2,0.4,48,2.46,64,170.0,26,2,0,19,10,0,26,30,71,70
6,65.0,2,4.0,0,0.0,50,155.0,70.0,2,0.5,46,2.13,52,155.0,15,5,0,21,5,1,31,24,65,69
6,70.0,2,2.2,44,2.75,39,145.0,70.0,2,0.8,54,2.9,69,155.0,31,14,0,16,6,0,25,28,67,68
7,79.0,2,1.7,45,0.49,56,185.0,71.0,2,0.2,20,0.68,43,170.0,13,10,0,24,11,0,25,27,78,71
5,75.0,2,2.6,42,2.48,65,205.0,72.0,2,1.0,50,0.33,57,205.0,36,9,0,16,7,0,32,31,73,71
4,78.0,2,0.9,0,0.0,40,245.0,79.0,4,2.0,40,2.02,54,264.0,8,6,0,18,11,0,31,28,76,75
7,78.0,2,1.1,27,2.1,30,185.0,76.0,2,1.9,50,1.55,31,185.0,28,9,0,15,8,0,26,30,73,73
6,74.0,2,1.3,27,1.69,27,155.0,70.0,2,0.7,37,3.32,69,155.0,21,10,0,35,16,0,34,26,70,67
5,73.0,2,0.1,56,1.52,73,205.0,74.0,2,0.3,52,1.52,57,185.0,36,11,0,32,15,0,29,37,73,71
5,76.0,2,0.0,34,3.0,91,205.0,75.0,2,0.3,43,1.05,63,185.0,12,5,0,31,9,0,31,28,73,73
4,82.0,2,0.2,56,2.3,52,240.0,73.0,4,0.3,40,0.19,78,230.0,29,9,2,31,11,2,32,33,76,74
10,72.0,2,0.5,25,0.27,56,155.0,70.0,4,1.4,48,1.6,47,170.0,11,6,1,20,9,0,28,34,72,70
5,72.0,2,0.0,57,1.19,33,205.0,72.0,2,0.0,78,2.18,62,185.0,13,8,1,19,11,0,35,26,72,72
6,73.0,2,1.4,30,0.43,39,155.0,71.0,4,0.8,53,4.08,92,155.0,15,5,0,40,14,0,21,24,73,70
5,74.0,2,0.7,47,1.03,70,205.0,76.0,2,0.4,60,3.55,82,205.0,16,3,0,19,4,1,25,25,74,73
6,66.0,4,0.8,16,0.83,46,155.0,70.0,2,0.3,32,0.87,65,145.0,33,13,7,23,11,0,26,28,68,66
10,72.0,2,1.6,53,3.28,30,170.0,68.0,2,2.2,0,0.0,100,170.0,19,11,0,5,2,0,0,29,69,68
6,69.0,2,1.2,52,1.38,76,155.0,74.0,4,1.3,33,2.22,60,145.0,25,8,0,14,6,0,31,31,69,70
7,74.0,4,0.8,41,1.14,53,185.0,71.0,2,0.0,40,3.01,92,185.0,22,11,0,22,9,0,27,27,71,68
6,72.0,2,0.7,24,2.43,66,145.0,76.0,4,1.4,30,1.19,42,170.0,13,4,0,21,12,0,26,22,69,72
7,72.0,1,0.0,33,0.25,60,185.0,75.0,2,0.9,21,0.91,47,170.0,12,4,0,9,5,0,35,25,72,71
10,72.0,2,0.0,0,0.0,0,170.0,74.0,2,1.4,55,0.89,42,170.0,20,8,2,6,6,0,25,27,72,72
6,74.0,2,1.8,36,0.6,38,145.0,69.0,2,0.5,26,0.3,42,145.0,21,11,0,19,11,1,23,28,73,70
6,67.0,2,0.0,0,0.0,0,155.0,70.0,2,0.7,47,2.91,81,155.0,4,3,0,14,8,1,30,28,67,69
10,70.0,2,0.3,60,0.71,63,170.0,70.0,2,0.6,30,1.91,25,168.0,28,15,0,19,8,0,24,31,69,70
10,73.0,2,0.6,70,4.17,45,170.0,76.0,2,4.1,50,0.55,25,170.0,23,12,0,12,7,0,28,21,72,73
5,76.0,2,0.7,45,1.18,62,185.0,76.0,2,0.0,75,0.44,81,205.0,17,10,2,21,8,0,32,38,74,74
5,76.0,2,0.8,48,2.17,47,205.0,77.0,2,0.7,48,1.05,57,205.0,26,11,1,19,7,0,26,28,73,75
10,76.0,2,0.8,51,3.6,56,170.0,72.0,4,0.9,25,1.62,47,170.0,27,5,1,31,12,0,29,26,72,70
5,70.0,2,0.6,36,1.73,42,205.0,74.0,4,0.4,65,1.21,75,185.0,15,11,0,24,8,0,28,29,71,73
6,68.0,2,0.9,46,1.87,59,145.0,68.0,2,1.5,42,3.83,62,145.0,15,6,0,24,7,1,23,23,66,67
10,78.0,2,0.6,57,2.43,77,205.0,72.0,4,1.1,42,1.72,25,155.0,22,6,0,40,20,1,23,31,74,69
6,71.0,2,0.4,38,1.18,65,145.0,66.0,2,0.7,40,1.33,0,155.0,28,17,0,21,16,1,21,25,69,66
4,73.0,2,0.0,0,0.0,0,265.0,77.0,2,1.2,42,1.22,45,234.0,8,3,1,8,5,0,29,32,73,74
6,68.0,2,1.5,37,2.14,56,155.0,68.0,2,1.5,36,1.19,49,145.0,16,9,0,13,13,1,24,32,70,66
7,75.0,4,0.7,66,1.31,63,185.0,77.0,4,0.8,77,0.52,69,185.0,29,7,0,34,10,0,33,32,73,74
4,80.0,2,0.1,100,0.11,75,265.0,76.0,2,0.2,53,0.7,59,230.0,30,7,0,12,7,0,31,30,80,75
6,69.0,2,0.5,23,0.81,60,155.0,68.0,4,1.2,50,1.24,25,155.0,14,9,0,12,6,0,30,25,67,69
5,78.0,2,1.0,40,1.32,60,205.0,75.0,2,1.8,36,1.81,50,185.0,17,8,0,14,7,2,30,30,76,75
7,74.0,2,0.6,33,1.46,25,185.0,73.0,2,0.9,26,0.44,55,185.0,12,7,1,17,7,0,32,23,75,74
7,75.0,4,0.5,39,1.98,84,170.0,80.0,2,2.0,16,1.43,35,185.0,35,12,0,26,16,0,26,32,74,75
7,76.0,2,1.9,50,1.55,31,185.0,72.0,4,1.0,25,2.49,61,170.0,15,8,0,28,9,0,30,30,73,73
10,72.0,2,0.3,36,2.53,72,170.0,71.0,2,0.0,100,1.3,66,170.0,29,17,0,24,9,0,27,32,70,69
6,68.0,2,6.2,33,0.48,28,155.0,70.0,2,0.5,37,2.19,82,145.0,23,4,1,15,5,0,35,26,68,68
5,75.0,2,0.0,44,2.98,73,205.0,75.0,2,0.3,43,1.05,63,185.0,24,8,1,31,9,0,28,28,72,73
5,72.0,2,0.0,57,1.19,33,205.0,74.0,2,0.7,47,1.03,70,205.0,13,8,1,16,3,0,35,25,72,74
10,72.0,2,1.0,59,5.27,59,170.0,70.0,2,0.3,41,0.61,39,170.0,19,8,0,20,12,0,25,31,70,69
7,75.0,2,2.3,33,2.02,33,185.0,77.0,2,1.2,48,2.2,59,205.0,47,16,0,26,14,0,30,27,72,73
6,68.0,2,0.3,31,2.36,65,145.0,70.0,4,0.8,30,0.67,60,155.0,22,7,1,25,9,0,26,31,66,67
10,68.0,2,2.4,55,0.7,55,170.0,70.0,2,0.3,60,0.71,63,170.0,31,18,5,28,15,0,33,24,71,69
6,71.0,2,2.0,45,2.39,54,155.0,66.0,2,0.0,12,1.91,50,135.0,28,16,0,20,3,0,23,38,70,66
6,67.0,2,0.0,20,0.44,85,155.0,74.0,2,1.3,27,1.69,27,155.0,17,16,0,21,10,0,27,34,67,70
10,68.0,5,0.5,84,1.01,46,170.0,78.0,5,2.5,50,2.28,33,185.0,32,16,7,14,5,0,33,21,67,76
6,70.0,2,0.7,37,3.32,69,155.0,70.0,2,0.5,46,2.13,52,155.0,35,16,0,21,5,1,26,24,67,69
10,70.0,2,0.6,37,1.2,46,155.0,71.0,2,0.0,33,2.02,33,170.0,22,12,1,19,5,0,27,23,68,70
10,69.0,2,1.2,50,2.5,50,170.0,71.0,2,0.0,50,1.16,40,170.0,8,4,0,11,4,0,30,26,69,71
10,71.0,2,1.6,31,2.32,53,155.0,70.0,2,0.0,0,0.0,0,170.0,14,6,0,2,2,0,30,29,70,70
10,69.0,2,0.0,8,1.0,0,170.0,77.0,2,1.3,40,0.2,66,170.0,3,1,0,22,13,2,27,24,69,74
10,69.0,2,0.0,66,3.1,57,170.0,68.0,2,0.0,100,3.46,100,170.0,3,2,0,8,4,0,27,33,69,68
10,71.0,2,0.0,0,0.0,0,185.0,72.0,2,5.3,36,2.12,100,170.0,15,8,0,3,3,0,33,25,71,70
10,70.0,2,1.9,100,1.93,25,170.0,75.0,4,0.0,0,0.0,0,170.0,7,3,0,8,4,0,29,30,70,75
10,74.0,2,0.0,0,0.0,0,170.0,73.0,2,0.6,70,4.17,45,170.0,6,2,0,23,12,0,25,28,74,72
10,76.0,2,1.1,74,4.16,83,185.0,73.0,5,1.2,50,2.95,35,170.0,26,2,0,45,9,0,26,34,71,69
5,74.0,2,0.6,53,0.97,62,205.0,76.0,2,0.0,75,0.44,81,205.0,35,12,1,21,8,0,31,38,71,74
4,74.0,2,0.0,26,1.13,42,230.0,81.0,2,0.0,47,2.2,66,265.0,13,5,0,22,5,0,25,30,74,76
5,78.0,2,0.9,47,1.93,78,205.0,74.0,4,0.4,65,1.21,75,185.0,12,10,0,24,8,0,23,29,70,73
6,72.0,4,1.1,42,1.72,25,155.0,68.0,2,0.2,63,1.3,61,155.0,40,20,1,48,15,3,31,24,69,69
5,77.0,4,0.3,28,0.56,100,185.0,75.0,2,0.5,0,0.0,36,205.0,12,5,0,15,9,0,26,29,74,74
6,67.0,2,0.7,34,3.26,69,135.0,72.0,2,0.0,50,0.45,71,155.0,18,11,0,9,7,0,26,24,65,69
7,67.0,4,0.0,0,0.0,80,185.0,75.0,2,1.1,15,1.58,50,185.0,23,5,0,11,7,0,31,31,67,73
10,74.0,2,1.4,42,3.05,83,170.0,70.0,4,1.5,42,2.25,40,170.0,21,11,0,10,4,0,29,33,71,72
6,69.0,2,0.6,83,3.19,69,155.0,75.0,2,1.3,36,3.65,31,155.0,13,9,0,12,5,0,27,26,69,68
6,70.0,2,0.5,55,1.19,74,155.0,70.0,2,2.2,44,2.75,39,145.0,16,14,2,31,14,0,30,26,69,67
4,76.0,2,1.1,39,2.8,66,242.0,77.0,2,1.1,30,1.65,31,231.0,17,11,0,23,8,1,29,31,74,76
10,70.0,4,1.4,48,1.6,47,170.0,72.0,2,1.6,53,3.28,30,170.0,20,9,0,19,11,0,35,0,70,69
5,75.0,2,2.4,36,1.35,28,185.0,76.0,2,2.2,66,0.9,57,185.0,25,12,0,12,8,0,33,30,75,73
7,73.0,2,0.1,50,0.84,63,185.0,79.0,2,1.7,45,0.49,56,185.0,19,9,0,13,10,0,36,26,73,78
4,76.0,2,5.2,100,2.58,50,243.0,78.0,2,0.9,0,0.0,40,245.0,9,10,0,8,6,0,40,32,76,76
10,70.0,2,1.5,60,1.34,30,155.0,72.0,2,0.5,25,0.27,56,155.0,12,4,0,11,6,1,24,29,69,72
5,71.0,4,7.0,50,13.95,0,205.0,72.0,2,0.0,78,2.18,62,185.0,14,3,0,19,11,0,35,27,71,72
6,70.0,2,0.1,38,0.63,77,155.0,72.0,2,3.6,11,2.07,50,155.0,21,12,1,14,5,1,24,0,69,70
10,72.0,2,0.3,36,2.53,72,170.0,77.0,2,0.6,50,1.06,61,170.0,29,17,0,15,6,0,28,29,70,73
7,71.0,2,0.2,20,0.68,43,170.0,72.0,4,0.7,100,1.42,56,185.0,24,11,0,10,6,0,28,30,71,72
6,68.0,2,1.5,36,1.19,49,145.0,68.0,2,1.5,42,3.83,62,145.0,13,13,1,24,7,1,33,24,66,67
6,76.0,4,1.4,30,1.19,42,170.0,68.0,4,1.2,50,1.24,25,155.0,21,12,0,12,6,0,23,26,72,69
6,65.0,2,4.0,0,0.0,50,155.0,70.0,2,0.8,54,2.9,69,155.0,15,5,0,16,6,0,32,29,65,68
6,70.0,2,0.7,47,2.91,81,155.0,70.0,2,0.3,32,0.87,65,145.0,14,8,1,23,11,0,29,29,69,66
6,74.0,2,1.8,36,0.6,38,145.0,71.0,2,0.4,38,1.18,65,145.0,21,11,0,28,17,0,24,22,73,69
6,80.0,2,0.0,80,3.02,100,155.0,67.0,2,0.0,0,0.0,0,155.0,4,4,0,4,3,0,30,31,76,67
6,73.0,2,0.8,0,0.0,33,155.0,68.0,2,1.5,37,2.14,56,155.0,12,6,0,16,9,0,25,25,72,70
4,77.0,2,2.4,29,1.3,36,240.0,80.0,2,0.1,100,0.11,75,265.0,34,10,1,30,7,0,32,32,75,80
4,81.0,2,0.5,55,3.9,60,265.0,79.0,4,2.0,40,2.02,54,264.0,5,3,0,18,11,0,31,29,75,75
