weight_class,f1_reach,f1_stance,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_stance,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
14,67.0,2,0.0,100,1.27,88,115.0,66.0,2,0.3,0,0.0,83,115.0,8,2,0,6,3,0,30,29,68,64
2,71.0,4,0.5,46,2.9,62,145.0,71.0,4,1.5,100,0.21,56,145.0,14,7,0,21,8,0,24,30,71,68
2,70.0,0,0.2,45,4.56,68,145.0,72.0,2,0.1,45,0.71,56,135.0,17,5,1,10,8,0,29,28,67,70
0,69.0,0,0.6,0,0.0,52,135.0,66.0,2,0.1,32,1.77,62,135.0,19,8,1,13,6,0,38,38,68,66
6,72.0,4,1.3,36,3.06,0,155.0,77.0,2,0.0,100,1.0,71,155.0,10,2,0,8,2,0,22,34,71,72
10,75.0,2,0.0,45,0.36,78,170.0,74.0,4,0.0,41,0.66,82,185.0,15,4,1,18,2,1,35,26,72,72
10,80.0,2,0.3,46,2.62,60,170.0,76.0,2,0.8,0,0.0,50,170.0,21,8,0,14,9,0,31,28,75,74
2,69.0,2,0.4,47,3.45,22,145.0,70.0,4,0.5,56,1.6,70,145.0,9,3,0,15,1,0,24,24,68,68
2,72.0,4,1.5,34,3.39,57,145.0,71.0,2,1.7,31,1.31,47,145.0,15,4,0,20,6,0,30,26,70,70
10,74.0,2,0.0,76,1.94,73,170.0,71.0,4,2.1,33,3.32,50,170.0,15,7,0,14,1,0,37,36,73,71
7,74.0,2,0.0,44,1.38,65,185.0,73.0,2,1.0,20,1.31,75,185.0,11,4,0,12,6,0,28,32,72,73
7,70.0,4,0.3,34,1.86,78,185.0,73.0,4,0.3,0,0.0,72,185.0,13,4,0,11,1,0,41,27,72,75
11,65.0,2,0.2,33,0.83,52,135.0,68.0,4,0.0,77,3.18,20,135.0,10,4,0,5,3,0,36,30,67,66
10,76.0,0,0.7,15,0.32,63,170.0,75.0,4,0.0,44,2.91,0,170.0,12,6,0,11,3,0,29,25,73,71
13,63.0,0,1.3,47,3.44,0,125.0,62.0,2,0.9,33,2.59,40,125.0,7,4,0,10,2,0,23,28,65,64
7,75.0,2,0.7,32,1.7,60,185.0,75.0,2,0.0,28,1.27,59,185.0,15,10,0,17,3,0,37,30,75,73
0,67.0,2,0.5,25,0.46,66,135.0,68.0,2,0.0,23,0.7,95,135.0,23,6,1,22,4,0,30,29,66,64
6,72.0,2,0.4,60,4.0,22,155.0,71.0,2,0.9,47,7.02,0,155.0,12,2,0,13,1,0,36,32,70,67
4,77.0,4,0.2,33,0.35,76,250.0,82.0,2,0.0,66,0.74,0,245.0,13,7,0,6,3,0,35,28,77,79
10,71.0,2,0.4,47,2.04,86,170.0,77.0,2,1.3,40,0.2,66,170.0,31,15,0,22,13,2,33,35,69,74
2,70.0,4,0.6,30,0.58,93,145.0,69.0,2,0.3,18,0.56,60,145.0,16,4,0,7,4,0,29,30,67,65
5,76.0,2,0.0,23,0.53,83,205.0,75.0,4,0.1,16,0.09,82,205.0,17,11,0,33,13,0,33,32,75,74
13,67.0,0,0.0,44,2.0,63,135.0,67.0,2,0.0,28,0.89,62,125.0,5,4,0,11,4,0,33,35,64,65
6,68.0,2,1.3,34,3.59,44,155.0,73.0,4,0.0,33,0.94,77,155.0,30,10,2,8,2,0,34,29,68,69
10,72.0,2,0.2,31,2.15,83,170.0,75.0,4,0.3,26,1.35,16,170.0,16,3,0,14,4,0,30,32,71,74
6,71.0,4,0.8,53,4.08,92,155.0,73.0,4,0.0,50,1.62,75,155.0,40,14,0,23,8,0,35,29,70,70
