weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
10,71.0,3.59,4.78,2,42,65,78,170.0,75.0,5.34,5.18,2,53,51,64,170.0,14,4,0,17,7,1,32,27,70,71
10,67.0,2.49,2.44,2,47,58,50,170.0,75.0,2.75,2.47,4,32,53,62,185.0,26,3,0,23,7,0,37,34,66,72
3,70.0,3.24,3.12,2,34,63,62,125.0,67.0,3.47,4.4,2,46,56,60,125.0,16,5,1,21,4,0,25,28,67,65
14,67.0,2.77,3.65,2,58,55,88,115.0,66.0,7.22,5.4,2,44,58,83,115.0,8,2,0,6,3,0,30,29,68,64
2,71.0,4.79,2.22,4,41,41,62,145.0,71.0,2.93,4.32,4,41,71,56,145.0,14,7,0,21,8,0,24,30,71,68
2,70.0,3.13,3.93,0,39,69,68,145.0,72.0,4.33,4.65,2,35,60,56,135.0,17,5,1,10,8,0,29,28,67,70
0,69.0,4.68,3.47,0,42,53,52,135.0,66.0,3.15,3.97,2,46,54,62,135.0,19,8,1,13,6,0,38,38,68,66
6,72.0,3.73,1.95,4,44,50,0,155.0,77.0,1.8,5.4,2,50,59,71,155.0,10,2,0,8,2,0,22,34,71,72
10,75.0,2.73,3.93,2,44,59,78,170.0,74.0,3.03,2.41,4,46,59,82,185.0,15,4,1,18,2,1,35,26,72,72
10,80.0,2.22,3.86,2,46,56,60,170.0,76.0,3.28,1.23,2,40,39,50,170.0,21,8,0,14,9,0,31,28,75,74
2,69.0,2.71,1.28,2,41,51,22,145.0,70.0,1.78,3.01,4,39,66,70,145.0,9,3,0,15,1,0,24,24,68,68
2,72.0,2.77,1.6,4,47,50,57,145.0,71.0,3.02,2.95,2,33,51,47,145.0,15,4,0,20,6,0,30,26,70,70
10,74.0,2.62,3.66,2,51,66,73,170.0,71.0,2.17,2.8,4,51,45,50,170.0,15,7,0,14,1,0,37,36,73,71
7,74.0,2.44,2.94,2,44,54,65,185.0,73.0,5.72,3.71,2,45,55,75,185.0,11,4,0,12,6,0,28,32,72,73
7,70.0,4.64,3.62,4,38,61,78,185.0,73.0,2.57,3.85,4,49,65,72,185.0,13,4,0,11,1,0,41,27,72,75
11,65.0,3.9,3.21,2,57,45,52,135.0,68.0,2.84,2.72,4,49,50,20,135.0,10,4,0,5,3,0,36,30,67,66
10,76.0,4.31,3.52,0,41,57,63,170.0,75.0,4.12,4.17,4,37,61,0,170.0,12,6,0,11,3,0,29,25,73,71
13,63.0,2.75,2.18,0,50,54,0,125.0,62.0,4.95,6.49,2,49,68,40,125.0,7,4,0,10,2,0,23,28,65,64
7,75.0,3.31,3.29,2,55,51,60,185.0,75.0,2.39,4.19,2,42,53,59,185.0,15,10,0,17,3,0,37,30,75,73
0,67.0,3.69,3.53,2,39,58,66,135.0,68.0,3.88,4.1,2,40,61,95,135.0,23,6,1,22,4,0,30,29,66,64
6,72.0,2.55,3.29,2,45,56,22,155.0,71.0,2.14,3.58,2,49,60,0,155.0,12,2,0,13,1,0,36,32,70,67
4,77.0,2.68,2.96,4,38,61,76,250.0,82.0,5.3,2.6,2,35,46,0,245.0,13,7,0,6,3,0,35,28,77,79
10,71.0,2.83,2.47,2,39,60,86,170.0,77.0,3.58,3.23,2,50,51,66,170.0,31,15,0,22,13,2,33,35,69,74
2,70.0,2.87,4.25,4,36,67,93,145.0,69.0,3.93,3.08,2,46,56,60,145.0,16,4,0,7,4,0,29,30,67,65
5,76.0,5.34,4.26,2,42,55,83,205.0,75.0,3.2,3.05,4,44,55,82,205.0,17,11,0,33,13,0,33,32,75,74
13,67.0,3.42,4.77,0,39,58,63,135.0,67.0,3.59,3.53,2,38,61,62,125.0,5,4,0,11,4,0,33,35,64,65
6,68.0,3.09,3.47,2,50,49,44,155.0,73.0,3.53,4.69,4,43,55,77,155.0,30,10,2,8,2,0,34,29,68,69
10,72.0,3.81,4.37,2,41,60,83,170.0,75.0,3.62,1.1,4,20,49,16,170.0,16,3,0,14,4,0,30,32,71,74
6,71.0,2.51,1.95,4,31,63,92,155.0,73.0,2.51,3.7,4,46,69,75,155.0,40,14,0,23,8,0,35,29,70,70
0,69.0,2.94,4.24,2,42,58,80,135.0,71.0,3.34,2.89,2,38,63,62,135.0,16,3,0,28,12,0,25,40,66,67
3,62.0,1.66,2.12,5,46,62,69,125.0,65.0,9.84,4.37,2,36,50,75,125.0,14,2,0,8,1,0,25,26,63,64
7,73.0,3.7,4.77,2,39,61,84,185.0,73.0,3.21,3.71,4,49,60,78,185.0,21,5,0,13,4,0,28,41,72,72
10,70.0,3.28,3.57,4,45,62,60,170.0,72.0,3.02,4.17,2,37,55,78,170.0,29,12,0,15,2,0,34,30,68,71
12,69.0,2.83,2.82,4,34,57,79,135.0,72.0,3.17,1.8,2,46,34,50,145.0,12,5,0,10,4,0,37,28,68,72
4,77.0,2.69,3.55,2,44,59,79,240.0,75.0,3.54,4.09,4,48,51,42,264.0,28,19,0,10,3,0,39,25,75,74
10,74.0,1.33,4.25,2,58,75,88,170.0,73.0,4.87,1.1,2,23,40,0,170.0,1,1,0,0,2,0,33,40,74,73
4,80.0,2.15,3.54,2,62,59,73,265.0,80.0,1.9,3.69,2,51,55,25,265.0,45,18,0,12,2,0,38,27,76,76
14,63.0,4.38,3.17,2,42,58,58,115.0,63.0,2.86,2.22,0,40,53,48,115.0,17,4,0,16,6,0,30,31,64,61
2,71.0,2.66,2.88,2,45,59,47,145.0,70.0,1.7,2.88,2,42,60,100,145.0,19,8,0,13,2,0,36,27,68,68
4,80.0,6.37,4.08,2,45,43,33,250.0,76.0,6.68,4.82,2,56,50,62,205.0,5,3,0,9,4,0,39,37,75,71
5,75.0,2.42,2.14,2,37,63,73,205.0,76.0,4.28,3.06,2,47,44,51,205.0,24,8,1,32,14,0,39,30,72,76
3,69.0,2.91,3.88,2,37,65,67,125.0,65.0,2.52,3.46,4,33,63,65,125.0,18,5,0,28,5,0,25,34,66,64
6,70.0,2.46,2.45,2,33,65,69,155.0,74.0,3.03,3.21,2,50,54,58,155.0,35,16,0,28,8,0,37,29,67,70
2,71.0,3.07,4.15,2,49,61,54,145.0,69.0,3.58,3.44,2,49,36,53,145.0,12,2,0,21,12,0,27,29,67,70
10,73.0,4.23,4.34,2,46,53,73,155.0,74.0,2.05,2.53,4,47,55,70,170.0,36,13,0,18,3,0,35,27,73,74
5,80.0,2.86,2.59,4,46,44,65,205.0,79.0,2.55,2.7,2,62,48,52,205.0,24,13,0,7,3,0,35,27,75,75
13,64.0,4.73,4.53,2,47,60,62,125.0,66.0,3.39,3.79,2,38,59,59,125.0,9,6,0,15,7,0,31,32,65,66
10,71.0,3.55,4.9,2,43,61,63,170.0,71.0,4.49,3.8,2,33,56,0,170.0,17,5,0,6,2,0,30,27,72,71
0,69.0,3.63,3.26,4,44,53,30,135.0,67.0,3.15,5.65,5,46,67,87,135.0,11,7,2,14,1,0,27,25,67,67
0,67.0,2.74,3.54,2,38,62,66,135.0,73.0,2.66,2.37,2,45,64,41,135.0,15,4,1,18,10,1,21,30,68,68
2,69.0,4.47,3.04,2,37,52,68,145.0,72.0,5.09,6.1,2,40,57,64,145.0,9,7,1,13,4,0,28,25,68,68
10,71.0,4.28,4.13,2,45,56,50,170.0,72.0,5.08,3.59,2,38,59,0,170.0,15,5,0,4,4,0,28,30,72,71
10,70.0,3.75,3.23,2,58,45,75,170.0,73.0,2.02,3.07,2,46,63,66,170.0,10,3,0,15,4,0,33,24,67,71
14,63.0,4.22,6.85,2,40,64,66,115.0,63.0,4.48,2.7,2,30,58,28,115.0,11,1,0,13,2,0,29,25,65,61
3,71.0,3.37,3.67,2,35,60,60,125.0,70.0,3.69,3.64,2,34,62,58,125.0,11,1,0,14,4,0,21,28,69,68
3,71.0,2.5,2.16,4,41,50,41,125.0,68.0,3.53,1.44,2,42,53,51,125.0,21,6,2,7,5,0,29,30,70,65
13,66.0,4.0,4.03,0,41,62,100,125.0,72.0,4.74,4.49,2,33,59,40,125.0,4,4,2,9,2,2,31,29,66,67
