weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_sub_avg,f1_td_avg,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_sub_avg,f2_td_avg,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,stk_acc_diff,stk_def_diff,td_acc_diff,td_def_diff
6,68.0,2.3,3.71,2,0.9,1.87,145.0,71.0,2.51,1.95,4,0.8,4.08,155.0,15,6,0,40,14,0,24,25,66,70,10,2,-7,-33
10,71.0,3.45,1.99,2,0.0,0.65,155.0,68.0,3.03,3.76,2,2.4,0.7,170.0,15,8,0,31,18,5,26,34,69,71,-5,0,-5,-15
5,74.0,2.9,2.93,2,0.8,1.45,185.0,72.0,5.16,1.48,2,1.0,0.33,205.0,21,13,0,16,7,0,27,32,72,71,20,8,-16,2
7,71.0,3.26,2.68,2,0.0,3.01,185.0,73.0,3.92,2.21,2,0.0,1.38,185.0,22,9,0,17,14,1,28,37,68,69,6,11,7,11
6,70.0,2.83,2.5,2,0.4,2.02,155.0,73.0,3.2,2.23,4,0.3,1.65,170.0,11,10,0,34,10,2,27,24,69,71,-6,6,4,2
7,74.0,2.7,2.44,2,0.3,1.52,185.0,77.0,1.98,3.04,4,0.8,0.52,185.0,32,15,0,34,10,0,38,33,71,74,-15,-10,-25,-12
4,78.0,1.77,2.37,2,0.7,1.22,250.0,82.0,1.28,3.33,2,0.2,2.3,240.0,28,14,0,29,9,2,30,33,76,76,-6,0,-6,-20
7,72.0,2.8,3.96,2,0.0,2.18,185.0,74.0,2.87,2.87,4,0.8,1.14,185.0,19,11,0,22,11,0,27,28,72,71,5,7,37,9
7,75.0,2.25,2.06,4,0.5,1.98,170.0,74.0,2.64,3.05,2,1.3,2.55,185.0,35,12,0,32,8,0,27,37,74,72,-21,4,-4,59
10,75.0,1.36,2.32,2,1.6,1.31,170.0,76.0,1.65,2.61,2,0.8,3.6,170.0,16,8,0,27,5,1,31,30,73,72,0,1,-1,4
4,77.0,2.69,3.55,2,0.3,0.52,240.0,76.0,1.92,1.31,2,0.2,6.39,205.0,28,19,0,13,4,0,29,24,75,75,13,-10,-18,54
10,74.0,1.5,1.74,2,1.4,0.89,170.0,70.0,2.21,2.23,2,0.9,3.76,170.0,6,6,0,22,11,0,28,27,72,68,1,-10,-8,-25
10,73.0,2.27,1.79,2,0.4,2.46,170.0,76.0,3.51,2.24,2,4.1,0.55,170.0,19,10,0,12,7,0,31,22,70,73,-4,17,-2,39
10,71.0,1.64,1.11,2,0.0,2.65,155.0,72.0,2.91,2.75,4,0.9,1.62,170.0,16,9,0,31,12,0,29,27,70,70,19,-3,38,-33
6,69.0,3.62,3.37,2,0.5,0.81,155.0,69.0,5.29,2.94,4,2.0,0.0,155.0,14,9,0,16,7,0,31,36,67,69,-11,15,23,-6
6,71.0,5.39,2.84,2,2.0,2.39,155.0,74.0,1.85,2.41,4,1.3,2.22,145.0,28,16,0,14,6,0,24,32,70,70,-1,-9,12,-6
6,70.0,2.64,1.92,2,0.7,2.91,155.0,68.0,2.39,3.6,2,0.3,2.36,145.0,14,8,1,22,7,1,29,27,69,66,-7,-3,16,16
10,72.0,2.19,2.49,2,1.0,5.27,170.0,70.0,3.42,3.73,2,0.3,0.71,170.0,19,8,0,28,15,0,26,25,70,69,0,-4,-1,-4
5,76.0,3.8,3.69,2,0.0,3.0,205.0,74.0,2.9,2.93,2,0.8,1.45,185.0,12,5,0,21,13,0,32,27,73,72,-8,4,0,32
6,70.0,1.94,2.45,2,0.8,2.9,155.0,76.0,3.78,4.62,4,1.4,1.19,170.0,16,6,0,21,12,0,29,23,68,72,-2,10,24,27
5,75.0,3.86,2.03,2,0.5,0.0,205.0,72.0,3.2,3.06,2,0.0,1.19,205.0,15,9,0,13,8,1,30,36,74,72,-6,-17,-57,3
6,69.0,2.6,1.85,2,1.2,1.38,155.0,72.0,3.63,3.29,2,1.3,1.09,170.0,25,8,0,33,13,1,32,25,69,71,-9,1,18,30
6,74.0,2.27,1.42,2,1.3,1.69,155.0,66.0,22.5,0.0,2,0.0,0.0,155.0,21,10,0,16,10,1,35,30,70,66,33,14,27,27
6,70.0,1.69,0.56,2,0.0,4.23,155.0,67.0,2.83,2.13,2,0.7,3.26,135.0,10,7,0,18,11,0,40,27,70,65,-16,-22,16,11
6,70.0,2.46,2.45,2,0.7,3.32,155.0,68.0,2.62,1.68,2,0.9,0.94,155.0,35,16,0,10,6,0,27,33,67,68,-1,27,-13,3
10,70.0,2.7,0.26,2,1.9,1.93,170.0,71.0,2.52,2.61,2,1.6,2.32,155.0,7,3,0,14,6,0,30,31,70,70,-11,-24,69,-28
10,78.0,1.83,3.25,2,0.6,2.43,205.0,71.0,5.12,2.56,2,0.0,2.02,170.0,22,6,0,19,5,0,24,24,74,70,-4,25,24,44
10,68.0,2.64,1.98,2,0.9,2.05,170.0,76.0,1.4,3.78,2,1.1,4.16,185.0,11,7,0,26,2,0,34,27,66,71,-14,-26,-54,-45
7,75.0,2.07,4.1,4,0.7,1.31,185.0,75.0,2.42,0.41,2,0.7,1.95,185.0,29,7,0,10,6,0,34,35,73,71,12,20,42,33
7,74.0,4.43,2.71,2,0.6,1.46,185.0,72.0,2.8,4.96,1,0.0,0.25,185.0,12,7,1,12,4,0,33,36,75,72,4,-13,0,-35
7,75.0,2.71,4.33,2,0.3,1.05,185.0,71.0,4.03,0.18,2,2.7,2.67,185.0,31,9,0,10,5,0,29,28,73,70,26,9,-17,63
6,75.0,2.32,2.34,2,1.3,3.65,155.0,70.0,3.44,3.39,2,0.6,1.2,155.0,12,5,0,22,12,1,27,28,68,68,-5,3,-1,-15
7,80.0,2.7,1.55,2,2.0,1.43,185.0,75.0,2.79,1.43,2,2.3,2.02,185.0,26,16,0,47,16,0,33,31,75,72,10,-4,-17,2
7,73.0,3.1,2.7,2,0.9,0.44,185.0,72.0,3.46,3.61,2,0.0,1.13,185.0,17,7,0,19,12,0,24,27,74,72,-13,12,-74,55
7,72.0,2.01,1.82,4,1.0,2.49,170.0,77.0,3.13,3.33,2,1.2,2.2,205.0,28,9,0,26,14,0,31,28,73,73,-6,19,-23,2
6,70.0,4.08,4.17,2,0.1,0.63,155.0,72.0,2.29,1.43,4,1.1,1.72,155.0,21,12,1,40,20,1,24,32,69,69,-9,-3,-4,52
4,77.0,2.33,6.37,2,0.4,5.13,240.0,74.0,6.95,0.5,2,0.0,0.0,205.0,14,3,0,10,6,0,26,29,73,74,-5,30,45,85
10,70.0,3.01,1.98,2,0.6,1.91,168.0,73.0,2.0,1.61,2,0.6,4.17,170.0,19,8,0,23,12,0,32,29,70,72,-1,8,-40,-20
6,70.0,3.2,2.76,2,0.5,1.19,155.0,67.0,2.71,2.17,2,0.4,4.09,155.0,16,14,2,36,4,1,30,35,69,66,13,1,9,18
5,76.0,2.98,3.25,2,0.7,1.18,185.0,74.0,2.19,2.79,2,0.6,0.97,205.0,17,10,2,35,12,1,33,32,74,71,-4,-1,-8,0
5,81.0,2.69,1.69,4,1.1,1.69,205.0,76.0,4.06,3.02,2,2.2,0.9,185.0,9,3,0,12,8,0,24,30,75,73,-2,3,-16,-24
5,74.0,2.88,2.59,2,0.6,2.47,205.0,74.0,1.57,2.59,4,0.4,1.21,185.0,17,11,1,24,8,0,33,30,75,73,-7,-1,-30,-21
5,74.0,2.55,3.92,2,0.7,1.03,205.0,77.0,6.85,1.34,4,0.0,2.51,205.0,16,3,0,17,10,0,26,27,74,75,3,45,-3,-30
7,72.0,1.19,3.01,2,2.5,0.49,185.0,71.0,2.04,1.75,2,4.1,3.93,170.0,13,8,0,24,5,0,37,28,72,68,-4,17,-27,36
5,78.0,2.61,2.26,2,0.9,1.93,205.0,70.0,1.83,1.56,2,0.6,1.73,205.0,12,10,0,15,11,0,24,29,70,71,8,-3,11,36
6,73.0,2.53,2.16,2,1.4,0.43,155.0,72.0,2.29,1.43,4,1.1,1.72,155.0,15,5,0,40,20,1,22,32,73,69,-2,7,-12,14
10,70.0,3.67,0.85,4,2.8,1.41,170.0,71.0,3.17,2.32,2,0.0,1.16,170.0,13,6,0,11,4,0,34,27,71,71,-24,-7,-22,-15
10,70.0,7.37,0.69,2,0.0,0.0,170.0,76.0,1.89,2.12,4,0.6,2.93,170.0,5,3,0,22,4,1,27,27,70,74,-20,-40,-43,-71
4,80.0,3.53,4.38,2,0.0,1.42,265.0,77.0,3.04,3.12,2,1.2,1.22,234.0,12,2,0,8,5,0,33,33,74,74,20,-3,-9,-3
10,73.0,1.36,2.14,5,1.2,2.95,170.0,70.0,3.42,3.73,2,0.3,0.71,170.0,45,9,0,28,15,0,35,25,69,69,12,-9,-10,-28
7,75.0,2.71,4.33,2,0.3,1.05,185.0,72.0,3.46,3.61,2,0.0,1.13,185.0,31,9,0,19,12,0,29,27,73,72,-16,18,-57,63
10,70.0,2.79,2.72,4,1.4,1.6,170.0,77.0,2.29,2.36,2,0.6,1.06,170.0,20,9,0,15,6,0,35,29,70,73,2,11,-2,-14
7,78.0,2.99,2.13,2,1.1,2.1,185.0,74.0,2.32,2.71,2,0.8,1.87,185.0,28,9,0,38,19,2,27,29,73,72,-9,-3,-24,-40
4,76.0,2.81,3.03,2,0.2,0.7,230.0,77.0,2.45,3.61,2,1.1,1.65,231.0,12,7,0,23,8,1,31,31,75,76,5,-4,23,28
7,72.0,3.28,3.22,2,2.0,1.86,170.0,73.0,2.64,3.16,2,0.1,0.84,185.0,20,7,0,19,9,0,26,36,72,73,-6,8,-9,15
6,68.0,2.31,2.0,2,1.5,3.83,145.0,68.0,3.57,3.18,2,1.5,2.14,155.0,24,7,1,16,9,0,24,25,67,70,-10,11,5,6
10,74.0,4.3,2.74,2,0.8,0.28,170.0,74.0,1.82,1.46,2,1.4,3.05,170.0,9,5,0,21,11,0,28,30,70,71,-8,-10,8,-36
5,75.0,1.84,3.21,2,2.4,1.35,185.0,77.0,5.0,4.79,4,0.3,0.56,185.0,25,12,0,12,5,0,33,27,75,74,17,-10,8,-72
10,72.0,4.47,4.44,2,0.5,0.27,155.0,72.0,2.76,2.46,2,1.6,3.28,170.0,11,6,1,19,11,0,29,0,72,69,-4,14,-28,26
4,74.0,3.3,3.45,2,0.0,1.13,230.0,78.0,3.07,3.4,2,0.9,0.0,245.0,13,5,0,8,6,0,26,32,74,76,-18,-3,26,2
7,79.0,2.4,2.31,2,1.7,0.49,185.0,74.0,2.64,3.05,2,1.3,2.55,185.0,13,10,0,32,8,0,26,37,78,72,-18,-2,2,31
7,76.0,2.58,2.65,2,1.2,3.55,185.0,74.0,3.55,4.71,2,0.3,0.57,170.0,18,10,0,7,5,0,25,28,74,70,1,-6,27,2
10,72.0,2.91,2.75,4,0.9,1.62,170.0,70.0,2.21,2.23,2,0.9,3.76,170.0,31,12,0,22,11,0,27,27,70,68,-4,-12,-38,-20
6,71.0,2.98,3.09,2,0.4,1.18,145.0,70.0,3.03,3.17,4,0.8,0.67,155.0,28,17,0,25,9,0,22,32,69,67,-3,-6,8,5
7,74.0,2.74,3.01,4,0.5,3.51,170.0,73.0,4.0,2.27,4,0.0,0.0,185.0,7,3,0,15,6,0,22,34,73,73,-11,29,50,73
10,72.0,3.13,2.69,2,0.3,2.53,170.0,76.0,3.51,2.24,2,4.1,0.55,170.0,29,17,0,12,7,0,28,22,70,73,3,5,-14,47
7,72.0,4.56,5.13,4,0.7,1.42,185.0,73.0,3.92,2.21,2,0.0,1.38,185.0,10,6,0,17,14,1,30,37,72,69,16,10,67,-25
10,72.0,2.01,1.62,2,5.3,2.12,170.0,75.0,2.58,3.75,2,1.6,1.64,170.0,3,3,0,24,16,0,26,27,70,72,-7,2,-11,37
7,75.0,1.89,1.26,2,1.1,1.58,185.0,74.0,1.99,1.19,2,1.1,1.83,185.0,11,7,0,88,21,5,32,33,73,73,-4,6,-23,21
7,73.0,2.55,1.37,2,0.0,2.94,185.0,73.0,4.79,1.86,2,2.4,2.08,185.0,9,4,0,24,8,0,28,27,73,70,-7,-7,54,-25
5,77.0,2.81,4.38,2,0.7,1.05,205.0,73.0,2.51,3.25,2,0.1,1.52,205.0,19,7,0,36,11,0,29,30,75,73,-18,6,-8,-16
7,74.0,1.2,2.02,2,1.2,3.74,170.0,71.0,3.21,2.81,2,0.2,0.68,170.0,13,5,0,24,11,0,32,28,72,71,1,13,18,-12
6,70.0,2.44,2.05,2,2.2,2.75,145.0,71.0,2.51,1.95,4,0.8,4.08,155.0,31,14,0,40,14,0,26,25,67,70,13,-3,-9,-53
10,68.0,3.03,3.76,2,2.4,0.7,170.0,73.0,2.27,1.79,2,0.4,2.46,170.0,31,18,5,19,10,0,34,31,71,70,9,-5,7,-9
6,68.0,2.3,3.71,2,0.9,1.87,145.0,74.0,2.27,1.42,2,1.3,1.69,155.0,15,6,0,21,10,0,24,35,66,70,8,6,19,32
4,73.0,2.02,1.58,2,0.0,1.28,225.0,76.0,2.94,2.12,2,1.1,2.8,242.0,10,5,2,17,11,0,32,29,73,74,-8,-11,5,-23
6,74.0,3.88,3.0,2,1.8,0.6,145.0,69.0,3.62,3.37,2,0.5,0.81,155.0,21,11,0,14,9,0,24,31,73,67,1,-3,13,-22
6,70.0,2.67,3.87,2,0.3,0.87,145.0,68.0,1.85,2.96,2,0.2,1.3,155.0,23,11,0,48,15,3,29,25,66,69,-8,-1,-31,4
6,73.0,4.14,2.35,2,0.8,0.0,155.0,80.0,1.61,3.57,2,0.0,3.02,155.0,12,6,0,4,4,0,25,30,72,76,-20,-19,-80,-67
5,75.0,3.86,2.03,2,0.5,0.0,205.0,77.0,1.98,3.04,4,0.8,0.52,185.0,15,9,0,34,10,0,30,33,74,74,-14,-26,-77,-33
5,76.0,2.81,3.03,2,0.2,0.7,230.0,72.0,3.5,2.87,2,0.0,0.67,205.0,12,7,0,7,3,0,31,35,75,72,6,-6,33,19
6,71.0,2.85,1.78,2,2.4,1.53,155.0,68.0,2.39,3.6,2,0.3,2.36,145.0,22,12,0,22,7,1,34,27,66,66,0,-14,5,-28
4,77.0,2.33,6.37,2,0.4,5.13,240.0,76.0,1.92,1.31,2,0.2,6.39,205.0,14,3,0,13,4,0,26,24,73,75,26,-12,-9,60
10,78.0,1.83,3.25,2,0.6,2.43,205.0,74.0,4.3,2.74,2,0.8,0.28,170.0,22,6,0,9,5,0,24,28,74,70,9,8,7,30
7,76.0,2.58,2.65,2,1.2,3.55,185.0,73.0,0.55,1.94,2,3.1,7.28,170.0,18,10,0,33,15,0,25,25,74,72,-18,16,4,-38
7,73.0,10.0,3.16,2,0.0,0.0,185.0,75.0,3.13,3.59,2,3.3,0.41,185.0,8,3,0,12,4,0,22,31,73,75,-3,15,-100,-50
10,71.0,10.27,1.98,2,0.0,0.0,170.0,73.0,2.17,1.69,2,0.9,0.9,170.0,16,6,0,14,6,0,26,28,72,73,-24,-8,-50,-20
7,72.0,0.84,3.29,2,0.0,1.15,170.0,74.0,4.11,1.81,2,2.1,0.0,185.0,12,4,0,9,1,0,26,28,72,74,24,-12,25,50
10,73.0,3.59,4.55,2,0.7,0.93,170.0,71.0,7.08,1.2,2,0.0,0.0,170.0,18,13,1,13,5,0,31,30,70,71,8,26,50,76
6,69.0,1.55,1.14,2,2.5,1.22,155.0,71.0,1.88,1.25,2,3.4,2.13,155.0,6,3,0,14,6,0,29,27,70,70,-4,8,73,-25
10,76.0,1.4,3.78,2,1.1,4.16,185.0,76.0,1.65,2.61,2,0.8,3.6,170.0,26,2,0,27,5,1,27,30,71,72,3,18,23,27
4,78.0,1.77,2.37,2,0.7,1.22,250.0,81.0,2.11,3.53,2,0.5,3.9,265.0,28,14,0,5,3,0,30,31,76,75,-22,4,-5,-28
6,70.0,2.83,2.5,2,0.4,2.02,155.0,67.0,2.83,2.13,2,0.7,3.26,135.0,11,10,0,18,11,0,27,27,69,65,-11,9,18,-4
6,70.0,2.33,3.64,2,0.5,2.13,155.0,74.0,1.85,2.41,4,1.3,2.22,145.0,21,5,1,14,6,0,25,32,69,70,-4,-7,13,-8
7,72.0,2.01,1.82,4,1.0,2.49,170.0,80.0,2.7,1.55,2,2.0,1.43,185.0,28,9,0,26,16,0,31,33,73,75,-9,17,9,26
10,74.0,1.5,1.74,2,1.4,0.89,170.0,78.0,1.6,2.07,5,2.5,2.28,185.0,6,6,0,14,5,0,28,22,72,76,-6,13,5,9
4,82.0,1.28,3.33,2,0.2,2.3,240.0,75.0,3.86,0.27,2,4.0,0.0,250.0,29,9,2,11,4,0,33,34,76,75,46,16,56,52
5,72.0,3.28,2.79,2,0.0,0.0,205.0,84.0,2.03,4.31,2,0.5,1.9,205.0,6,3,0,25,1,0,31,21,72,76,-14,-5,-46,-35
10,75.0,1.36,2.32,2,1.6,1.31,170.0,70.0,3.38,0.96,2,0.4,1.94,170.0,16,8,0,14,5,0,31,27,73,70,-2,19,25,14
10,72.0,4.17,2.01,2,2.2,5.59,170.0,77.0,3.58,3.23,2,1.3,0.2,170.0,12,7,0,22,13,2,24,25,72,74,-14,-21,-7,-66
5,75.0,2.42,2.14,2,0.0,2.98,205.0,76.0,2.71,2.97,2,0.0,0.44,205.0,24,8,1,21,8,0,29,39,72,74,2,7,-31,-8
5,76.0,3.8,3.69,2,0.0,3.0,205.0,75.0,2.07,4.1,4,0.7,1.31,185.0,12,5,0,29,7,0,32,34,73,73,-2,-1,-32,28
7,74.0,2.7,2.44,2,0.3,1.52,185.0,71.0,2.04,1.75,2,4.1,3.93,170.0,32,15,0,24,5,0,38,28,71,68,-4,-8,7,57
7,72.0,3.28,3.22,2,2.0,1.86,170.0,74.0,2.32,2.71,2,0.8,1.87,185.0,20,7,0,38,19,2,26,29,72,72,-7,7,-10,8
10,76.0,1.89,2.12,4,0.6,2.93,170.0,75.0,2.58,3.75,2,1.6,1.64,170.0,22,4,1,24,16,0,27,27,74,72,-5,2,-4,8
6,68.0,2.31,2.0,2,1.5,3.83,145.0,70.0,1.94,2.45,2,0.8,2.9,155.0,24,7,1,16,6,0,24,29,67,68,-3,-1,-12,-7
5,74.0,2.9,2.93,2,0.8,1.45,185.0,72.0,5.53,1.65,2,0.0,0.0,205.0,21,13,0,12,4,0,27,0,72,72,22,2,34,59
7,75.0,1.84,3.21,2,2.4,1.35,185.0,80.0,2.7,1.55,2,2.0,1.43,185.0,25,12,0,26,16,0,33,33,75,75,6,4,20,-7
10,70.0,2.25,2.57,2,0.3,0.61,170.0,74.0,1.82,1.46,2,1.4,3.05,170.0,20,12,0,21,11,0,32,30,69,71,-3,-2,-1,-44
6,72.0,3.63,3.29,2,1.3,1.09,170.0,76.0,3.78,4.62,4,1.4,1.19,170.0,33,13,1,21,12,0,25,23,71,72,1,5,4,4
6,70.0,2.46,2.45,2,0.7,3.32,155.0,70.0,3.44,3.39,2,0.6,1.2,155.0,35,16,0,22,12,1,27,28,67,68,-15,8,0,23
7,77.0,3.13,3.33,2,1.2,2.2,205.0,73.0,3.1,2.7,2,0.9,0.44,185.0,26,14,0,17,7,0,28,24,73,74,8,-15,22,4
5,75.0,3.38,1.89,2,1.8,1.81,185.0,72.0,3.2,3.06,2,0.0,1.19,205.0,14,7,2,13,8,1,31,36,75,72,-20,4,-21,17
7,72.0,5.71,1.43,2,0.0,1.07,185.0,72.0,2.8,3.96,2,0.0,2.18,185.0,11,5,0,19,11,0,0,27,72,72,-5,-21,-58,-62
7,76.0,4.06,3.02,2,2.2,0.9,185.0,76.0,2.99,2.84,2,1.9,1.55,185.0,12,8,0,15,8,0,30,31,73,73,0,-3,16,26
6,71.0,3.45,1.99,2,0.0,0.65,155.0,71.0,5.39,2.84,2,2.0,2.39,155.0,15,8,0,28,16,0,26,24,69,70,1,4,5,-14
5,71.0,1.78,2.66,2,1.3,2.37,205.0,74.0,6.95,0.5,2,0.0,0.0,205.0,18,5,1,10,6,0,33,29,71,74,-22,38,25,25
7,72.0,4.56,5.13,4,0.7,1.42,185.0,73.0,3.59,2.08,4,1.4,2.74,185.0,10,6,0,13,6,0,30,26,72,74,6,-2,76,6
7,74.0,3.06,2.03,2,1.8,1.67,185.0,73.0,4.79,1.86,2,2.4,2.08,185.0,14,8,0,24,8,0,27,27,73,70,-12,11,8,22
7,74.0,2.87,2.87,4,0.8,1.14,185.0,75.0,2.71,4.33,2,0.3,1.05,185.0,22,11,0,31,9,0,28,29,71,73,4,-13,-2,-10
5,76.0,2.98,3.25,2,0.7,1.18,185.0,76.0,2.81,3.03,2,0.2,0.7,230.0,17,10,2,12,7,0,33,31,74,75,-20,7,-8,3
5,78.0,2.61,2.26,2,0.9,1.93,205.0,77.0,5.0,4.79,4,0.3,0.56,185.0,12,10,0,12,5,0,24,27,70,74,4,-4,19,-22
10,68.0,3.03,3.76,2,2.4,0.7,170.0,72.0,4.47,4.44,2,0.5,0.27,155.0,31,18,5,11,6,1,34,29,71,72,-2,3,30,-1
10,70.0,2.61,3.22,2,1.5,1.34,155.0,70.0,2.79,2.72,4,1.4,1.6,170.0,12,4,0,20,9,0,24,35,69,70,-2,-6,12,-17
10,74.0,3.44,2.46,2,0.4,0.73,170.0,68.0,2.67,2.18,5,0.5,1.01,170.0,25,10,0,32,16,7,26,34,72,67,-13,-12,-49,-11
4,70.0,8.57,2.64,2,0.0,0.0,242.0,80.0,3.53,4.38,2,0.0,1.42,265.0,10,3,0,12,2,0,0,33,70,74,3,-10,-33,8
6,71.0,1.64,1.11,2,0.0,2.65,155.0,72.0,2.76,2.46,2,1.6,3.28,170.0,16,9,0,19,11,0,29,0,70,69,6,13,10,-16
6,70.0,4.08,4.17,2,0.1,0.63,155.0,73.0,2.53,2.16,2,1.4,0.43,155.0,21,12,1,15,5,0,24,22,69,73,-7,-10,8,38
6,71.0,2.89,2.78,4,2.0,1.77,155.0,66.0,2.1,1.17,5,0.7,0.0,155.0,31,13,0,17,3,1,25,35,68,66,10,3,42,33
6,68.0,2.62,1.68,2,0.9,0.94,155.0,72.0,2.38,2.07,2,3.6,2.07,155.0,10,6,0,14,5,1,33,0,68,70,-27,-29,39,16
7,77.0,1.98,3.04,4,0.8,0.52,185.0,71.0,3.21,2.81,2,0.2,0.68,170.0,34,10,0,24,11,0,33,28,74,71,14,13,57,26
10,73.0,2.27,1.79,2,0.4,2.46,170.0,70.0,3.42,3.73,2,0.3,0.71,170.0,19,10,0,28,15,0,31,25,70,69,-5,1,-12,1
6,70.0,2.64,1.92,2,0.7,2.91,155.0,72.0,2.29,1.43,4,1.1,1.72,155.0,14,8,1,40,20,1,29,32,69,69,-5,6,5,56
4,77.0,2.45,3.61,2,1.1,1.65,231.0,77.0,3.09,4.76,2,0.1,0.33,238.0,23,8,1,21,6,0,31,24,76,76,3,-2,-25,-49
6,67.0,2.71,2.17,2,0.4,4.09,155.0,68.0,2.3,3.71,2,0.9,1.87,145.0,36,4,1,15,6,0,35,24,66,66,-6,-10,0,-3
7,72.0,4.56,5.13,4,0.7,1.42,185.0,78.0,2.99,2.13,2,1.1,2.1,185.0,10,6,0,28,9,0,30,27,72,73,11,0,73,26
6,70.0,3.03,3.17,4,0.8,0.67,155.0,71.0,1.88,1.25,2,3.4,2.13,155.0,25,9,0,14,6,0,32,27,67,70,4,6,3,10
7,73.0,2.16,1.11,2,2.7,0.33,185.0,74.0,3.06,2.03,2,1.8,1.67,185.0,26,19,1,14,8,0,30,27,73,73,26,-11,-45,-19
6,71.0,2.85,1.78,2,2.4,1.53,155.0,74.0,2.27,1.42,2,1.3,1.69,155.0,22,12,0,21,10,0,34,35,66,70,6,-4,9,10
10,72.0,3.13,2.69,2,0.3,2.53,170.0,75.0,3.65,2.6,2,0.9,0.91,170.0,29,17,0,9,5,0,28,26,70,71,1,0,15,25
4,81.0,2.11,3.53,2,0.5,3.9,265.0,75.0,1.53,2.85,2,0.5,2.78,205.0,5,3,0,19,11,0,31,45,75,73,15,-9,9,2
6,70.0,2.44,2.05,2,2.2,2.75,145.0,74.0,1.85,2.41,4,1.3,2.22,145.0,31,14,0,14,6,0,26,32,67,70,4,-3,11,-21
10,76.0,3.51,2.24,2,4.1,0.55,170.0,78.0,1.6,2.07,5,2.5,2.28,185.0,12,7,0,14,5,0,22,22,73,76,-9,0,0,-8
4,74.0,11.8,0.98,4,0.0,0.0,235.0,76.0,2.94,2.12,2,1.1,2.8,242.0,18,7,0,17,11,0,32,29,74,74,-25,-28,-39,-66
7,72.0,2.01,1.82,4,1.0,2.49,170.0,72.0,2.8,4.96,1,0.0,0.25,185.0,28,9,0,12,4,0,31,36,73,72,-1,-3,-8,1
6,69.0,3.62,3.37,2,0.5,0.81,155.0,69.0,3.78,3.45,4,0.1,1.18,155.0,14,9,0,29,14,1,31,28,67,68,-2,1,-11,0
6,71.0,2.98,3.09,2,0.4,1.18,145.0,70.0,3.28,3.57,4,0.7,1.89,170.0,28,17,0,29,12,0,22,24,69,68,-5,-4,-1,5
6,68.0,1.29,1.57,4,1.2,1.24,155.0,75.0,2.32,2.34,2,1.3,3.65,155.0,12,6,0,12,5,0,26,27,69,68,7,-9,14,-6
10,75.0,2.58,3.75,2,1.6,1.64,170.0,72.0,4.17,2.01,2,2.2,5.59,170.0,24,16,0,12,7,0,27,24,72,72,18,26,14,63
10,70.0,3.67,0.85,4,2.8,1.41,170.0,73.0,2.27,1.79,2,0.4,2.46,170.0,13,6,0,19,10,0,34,31,71,70,0,-27,-20,-39
10,77.0,2.29,2.36,2,0.6,1.06,170.0,73.0,2.0,1.61,2,0.6,4.17,170.0,15,6,0,23,12,0,29,29,73,72,-4,8,-20,16
5,74.0,3.14,3.27,2,0.0,0.65,205.0,75.0,5.76,3.63,2,0.7,0.65,185.0,11,5,0,7,6,0,26,22,74,74,5,5,-16,-23
7,75.0,3.13,3.59,2,3.3,0.41,185.0,74.0,4.11,1.81,2,2.1,0.0,185.0,12,4,0,9,1,0,31,28,75,74,-10,-2,100,50
6,68.0,3.57,3.18,2,1.5,2.14,155.0,71.0,2.89,2.78,4,2.0,1.77,155.0,16,9,0,31,13,0,25,25,70,68,10,-8,-5,9
10,70.0,2.21,2.23,2,0.9,3.76,170.0,73.0,2.17,1.69,2,0.9,0.9,170.0,22,11,0,14,6,0,27,28,68,73,-3,16,13,47
10,72.0,0.84,3.29,2,0.0,1.15,170.0,70.0,3.38,0.96,2,0.4,1.94,170.0,12,4,0,14,5,0,26,27,72,70,12,11,0,4
10,77.0,3.58,3.23,2,1.3,0.2,170.0,69.0,10.91,0.47,2,0.0,0.0,170.0,22,13,2,7,5,0,25,33,74,69,17,32,40,66
6,80.0,1.61,3.57,2,0.0,3.02,155.0,69.0,1.55,1.14,2,2.5,1.22,155.0,4,4,0,6,3,0,30,29,76,70,11,4,-20,75
4,73.0,2.02,1.58,2,0.0,1.28,225.0,74.0,3.3,3.45,2,0.0,1.13,230.0,10,5,2,13,5,0,32,26,73,74,-6,3,18,1
6,72.0,2.48,1.79,2,0.7,0.99,145.0,70.0,2.3,2.92,2,0.8,1.31,155.0,12,8,1,25,11,0,24,22,69,69,-9,-7,-12,-22
5,74.0,1.39,2.82,2,0.4,3.37,205.0,79.0,3.97,2.14,2,0.8,1.55,205.0,23,5,0,11,7,0,25,24,74,75,19,3,0,14
10,74.0,4.3,2.74,2,0.8,0.28,170.0,78.0,1.83,3.25,2,0.6,2.43,205.0,9,5,0,22,6,0,28,24,70,74,-9,-8,-7,-30
7,76.0,4.06,3.02,2,2.2,0.9,185.0,80.0,2.7,1.55,2,2.0,1.43,185.0,12,8,0,26,16,0,30,33,73,75,-13,10,50,22
6,67.0,4.32,2.88,2,0.7,4.88,155.0,69.0,1.76,3.76,2,3.5,3.53,155.0,3,4,0,4,5,0,29,24,67,69,-2,1,-23,0
