weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
10,74.0,2.62,3.66,2,51,66,0.0,76,1.94,73,170.0,71.0,2.17,2.8,4,51,45,2.1,33,3.32,50,170.0,15,7,0,14,1,0,37,36,73,71,0.6818181818181818,0.9333333333333333
7,74.0,2.44,2.94,2,44,54,0.0,44,1.38,65,185.0,73.0,5.72,3.71,2,45,55,1.0,20,1.31,75,185.0,11,4,0,12,6,0,28,32,72,73,0.7333333333333333,0.6666666666666666
7,70.0,4.64,3.62,4,38,61,0.3,34,1.86,78,185.0,73.0,2.57,3.85,4,49,65,0.3,0,0.0,72,185.0,13,4,0,11,1,0,41,27,72,75,0.7647058823529411,0.9166666666666666
11,65.0,3.9,3.21,2,57,45,0.2,33,0.83,52,135.0,68.0,2.84,2.72,4,49,50,0.0,77,3.18,20,135.0,10,4,0,5,3,0,36,30,67,66,0.7142857142857143,0.625
10,76.0,4.31,3.52,0,41,57,0.7,15,0.32,63,170.0,75.0,4.12,4.17,4,37,61,0.0,44,2.91,0,170.0,12,6,0,11,3,0,29,25,73,71,0.6666666666666666,0.7857142857142857
13,63.0,2.75,2.18,0,50,54,1.3,47,3.44,0,125.0,62.0,4.95,6.49,2,49,68,0.9,33,2.59,40,125.0,7,4,0,10,2,0,23,28,65,64,0.6363636363636364,0.8333333333333334
7,75.0,3.31,3.29,2,55,51,0.7,32,1.7,60,185.0,75.0,2.39,4.19,2,42,53,0.0,28,1.27,59,185.0,15,10,0,17,3,0,37,30,75,73,0.6,0.85
0,67.0,3.69,3.53,2,39,58,0.5,25,0.46,66,135.0,68.0,3.88,4.1,2,40,61,0.0,23,0.7,95,135.0,23,6,1,22,4,0,30,29,66,64,0.7666666666666667,0.8461538461538461
6,72.0,2.55,3.29,2,45,56,0.4,60,4.0,22,155.0,71.0,2.14,3.58,2,49,60,0.9,47,7.02,0,155.0,12,2,0,13,1,0,36,32,70,67,0.8571428571428571,0.9285714285714286
4,77.0,2.68,2.96,4,38,61,0.2,33,0.35,76,250.0,82.0,5.3,2.6,2,35,46,0.0,66,0.74,0,245.0,13,7,0,6,3,0,35,28,77,79,0.65,0.6666666666666666
10,71.0,2.83,2.47,2,39,60,0.4,47,2.04,86,170.0,77.0,3.58,3.23,2,50,51,1.3,40,0.2,66,170.0,31,15,0,22,13,2,33,35,69,74,0.6739130434782609,0.5945945945945946
2,70.0,2.87,4.25,4,36,67,0.6,30,0.58,93,145.0,69.0,3.93,3.08,2,46,56,0.3,18,0.56,60,145.0,16,4,0,7,4,0,29,30,67,65,0.8,0.6363636363636364
5,76.0,5.34,4.26,2,42,55,0.0,23,0.53,83,205.0,75.0,3.2,3.05,4,44,55,0.1,16,0.09,82,205.0,17,11,0,33,13,0,33,32,75,74,0.6071428571428571,0.717391304347826
13,67.0,3.42,4.77,0,39,58,0.0,44,2.0,63,135.0,67.0,3.59,3.53,2,38,61,0.0,28,0.89,62,125.0,5,4,0,11,4,0,33,35,64,65,0.5555555555555556,0.7333333333333333
6,68.0,3.09,3.47,2,50,49,1.3,34,3.59,44,155.0,73.0,3.53,4.69,4,43,55,0.0,33,0.94,77,155.0,30,10,2,8,2,0,34,29,68,69,0.7142857142857143,0.8
10,72.0,3.81,4.37,2,41,60,0.2,31,2.15,83,170.0,75.0,3.62,1.1,4,20,49,0.3,26,1.35,16,170.0,16,3,0,14,4,0,30,32,71,74,0.8421052631578947,0.7777777777777778
6,71.0,2.51,1.95,4,31,63,0.8,53,4.08,92,155.0,73.0,2.51,3.7,4,46,69,0.0,50,1.62,75,155.0,40,14,0,23,8,0,35,29,70,70,0.7407407407407407,0.7419354838709677
