weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
10,69.0,1.33,1.63,2,48,55,0.3,100,0.3,46,170.0,69.0,1.55,0.65,2,41,44,0.9,70,2.47,43,170.0,23,21,0,16,14,0,31,26,69,69,0.5227272727272727,0.5333333333333333
10,74.0,4.16,3.57,4,45,60,0.0,66,0.71,65,170.0,70.0,2.94,2.78,2,46,58,0.0,50,0.41,61,170.0,28,14,0,10,7,1,20,25,71,70,0.6666666666666666,0.5555555555555556
4,71.0,3.11,2.54,2,48,44,0.7,40,1.44,80,225.0,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,19,7,1,28,19,0,36,23,71,75,0.7037037037037037,0.5957446808510638
4,74.0,1.62,1.9,2,44,59,0.1,46,3.25,70,205.0,75.0,4.03,0.48,2,30,41,1.2,57,4.84,44,205.0,26,7,0,64,14,0,31,24,72,75,0.7878787878787878,0.8205128205128205
7,74.0,2.5,1.54,4,56,38,2.4,50,0.8,25,185.0,71.0,1.93,1.61,2,54,50,0.6,25,3.62,100,185.0,20,18,1,16,0,0,35,23,74,71,0.5128205128205128,1.0
4,80.0,2.61,4.23,2,41,61,0.1,100,0.11,75,265.0,76.0,1.15,1.85,2,51,61,1.0,39,2.3,40,265.0,30,7,0,47,13,0,27,26,80,76,0.8108108108108109,0.7833333333333333
4,72.0,3.55,1.35,5,30,38,0.0,33,1.07,66,265.0,79.0,3.84,2.18,4,47,38,2.0,40,2.02,54,264.0,10,14,0,18,11,0,0,24,72,75,0.4166666666666667,0.6206896551724138
6,70.0,3.2,2.76,2,48,56,0.5,55,1.19,74,155.0,70.0,1.9,1.91,4,49,50,0.5,31,1.95,37,155.0,16,14,2,26,15,5,25,28,69,67,0.5,0.5652173913043478
7,72.0,3.93,2.77,2,45,40,0.5,47,1.46,60,170.0,74.0,1.56,2.62,4,50,52,1.3,48,3.01,60,185.0,14,15,0,22,9,0,27,33,69,72,0.4827586206896552,0.7096774193548387
4,74.0,1.62,1.9,2,44,59,0.1,46,3.25,70,205.0,73.0,3.02,1.93,2,34,50,0.0,28,0.26,78,241.0,26,7,0,19,10,0,32,29,72,73,0.7878787878787878,0.6551724137931034
6,68.0,2.64,1.98,2,39,46,0.9,20,2.05,38,170.0,69.0,2.6,1.85,2,37,59,1.2,52,1.38,76,155.0,11,7,0,25,8,0,29,27,66,69,0.6111111111111112,0.7575757575757576
4,82.0,2.31,2.2,2,29,59,0.0,25,0.65,83,265.0,74.0,1.87,0.21,2,25,60,3.1,0,0.0,0,238.0,13,5,0,0,2,0,27,24,82,74,0.7222222222222222,0.0
6,72.0,2.29,1.43,4,37,60,1.1,42,1.72,25,155.0,73.0,2.34,2.91,4,42,66,0.7,53,0.76,69,155.0,40,20,1,42,22,1,27,27,69,69,0.6557377049180327,0.6461538461538462
10,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,170.0,67.0,2.71,2.17,2,35,55,0.4,46,4.09,56,155.0,45,9,0,36,4,1,30,30,69,66,0.8333333333333334,0.8780487804878049
10,74.0,4.16,3.57,4,45,60,0.0,66,0.71,65,170.0,69.0,1.33,1.63,2,48,55,0.3,100,0.3,46,170.0,28,14,0,23,21,0,21,32,71,69,0.6666666666666666,0.5227272727272727
10,70.0,1.88,3.04,2,45,59,0.0,33,0.72,33,170.0,70.0,2.83,1.8,2,35,50,0.0,62,2.5,83,170.0,25,8,4,7,1,0,34,26,70,70,0.6756756756756757,0.875
4,72.0,3.25,0.89,2,37,47,0.0,0,0.0,0,235.0,75.0,8.8,2.6,2,36,40,0.0,0,0.0,90,260.0,4,3,0,19,14,0,32,25,72,75,0.5714285714285714,0.5757575757575758
5,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,185.0,74.0,2.64,3.05,2,59,56,1.3,43,2.55,25,185.0,29,7,0,32,8,0,29,32,73,72,0.8055555555555556,0.8
6,69.0,2.23,1.55,2,39,33,4.2,60,3.58,50,155.0,70.0,3.04,4.61,2,44,57,0.1,25,0.43,59,170.0,15,4,2,29,14,0,25,25,69,70,0.7142857142857143,0.6744186046511628
6,71.0,2.85,1.78,2,39,55,2.4,36,1.53,37,155.0,67.0,1.66,1.97,2,41,58,1.5,61,4.68,65,155.0,22,12,0,19,3,0,29,24,66,67,0.6470588235294118,0.8636363636363636
7,74.0,2.5,1.54,4,56,38,2.4,50,0.8,25,185.0,76.0,3.64,1.59,2,44,43,0.1,42,0.43,36,185.0,20,18,1,20,10,0,36,24,74,72,0.5128205128205128,0.6666666666666666
5,75.0,1.53,2.85,2,57,59,0.5,46,2.78,58,205.0,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,205.0,19,11,0,21,8,0,40,34,73,74,0.6333333333333333,0.7241379310344828
4,72.0,3.55,1.35,5,30,38,0.0,33,1.07,66,265.0,75.0,2.12,0.76,2,83,30,2.3,100,4.55,0,235.0,10,14,0,10,7,1,0,35,72,75,0.4166666666666667,0.5555555555555556
5,74.0,2.83,1.59,4,46,50,0.6,60,1.02,53,185.0,73.0,3.92,2.21,2,35,42,0.0,33,1.38,81,185.0,26,14,0,17,14,1,26,32,72,69,0.65,0.53125
4,71.0,3.11,2.54,2,48,44,0.7,40,1.44,80,225.0,72.0,2.2,2.11,4,38,54,0.0,28,0.88,44,205.0,19,7,1,26,33,2,37,32,71,72,0.7037037037037037,0.4262295081967213
4,79.0,3.84,2.18,4,47,38,2.0,40,2.02,54,264.0,82.0,2.95,0.98,2,51,37,2.3,0,0.0,40,260.0,18,11,0,22,13,1,24,24,75,82,0.6206896551724138,0.6111111111111112
6,67.0,1.4,0.2,2,25,47,0.0,12,2.0,0,155.0,73.0,2.34,2.91,4,42,66,0.7,53,0.76,69,155.0,1,1,0,42,22,1,36,27,67,69,0.5,0.6461538461538462
7,70.0,3.68,1.88,2,49,47,0.0,33,0.72,86,185.0,74.0,1.56,2.62,4,50,52,1.3,48,3.01,60,185.0,29,10,0,22,9,0,29,33,70,72,0.7435897435897436,0.7096774193548387
4,74.0,3.02,1.83,2,35,56,0.0,100,0.87,80,233.0,73.0,3.02,1.93,2,34,50,0.0,28,0.26,78,241.0,7,5,1,19,10,0,38,29,74,73,0.5384615384615384,0.6551724137931034
5,75.0,1.53,2.85,2,57,59,0.5,46,2.78,58,205.0,74.0,2.88,2.59,2,46,60,0.6,35,2.47,54,205.0,19,11,0,17,11,1,40,28,73,75,0.6333333333333333,0.5862068965517241
4,74.0,1.62,1.9,2,44,59,0.1,46,3.25,70,205.0,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,26,7,0,28,19,0,32,24,72,75,0.7878787878787878,0.5957446808510638
4,80.0,2.61,4.23,2,41,61,0.1,100,0.11,75,265.0,82.0,2.31,2.2,2,29,59,0.0,25,0.65,83,265.0,30,7,0,13,5,0,27,27,80,82,0.8108108108108109,0.7222222222222222
7,76.0,3.64,1.59,2,44,43,0.1,42,0.43,36,185.0,73.0,2.64,3.16,2,48,54,0.1,50,0.84,63,185.0,20,10,0,19,9,0,24,31,72,73,0.6666666666666666,0.6785714285714286
5,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,185.0,73.0,6.19,1.53,2,33,39,3.3,66,2.18,0,185.0,29,7,0,37,15,0,29,21,73,73,0.8055555555555556,0.7115384615384616
10,70.0,1.88,3.04,2,45,59,0.0,33,0.72,33,170.0,72.0,2.19,2.49,2,41,58,1.0,59,5.27,59,170.0,25,8,4,19,8,0,34,21,70,70,0.6756756756756757,0.7037037037037037
6,71.0,2.12,2.59,2,47,64,1.3,39,1.92,54,155.0,69.0,4.0,0.0,2,0,38,16.4,0,0.0,0,155.0,21,8,0,9,7,0,25,24,70,69,0.7241379310344828,0.5625
10,70.0,2.03,0.71,2,27,25,0.0,40,1.52,58,170.0,76.0,3.56,5.43,4,42,61,1.0,33,1.32,60,185.0,9,5,0,26,9,0,21,20,70,73,0.6428571428571429,0.7428571428571429
6,71.0,2.85,1.78,2,39,55,2.4,36,1.53,37,155.0,70.0,1.9,1.91,4,49,50,0.5,31,1.95,37,155.0,22,12,0,26,15,5,29,28,66,67,0.6470588235294118,0.5652173913043478
10,71.0,1.9,2.79,4,46,56,0.8,47,2.35,75,170.0,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,170.0,21,9,0,45,9,0,31,30,69,69,0.7,0.8333333333333334
7,74.0,1.56,2.62,4,50,52,1.3,48,3.01,60,185.0,70.0,3.68,1.88,2,49,47,0.0,33,0.72,86,185.0,22,9,0,29,10,0,33,29,72,70,0.7096774193548387,0.7435897435897436
4,72.0,3.55,1.35,5,30,38,0.0,33,1.07,66,265.0,75.0,8.8,2.6,2,36,40,0.0,0,0.0,90,260.0,10,14,0,19,14,0,0,25,72,75,0.4166666666666667,0.5757575757575758
7,74.0,2.64,3.05,2,59,56,1.3,43,2.55,25,185.0,72.0,3.93,2.77,2,45,40,0.5,47,1.46,60,170.0,32,8,0,14,15,0,32,27,72,69,0.8,0.4827586206896552
10,68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,170.0,74.0,4.16,3.57,4,45,60,0.0,66,0.71,65,170.0,31,18,5,28,14,0,29,21,71,71,0.5740740740740741,0.6666666666666666
4,73.0,3.02,1.93,2,34,50,0.0,28,0.26,78,241.0,76.0,1.15,1.85,2,51,61,1.0,39,2.3,40,265.0,19,10,0,47,13,0,29,26,73,76,0.6551724137931034,0.7833333333333333
7,69.0,1.44,0.29,2,33,0,0.0,0,0.0,50,185.0,72.0,0.21,1.13,2,73,66,4.6,75,4.63,100,185.0,13,9,0,12,4,1,0,0,69,72,0.5909090909090909,0.7058823529411765
6,73.0,2.34,2.91,4,42,66,0.7,53,0.76,69,155.0,68.0,4.56,0.69,2,11,42,0.0,0,0.0,0,155.0,42,22,1,24,6,0,27,24,69,68,0.6461538461538462,0.8
5,75.0,1.53,2.85,2,57,59,0.5,46,2.78,58,205.0,74.0,2.83,1.59,4,46,50,0.6,60,1.02,53,185.0,19,11,0,26,14,0,41,27,73,72,0.6333333333333333,0.65
10,73.0,1.87,0.92,2,48,47,2.5,30,1.46,50,170.0,69.0,1.55,0.65,2,41,44,0.9,70,2.47,43,170.0,7,5,0,16,14,0,31,28,73,69,0.5833333333333334,0.5333333333333333
10,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,170.0,70.0,3.2,2.76,2,48,56,0.5,55,1.19,74,155.0,45,9,0,16,14,2,31,26,69,69,0.8333333333333334,0.5
4,79.0,3.84,2.18,4,47,38,2.0,40,2.02,54,264.0,82.0,2.95,0.98,2,51,37,2.3,0,0.0,40,260.0,18,11,0,22,13,1,25,25,75,82,0.6206896551724138,0.6111111111111112
7,73.0,2.64,3.16,2,48,54,0.1,50,0.84,63,185.0,75.0,3.28,0.36,2,15,32,1.8,100,0.9,42,185.0,19,9,0,8,2,1,32,27,73,75,0.6785714285714286,0.7272727272727273
10,76.0,1.4,3.78,2,53,72,1.1,74,4.16,83,185.0,72.0,2.19,2.49,2,41,58,1.0,59,5.27,59,170.0,26,2,0,19,8,0,23,22,71,70,0.9285714285714286,0.7037037037037037
6,71.0,2.85,1.78,2,39,55,2.4,36,1.53,37,155.0,71.0,2.12,2.59,2,47,64,1.3,39,1.92,54,155.0,22,12,0,21,8,0,30,26,66,70,0.6470588235294118,0.7241379310344828
6,68.0,2.64,1.98,2,39,46,0.9,20,2.05,38,170.0,69.0,2.48,1.54,2,31,60,1.2,12,0.35,35,135.0,11,7,0,35,15,1,30,27,66,66,0.6111111111111112,0.6862745098039216
5,74.0,2.88,2.59,2,46,60,0.6,35,2.47,54,205.0,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,205.0,17,11,1,21,8,0,29,35,75,74,0.5862068965517241,0.7241379310344828
10,68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,170.0,70.0,2.94,2.78,2,46,58,0.0,50,0.41,61,170.0,31,18,5,10,7,1,30,27,71,70,0.5740740740740741,0.5555555555555556
6,71.0,2.85,1.78,2,39,55,2.4,36,1.53,37,155.0,73.0,2.34,2.91,4,42,66,0.7,53,0.76,69,155.0,22,12,0,42,22,1,30,28,66,69,0.6470588235294118,0.6461538461538462
4,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,75.0,8.8,2.6,2,36,40,0.0,0,0.0,90,260.0,28,19,0,19,14,0,25,26,75,75,0.5957446808510638,0.5757575757575758
10,74.0,4.16,3.57,4,45,60,0.0,66,0.71,65,170.0,76.0,3.56,5.43,4,42,61,1.0,33,1.32,60,185.0,28,14,0,26,9,0,22,21,71,73,0.6666666666666666,0.7428571428571429
4,77.0,2.76,4.5,2,51,54,0.9,62,1.55,50,205.0,82.0,2.95,0.98,2,51,37,2.3,0,0.0,40,260.0,19,9,1,22,13,1,24,25,76,82,0.6551724137931034,0.6111111111111112
4,75.0,2.14,4.29,2,86,0,0.0,0,0.0,75,245.0,75.0,5.47,1.27,4,58,31,0.0,20,1.91,0,250.0,10,5,0,11,2,0,29,26,75,75,0.6666666666666666,0.8461538461538461
6,69.0,2.23,1.55,2,39,33,4.2,60,3.58,50,155.0,70.0,2.45,2.98,2,44,60,0.6,40,3.23,66,145.0,15,4,2,26,9,0,26,29,69,66,0.7142857142857143,0.7428571428571429
4,75.0,2.12,0.76,2,83,30,2.3,100,4.55,0,235.0,72.0,4.3,1.47,2,46,39,2.5,60,0.94,44,205.0,10,7,1,28,16,2,36,40,75,73,0.5555555555555556,0.6086956521739131
10,71.0,1.9,2.79,4,46,56,0.8,47,2.35,75,170.0,72.0,1.96,1.12,2,44,43,2.1,30,1.79,25,155.0,21,9,0,67,14,2,32,29,69,69,0.7,0.8072289156626506
4,80.0,2.61,4.23,2,41,61,0.1,100,0.11,75,265.0,79.0,3.84,2.18,4,47,38,2.0,40,2.02,54,264.0,30,7,0,18,11,0,28,25,80,75,0.8108108108108109,0.6206896551724138
10,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,170.0,73.0,1.87,0.92,2,48,47,2.5,30,1.46,50,170.0,45,9,0,7,5,0,31,31,69,73,0.8333333333333334,0.5833333333333334
7,72.0,3.93,2.77,2,45,40,0.5,47,1.46,60,170.0,74.0,2.64,3.05,2,59,56,1.3,43,2.55,25,185.0,14,15,0,32,8,0,28,33,69,72,0.4827586206896552,0.8
6,68.0,2.64,1.98,2,39,46,0.9,20,2.05,38,170.0,64.0,2.76,2.78,2,37,65,1.0,28,0.56,38,145.0,11,7,0,25,12,0,30,22,66,66,0.6111111111111112,0.6756756756756757
10,75.0,1.89,1.66,2,32,61,1.0,60,4.05,66,170.0,76.0,1.4,3.78,2,53,72,1.1,74,4.16,83,185.0,23,7,0,26,2,0,28,23,72,71,0.7666666666666667,0.9285714285714286
7,75.0,2.02,2.59,2,60,48,1.0,55,3.38,74,185.0,73.0,3.2,0.69,4,67,29,0.0,0,0.0,20,185.0,23,8,1,11,12,1,32,31,73,73,0.71875,0.4583333333333333
5,74.0,2.83,1.59,4,46,50,0.6,60,1.02,53,185.0,75.0,1.53,2.85,2,57,59,0.5,46,2.78,58,205.0,26,14,0,19,11,0,27,41,72,73,0.65,0.6333333333333333
7,70.0,1.69,2.41,4,51,57,0.6,55,2.45,62,185.0,75.0,2.79,1.43,2,42,50,2.3,33,2.02,33,185.0,41,17,0,47,16,0,22,27,72,72,0.7068965517241379,0.746031746031746
5,72.0,2.2,2.11,4,38,54,0.0,28,0.88,44,205.0,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,205.0,26,33,2,21,8,0,33,35,72,74,0.4262295081967213,0.7241379310344828
7,73.0,2.71,2.34,4,63,37,5.5,50,5.54,0,185.0,74.0,1.56,2.62,4,50,52,1.3,48,3.01,60,185.0,6,2,0,22,9,0,26,34,73,72,0.75,0.7096774193548387
4,77.0,2.76,4.5,2,51,54,0.9,62,1.55,50,205.0,73.0,6.56,1.78,2,30,47,0.0,0,0.0,0,235.0,19,9,1,19,7,1,24,26,76,73,0.6551724137931034,0.7037037037037037
10,68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,170.0,71.0,3.01,1.45,2,57,50,0.0,100,1.81,100,170.0,31,18,5,24,24,2,30,34,71,71,0.5740740740740741,0.48
10,76.0,3.56,5.43,4,42,61,1.0,33,1.32,60,185.0,72.0,2.19,2.49,2,41,58,1.0,59,5.27,59,170.0,26,9,0,19,8,0,21,22,73,70,0.7428571428571429,0.7037037037037037
6,73.0,2.34,2.91,4,42,66,0.7,53,0.76,69,155.0,71.0,2.12,2.59,2,47,64,1.3,39,1.92,54,155.0,42,22,1,21,8,0,28,26,69,70,0.6461538461538462,0.7241379310344828
5,71.0,3.21,2.81,2,48,48,0.2,20,0.68,43,170.0,74.0,2.88,2.59,2,46,60,0.6,35,2.47,54,205.0,24,11,0,17,11,1,24,29,71,75,0.6857142857142857,0.5862068965517241
7,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,185.0,73.0,2.64,3.16,2,48,54,0.1,50,0.84,63,185.0,29,7,0,19,9,0,30,32,73,73,0.8055555555555556,0.6785714285714286
10,76.0,1.4,3.78,2,53,72,1.1,74,4.16,83,185.0,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,170.0,26,2,0,45,9,0,23,31,71,69,0.9285714285714286,0.8333333333333334
10,71.0,1.9,2.79,4,46,56,0.8,47,2.35,75,170.0,73.0,1.87,0.92,2,48,47,2.5,30,1.46,50,170.0,21,9,0,7,5,0,32,31,69,73,0.7,0.5833333333333334
7,74.0,4.16,3.57,4,45,60,0.0,66,0.71,65,170.0,74.0,2.64,3.05,2,59,56,1.3,43,2.55,25,185.0,28,14,0,32,8,0,22,33,71,72,0.6666666666666666,0.8
7,72.0,1.19,3.01,2,47,76,2.5,18,0.49,36,185.0,72.0,6.5,3.49,2,39,43,0.5,0,0.0,66,185.0,13,8,0,14,9,1,33,33,72,72,0.6190476190476191,0.5833333333333334
5,73.0,3.92,2.21,2,35,42,0.0,33,1.38,81,185.0,75.0,2.42,0.41,2,32,42,0.7,24,1.95,30,185.0,17,14,1,10,6,0,33,31,69,71,0.53125,0.625
5,74.0,2.88,2.59,2,46,60,0.6,35,2.47,54,205.0,74.0,2.83,1.59,4,46,50,0.6,60,1.02,53,185.0,17,11,1,26,14,0,30,28,75,72,0.5862068965517241,0.65
7,72.0,3.93,2.77,2,45,40,0.5,47,1.46,60,170.0,75.0,3.65,2.6,2,42,51,0.9,21,0.91,47,170.0,14,15,0,9,5,0,29,23,69,71,0.4827586206896552,0.6428571428571429
4,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,80.0,2.61,4.23,2,41,61,0.1,100,0.11,75,265.0,28,19,0,30,7,0,26,29,75,80,0.5957446808510638,0.8108108108108109
7,73.0,2.71,2.34,4,63,37,5.5,50,5.54,0,185.0,74.0,2.64,3.05,2,59,56,1.3,43,2.55,25,185.0,6,2,0,32,8,0,27,34,73,72,0.75,0.8
4,77.0,3.83,3.29,2,45,52,0.4,33,0.19,39,245.0,73.0,6.56,1.78,2,30,47,0.0,0,0.0,0,235.0,29,14,0,19,7,1,31,27,74,73,0.6744186046511628,0.7037037037037037
4,75.0,3.86,2.03,2,48,35,0.5,0,0.0,36,205.0,77.0,2.76,4.5,2,51,54,0.9,62,1.55,50,205.0,15,9,0,19,9,1,27,25,74,76,0.625,0.6551724137931034
7,76.0,3.64,1.59,2,44,43,0.1,42,0.43,36,185.0,70.0,2.58,2.08,4,40,53,0.0,100,1.49,0,185.0,20,10,0,17,14,1,26,32,72,70,0.6666666666666666,0.53125
10,68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,170.0,72.0,2.19,2.49,2,41,58,1.0,59,5.27,59,170.0,31,18,5,19,8,0,31,23,71,70,0.5740740740740741,0.7037037037037037
10,76.0,3.56,5.43,4,42,61,1.0,33,1.32,60,185.0,70.0,2.29,2.33,2,41,57,2.2,35,1.3,30,155.0,26,9,0,41,16,0,22,26,73,70,0.7428571428571429,0.7192982456140351
5,72.0,4.3,1.47,2,46,39,2.5,60,0.94,44,205.0,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,185.0,28,16,2,29,7,0,41,31,73,73,0.6086956521739131,0.8055555555555556
5,77.0,2.81,4.38,2,36,61,0.7,48,1.05,57,205.0,78.0,3.01,2.76,2,38,52,1.0,40,1.32,60,205.0,19,7,0,17,8,0,26,28,75,76,0.7307692307692307,0.68
7,74.0,1.85,2.41,4,40,63,1.3,33,2.22,60,145.0,72.0,2.91,2.75,4,38,57,0.9,25,1.62,47,170.0,14,6,0,31,12,0,29,24,70,70,0.7,0.7209302325581395
5,74.0,2.25,1.07,2,25,57,1.3,38,1.12,29,205.0,74.0,1.38,0.99,2,39,65,1.3,78,3.98,64,205.0,10,4,0,10,6,0,25,36,74,74,0.7142857142857143,0.625
7,70.0,17.05,0.63,2,33,32,0.0,0,0.0,0,185.0,74.0,2.87,2.87,4,42,52,0.8,41,1.14,53,185.0,0,1,0,22,11,0,30,25,70,71,0.0,0.6666666666666666
7,73.0,2.27,1.79,2,36,63,0.4,48,2.46,64,170.0,71.0,3.22,0.23,2,50,17,3.5,0,0.0,0,185.0,19,10,0,5,1,0,28,37,70,71,0.6551724137931034,0.8333333333333334
7,69.0,6.7,2.45,2,44,49,0.0,0,0.0,75,185.0,72.0,2.8,4.96,1,44,66,0.0,33,0.25,60,185.0,15,9,0,12,4,0,32,33,69,72,0.625,0.75
7,77.0,2.29,2.36,2,37,54,0.6,50,1.06,61,170.0,75.0,2.27,1.22,2,40,42,4.9,0,0.0,22,185.0,15,6,0,15,10,0,26,29,73,75,0.7142857142857143,0.6
10,72.0,3.6,0.6,2,33,50,9.0,0,0.0,0,170.0,66.0,2.37,2.39,2,38,57,1.1,42,2.64,86,155.0,9,8,0,10,6,0,24,28,72,68,0.5294117647058824,0.625
5,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,205.0,75.0,1.53,2.85,2,57,59,0.5,46,2.78,58,205.0,21,8,0,19,11,0,36,42,74,73,0.7241379310344828,0.6333333333333333
5,75.0,4.03,0.48,2,30,41,1.2,57,4.84,44,205.0,75.0,1.53,2.23,2,45,57,2.6,42,2.48,65,205.0,64,14,0,36,9,0,27,30,75,73,0.8205128205128205,0.8
10,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,170.0,71.0,1.9,2.79,4,46,56,0.8,47,2.35,75,170.0,45,9,0,21,9,0,32,33,69,69,0.8333333333333334,0.7
7,75.0,2.42,0.41,2,32,42,0.7,24,1.95,30,185.0,74.0,1.56,2.62,4,50,52,1.3,48,3.01,60,185.0,10,6,0,22,9,0,32,35,71,72,0.625,0.7096774193548387
10,76.0,1.4,3.78,2,53,72,1.1,74,4.16,83,185.0,72.0,2.3,1.83,2,43,49,1.3,28,1.31,43,185.0,26,2,0,34,10,0,24,25,71,73,0.9285714285714286,0.7727272727272727
7,70.0,1.69,2.41,4,51,57,0.6,55,2.45,62,185.0,72.0,1.19,3.01,2,47,76,2.5,18,0.49,36,185.0,41,17,0,13,8,0,23,34,72,72,0.7068965517241379,0.6190476190476191
7,75.0,2.79,1.43,2,42,50,2.3,33,2.02,33,185.0,71.0,3.21,2.81,2,48,48,0.2,20,0.68,43,170.0,47,16,0,24,11,0,28,25,72,71,0.746031746031746,0.6857142857142857
4,72.0,2.23,0.83,2,42,40,0.4,100,0.43,54,265.0,74.0,1.91,1.52,5,41,41,0.0,14,1.06,37,205.0,8,7,0,8,5,0,35,40,72,74,0.5333333333333333,0.6153846153846154
4,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,73.0,6.56,1.78,2,30,47,0.0,0,0.0,0,235.0,28,19,0,19,7,1,26,27,75,73,0.5957446808510638,0.7037037037037037
10,68.0,2.64,1.98,2,39,46,0.9,20,2.05,38,170.0,72.0,2.19,2.49,2,41,58,1.0,59,5.27,59,170.0,11,7,0,19,8,0,31,23,66,70,0.6111111111111112,0.7037037037037037
7,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,185.0,74.0,2.64,3.05,2,59,56,1.3,43,2.55,25,185.0,29,7,0,32,8,0,31,34,73,72,0.8055555555555556,0.8
5,75.0,3.59,1.54,2,85,17,3.9,0,0.0,0,200.0,77.0,2.81,4.38,2,36,61,0.7,48,1.05,57,205.0,20,7,1,19,7,0,38,26,75,75,0.7142857142857143,0.7307692307692307
4,77.0,3.83,3.29,2,45,52,0.4,33,0.19,39,245.0,75.0,1.91,2.0,2,40,55,0.6,0,0.0,77,245.0,29,14,0,11,9,0,31,35,74,75,0.6744186046511628,0.55
7,70.0,2.32,1.62,4,36,47,0.0,66,0.75,75,170.0,72.0,2.8,4.96,1,44,66,0.0,33,0.25,60,185.0,50,27,7,12,4,0,33,33,70,72,0.5952380952380952,0.75
7,76.0,3.64,1.59,2,44,43,0.1,42,0.43,36,185.0,71.0,4.03,0.18,2,12,56,2.7,60,2.67,0,185.0,20,10,0,10,5,0,26,25,72,70,0.6666666666666666,0.6666666666666666
10,68.0,17.86,1.43,2,9,43,0.0,0,0.0,0,170.0,76.0,3.56,5.43,4,42,61,1.0,33,1.32,60,185.0,21,8,8,26,9,0,28,22,68,73,0.5675675675675675,0.7428571428571429
7,74.0,2.32,2.71,2,49,55,0.8,51,1.87,70,185.0,72.0,1.19,3.01,2,47,76,2.5,18,0.49,36,185.0,38,19,2,13,8,0,26,34,72,72,0.6440677966101694,0.6190476190476191
7,71.0,3.21,2.81,2,48,48,0.2,20,0.68,43,170.0,74.0,2.87,2.87,4,42,52,0.8,41,1.14,53,185.0,24,11,0,22,11,0,25,25,71,71,0.6857142857142857,0.6666666666666666
5,78.0,3.01,2.76,2,38,52,1.0,40,1.32,60,205.0,74.0,2.25,1.07,2,25,57,1.3,38,1.12,29,205.0,17,8,0,10,4,0,28,25,76,74,0.68,0.7142857142857143
7,75.0,3.65,2.6,2,42,51,0.9,21,0.91,47,170.0,72.0,2.8,4.96,1,44,66,0.0,33,0.25,60,185.0,9,5,0,12,4,0,23,33,71,72,0.6428571428571429,0.75
10,73.0,2.27,1.79,2,36,63,0.4,48,2.46,64,170.0,69.0,1.33,1.63,2,48,55,0.3,100,0.3,46,170.0,19,10,0,23,21,0,28,34,70,69,0.6551724137931034,0.5227272727272727
7,70.0,2.58,2.08,4,40,53,0.0,100,1.49,0,185.0,77.0,2.29,2.36,2,37,54,0.6,50,1.06,61,170.0,17,14,1,15,6,0,32,26,70,73,0.53125,0.7142857142857143
10,74.0,1.85,2.41,4,40,63,1.3,33,2.22,60,145.0,66.0,2.37,2.39,2,38,57,1.1,42,2.64,86,155.0,14,6,0,10,6,0,29,28,70,68,0.7,0.625
10,72.0,3.63,3.29,2,46,58,1.3,34,1.09,46,170.0,70.0,2.29,2.33,2,41,57,2.2,35,1.3,30,155.0,33,13,1,41,16,0,22,26,71,70,0.7021276595744681,0.7192982456140351
5,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,205.0,74.0,1.99,1.19,2,39,55,1.1,38,1.83,29,185.0,21,8,0,88,21,5,36,30,74,73,0.7241379310344828,0.7719298245614035
4,74.0,3.02,1.83,2,35,56,0.0,100,0.87,80,233.0,80.0,2.61,4.23,2,41,61,0.1,100,0.11,75,265.0,7,5,1,30,7,0,40,29,74,80,0.5384615384615384,0.8108108108108109
