weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_sub_avg,f1_td_avg,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_sub_avg,f2_td_avg,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
10,73.0,2.45,2.7,2,1.1,0.68,170.0,73.0,3.2,2.23,4,0.3,1.65,170.0,17,5,0,34,10,2,29,34,72,71,0.7727272727272727,0.7391304347826086
11,67.0,3.33,3.39,2,0.9,1.14,135.0,69.0,2.63,4.34,2,0.7,2.33,135.0,10,8,0,19,4,0,30,30,67,68,0.5555555555555556,0.8260869565217391
7,71.0,3.01,3.75,4,0.1,0.8,185.0,72.0,2.81,2.54,2,1.4,2.46,185.0,16,5,0,26,8,0,27,39,69,73,0.7619047619047619,0.7647058823529411
14,64.0,3.2,3.55,5,1.8,1.53,115.0,63.0,4.07,3.24,2,0.9,0.46,115.0,4,5,0,7,1,0,27,25,63,64,0.4444444444444444,0.875
0,67.0,4.27,5.36,2,0.6,0.56,135.0,66.0,5.98,5.01,5,0.6,1.25,135.0,31,9,0,19,10,0,28,32,63,66,0.775,0.6551724137931034
7,74.0,2.83,1.59,4,0.6,1.02,185.0,74.0,1.57,2.59,4,0.4,1.21,185.0,26,14,0,24,8,0,41,40,72,73,0.65,0.75
7,78.0,2.44,1.9,4,0.5,2.69,185.0,74.0,1.8,3.16,4,0.8,1.07,185.0,14,8,0,9,2,0,33,28,73,73,0.6363636363636364,0.8181818181818182
4,74.0,6.08,3.98,2,0.0,1.54,264.0,80.0,3.61,3.53,2,2.4,2.69,240.0,14,6,0,57,13,1,27,41,75,74,0.7,0.8028169014084507
6,70.0,2.8,2.74,2,0.7,2.42,155.0,66.0,3.61,2.65,4,0.0,0.86,155.0,10,3,0,14,5,0,32,34,66,66,0.7692307692307693,0.7368421052631579
10,76.0,3.62,4.34,2,0.5,1.37,170.0,73.0,3.03,4.18,2,0.6,0.45,170.0,20,3,0,21,6,0,27,32,73,71,0.8695652173913043,0.7777777777777778
10,72.0,3.69,3.01,2,1.0,1.39,170.0,74.0,2.2,1.41,2,0.0,1.76,170.0,14,4,0,15,3,0,27,34,71,71,0.7777777777777778,0.8333333333333334
7,78.0,2.99,2.13,2,1.1,2.1,185.0,77.0,2.56,5.13,2,0.7,2.23,185.0,28,9,0,20,5,0,37,30,73,73,0.7567567567567568,0.8
10,76.0,1.73,2.38,4,0.2,1.5,170.0,77.0,3.7,3.23,2,0.0,1.85,170.0,18,4,0,13,1,0,31,36,70,72,0.8181818181818182,0.9285714285714286
7,81.0,3.64,0.65,2,0.0,0.0,205.0,73.0,3.96,2.75,2,1.1,1.08,185.0,8,3,0,11,3,0,29,30,76,73,0.7272727272727273,0.7857142857142857
10,76.0,2.17,4.6,5,0.2,3.44,170.0,72.0,2.01,1.82,4,1.0,2.49,170.0,16,1,0,28,9,0,31,41,72,73,0.9411764705882353,0.7567567567567568
14,66.0,3.61,5.25,2,0.6,0.19,115.0,66.0,1.45,4.82,0,0.6,6.47,115.0,11,3,0,9,0,0,25,28,65,65,0.7857142857142857,1.0
5,77.0,2.24,5.03,4,0.4,0.39,205.0,77.0,2.82,3.72,5,0.0,0.18,185.0,12,0,0,13,4,0,29,34,76,71,1.0,0.7647058823529411
0,69.0,2.14,1.37,2,0.9,1.79,145.0,68.0,1.95,2.8,4,0.3,2.8,135.0,7,2,0,8,5,0,27,39,68,66,0.7777777777777778,0.6153846153846154
13,69.0,3.42,5.02,2,0.5,1.75,125.0,64.0,3.61,1.9,4,0.8,0.8,125.0,11,3,0,6,3,1,29,23,66,64,0.7857142857142857,0.6
10,71.0,3.59,4.78,2,0.0,1.05,170.0,75.0,5.34,5.18,2,1.0,0.82,170.0,14,4,0,17,7,1,32,27,70,71,0.7777777777777778,0.68
10,67.0,2.49,2.44,2,0.6,4.11,170.0,75.0,2.75,2.47,4,0.8,0.75,185.0,26,3,0,23,7,0,37,34,66,72,0.896551724137931,0.7666666666666667
3,70.0,3.24,3.12,2,0.6,2.02,125.0,67.0,3.47,4.4,2,1.4,0.96,125.0,16,5,1,21,4,0,25,28,67,65,0.7272727272727273,0.84
14,67.0,2.77,3.65,2,0.0,1.27,115.0,66.0,7.22,5.4,2,0.3,0.0,115.0,8,2,0,6,3,0,30,29,68,64,0.8,0.6666666666666666
2,71.0,4.79,2.22,4,0.5,2.9,145.0,71.0,2.93,4.32,4,1.5,0.21,145.0,14,7,0,21,8,0,24,30,71,68,0.6666666666666666,0.7241379310344828
2,70.0,3.13,3.93,0,0.2,4.56,145.0,72.0,4.33,4.65,2,0.1,0.71,135.0,17,5,1,10,8,0,29,28,67,70,0.7391304347826086,0.5555555555555556
0,69.0,4.68,3.47,0,0.6,0.0,135.0,66.0,3.15,3.97,2,0.1,1.77,135.0,19,8,1,13,6,0,38,38,68,66,0.6785714285714286,0.6842105263157895
6,72.0,3.73,1.95,4,1.3,3.06,155.0,77.0,1.8,5.4,2,0.0,1.0,155.0,10,2,0,8,2,0,22,34,71,72,0.8333333333333334,0.8
10,75.0,2.73,3.93,2,0.0,0.36,170.0,74.0,3.03,2.41,4,0.0,0.66,185.0,15,4,1,18,2,1,35,26,72,72,0.75,0.8571428571428571
10,80.0,2.22,3.86,2,0.3,2.62,170.0,76.0,3.28,1.23,2,0.8,0.0,170.0,21,8,0,14,9,0,31,28,75,74,0.7241379310344828,0.6086956521739131
2,69.0,2.71,1.28,2,0.4,3.45,145.0,70.0,1.78,3.01,4,0.5,1.6,145.0,9,3,0,15,1,0,24,24,68,68,0.75,0.9375
2,72.0,2.77,1.6,4,1.5,3.39,145.0,71.0,3.02,2.95,2,1.7,1.31,145.0,15,4,0,20,6,0,30,26,70,70,0.7894736842105263,0.7692307692307693
10,74.0,2.62,3.66,2,0.0,1.94,170.0,71.0,2.17,2.8,4,2.1,3.32,170.0,15,7,0,14,1,0,37,36,73,71,0.6818181818181818,0.9333333333333333
7,74.0,2.44,2.94,2,0.0,1.38,185.0,73.0,5.72,3.71,2,1.0,1.31,185.0,11,4,0,12,6,0,28,32,72,73,0.7333333333333333,0.6666666666666666
7,70.0,4.64,3.62,4,0.3,1.86,185.0,73.0,2.57,3.85,4,0.3,0.0,185.0,13,4,0,11,1,0,41,27,72,75,0.7647058823529411,0.9166666666666666
11,65.0,3.9,3.21,2,0.2,0.83,135.0,68.0,2.84,2.72,4,0.0,3.18,135.0,10,4,0,5,3,0,36,30,67,66,0.7142857142857143,0.625
10,76.0,4.31,3.52,0,0.7,0.32,170.0,75.0,4.12,4.17,4,0.0,2.91,170.0,12,6,0,11,3,0,29,25,73,71,0.6666666666666666,0.7857142857142857
13,63.0,2.75,2.18,0,1.3,3.44,125.0,62.0,4.95,6.49,2,0.9,2.59,125.0,7,4,0,10,2,0,23,28,65,64,0.6363636363636364,0.8333333333333334
7,75.0,3.31,3.29,2,0.7,1.7,185.0,75.0,2.39,4.19,2,0.0,1.27,185.0,15,10,0,17,3,0,37,30,75,73,0.6,0.85
0,67.0,3.69,3.53,2,0.5,0.46,135.0,68.0,3.88,4.1,2,0.0,0.7,135.0,23,6,1,22,4,0,30,29,66,64,0.7666666666666667,0.8461538461538461
6,72.0,2.55,3.29,2,0.4,4.0,155.0,71.0,2.14,3.58,2,0.9,7.02,155.0,12,2,0,13,1,0,36,32,70,67,0.8571428571428571,0.9285714285714286
4,77.0,2.68,2.96,4,0.2,0.35,250.0,82.0,5.3,2.6,2,0.0,0.74,245.0,13,7,0,6,3,0,35,28,77,79,0.65,0.6666666666666666
10,71.0,2.83,2.47,2,0.4,2.04,170.0,77.0,3.58,3.23,2,1.3,0.2,170.0,31,15,0,22,13,2,33,35,69,74,0.6739130434782609,0.5945945945945946
2,70.0,2.87,4.25,4,0.6,0.58,145.0,69.0,3.93,3.08,2,0.3,0.56,145.0,16,4,0,7,4,0,29,30,67,65,0.8,0.6363636363636364
5,76.0,5.34,4.26,2,0.0,0.53,205.0,75.0,3.2,3.05,4,0.1,0.09,205.0,17,11,0,33,13,0,33,32,75,74,0.6071428571428571,0.717391304347826
13,67.0,3.42,4.77,0,0.0,2.0,135.0,67.0,3.59,3.53,2,0.0,0.89,125.0,5,4,0,11,4,0,33,35,64,65,0.5555555555555556,0.7333333333333333
6,68.0,3.09,3.47,2,1.3,3.59,155.0,73.0,3.53,4.69,4,0.0,0.94,155.0,30,10,2,8,2,0,34,29,68,69,0.7142857142857143,0.8
10,72.0,3.81,4.37,2,0.2,2.15,170.0,75.0,3.62,1.1,4,0.3,1.35,170.0,16,3,0,14,4,0,30,32,71,74,0.8421052631578947,0.7777777777777778
6,71.0,2.51,1.95,4,0.8,4.08,155.0,73.0,2.51,3.7,4,0.0,1.62,155.0,40,14,0,23,8,0,35,29,70,70,0.7407407407407407,0.7419354838709677
0,69.0,2.94,4.24,2,2.0,2.05,135.0,71.0,3.34,2.89,2,0.5,0.0,135.0,16,3,0,28,12,0,25,40,66,67,0.8421052631578947,0.7
3,62.0,1.66,2.12,5,0.6,4.54,125.0,65.0,9.84,4.37,2,0.0,1.28,125.0,14,2,0,8,1,0,25,26,63,64,0.875,0.8888888888888888
7,73.0,3.7,4.77,2,0.0,0.36,185.0,73.0,3.21,3.71,4,0.0,1.79,185.0,21,5,0,13,4,0,28,41,72,72,0.8076923076923077,0.7647058823529411
10,70.0,3.28,3.57,4,0.7,1.89,170.0,72.0,3.02,4.17,2,0.2,4.91,170.0,29,12,0,15,2,0,34,30,68,71,0.7073170731707317,0.8823529411764706
12,69.0,2.83,2.82,4,0.1,0.55,135.0,72.0,3.17,1.8,2,0.6,0.64,145.0,12,5,0,10,4,0,37,28,68,72,0.7058823529411765,0.7142857142857143
4,77.0,2.69,3.55,2,0.3,0.52,240.0,75.0,3.54,4.09,4,0.0,0.0,264.0,28,19,0,10,3,0,39,25,75,74,0.5957446808510638,0.7692307692307693
10,74.0,1.33,4.25,2,0.0,0.95,170.0,73.0,4.87,1.1,2,0.0,0.87,170.0,1,1,0,0,2,0,33,40,74,73,0.5,0.0
4,80.0,2.15,3.54,2,0.9,1.39,265.0,80.0,1.9,3.69,2,0.0,7.05,265.0,45,18,0,12,2,0,38,27,76,76,0.7142857142857143,0.8571428571428571
14,63.0,4.38,3.17,2,0.8,3.34,115.0,63.0,2.86,2.22,0,0.3,3.53,115.0,17,4,0,16,6,0,30,31,64,61,0.8095238095238095,0.7272727272727273
2,71.0,2.66,2.88,2,1.0,1.63,145.0,70.0,1.7,2.88,2,0.4,3.38,145.0,19,8,0,13,2,0,36,27,68,68,0.7037037037037037,0.8666666666666667
4,80.0,6.37,4.08,2,1.0,2.02,250.0,76.0,6.68,4.82,2,0.0,0.0,205.0,5,3,0,9,4,0,39,37,75,71,0.625,0.6923076923076923
5,75.0,2.42,2.14,2,0.0,2.98,205.0,76.0,4.28,3.06,2,0.8,0.41,205.0,24,8,1,32,14,0,39,30,72,76,0.7272727272727273,0.6956521739130435
3,69.0,2.91,3.88,2,0.4,0.85,125.0,65.0,2.52,3.46,4,0.6,1.53,125.0,18,5,0,28,5,0,25,34,66,64,0.782608695652174,0.8484848484848485
6,70.0,2.46,2.45,2,0.7,3.32,155.0,74.0,3.03,3.21,2,2.8,2.77,155.0,35,16,0,28,8,0,37,29,67,70,0.6862745098039216,0.7777777777777778
2,71.0,3.07,4.15,2,1.0,2.73,145.0,69.0,3.58,3.44,2,1.1,2.66,145.0,12,2,0,21,12,0,27,29,67,70,0.8571428571428571,0.6363636363636364
10,73.0,4.23,4.34,2,1.3,1.21,155.0,74.0,2.05,2.53,4,0.4,1.39,170.0,36,13,0,18,3,0,35,27,73,74,0.7346938775510204,0.8571428571428571
5,80.0,2.86,2.59,4,0.6,1.34,205.0,79.0,2.55,2.7,2,1.5,0.74,205.0,24,13,0,7,3,0,35,27,75,75,0.6486486486486487,0.7
13,64.0,4.73,4.53,2,0.5,1.0,125.0,66.0,3.39,3.79,2,0.7,0.46,125.0,9,6,0,15,7,0,31,32,65,66,0.6,0.6818181818181818
10,71.0,3.55,4.9,2,0.0,1.24,170.0,71.0,4.49,3.8,2,0.0,0.33,170.0,17,5,0,6,2,0,30,27,72,71,0.7727272727272727,0.75
0,69.0,3.63,3.26,4,0.0,0.5,135.0,67.0,3.15,5.65,5,0.2,1.73,135.0,11,7,2,14,1,0,27,25,67,67,0.55,0.9333333333333333
0,67.0,2.74,3.54,2,0.7,0.97,135.0,73.0,2.66,2.37,2,0.7,0.93,135.0,15,4,1,18,10,1,21,30,68,68,0.75,0.6206896551724138
2,69.0,4.47,3.04,2,0.0,0.3,145.0,72.0,5.09,6.1,2,0.0,0.76,145.0,9,7,1,13,4,0,28,25,68,68,0.5294117647058824,0.7647058823529411
10,71.0,4.28,4.13,2,0.0,0.0,170.0,72.0,5.08,3.59,2,0.0,0.93,170.0,15,5,0,4,4,0,28,30,72,71,0.75,0.5
10,70.0,3.75,3.23,2,0.0,1.83,170.0,73.0,2.02,3.07,2,0.8,1.99,170.0,10,3,0,15,4,0,33,24,67,71,0.7692307692307693,0.7894736842105263
14,63.0,4.22,6.85,2,0.0,0.25,115.0,63.0,4.48,2.7,2,0.2,0.25,115.0,11,1,0,13,2,0,29,25,65,61,0.9166666666666666,0.8666666666666667
3,71.0,3.37,3.67,2,2.5,0.0,125.0,70.0,3.69,3.64,2,1.8,0.7,125.0,11,1,0,14,4,0,21,28,69,68,0.9166666666666666,0.7777777777777778
3,71.0,2.5,2.16,4,1.2,3.03,125.0,68.0,3.53,1.44,2,0.8,0.55,125.0,21,6,2,7,5,0,29,30,70,65,0.7241379310344828,0.5833333333333334
13,66.0,4.0,4.03,0,0.0,0.0,125.0,72.0,4.74,4.49,2,0.0,0.0,125.0,4,4,2,9,2,2,31,29,66,67,0.4,0.6923076923076923
7,80.0,2.6,4.46,5,0.4,0.0,185.0,74.0,2.76,3.0,2,0.0,1.03,185.0,18,0,0,17,7,0,29,31,76,73,1.0,0.7083333333333334
6,74.0,2.8,1.93,4,0.0,1.0,155.0,71.0,2.11,3.02,2,0.8,0.4,155.0,7,1,0,9,1,0,23,27,72,71,0.875,0.9
2,64.0,2.98,3.33,2,0.0,1.25,135.0,67.0,4.73,0.93,2,0.0,0.0,155.0,9,2,0,9,1,0,27,32,66,67,0.8181818181818182,0.9
2,71.0,5.72,7.66,4,0.0,2.6,145.0,73.0,2.86,3.98,4,0.8,0.53,145.0,12,3,0,15,12,0,25,30,68,70,0.8,0.5555555555555556
13,69.0,5.31,3.3,0,0.1,1.51,125.0,65.0,4.67,4.04,0,1.3,0.0,125.0,23,17,0,10,5,0,36,39,67,64,0.575,0.6666666666666666
7,75.0,3.33,3.8,2,3.0,0.0,185.0,74.0,3.22,3.2,2,0.0,1.95,185.0,7,2,0,12,4,0,28,29,74,72,0.7777777777777778,0.75
13,68.0,3.28,2.49,0,2.3,2.69,125.0,62.0,3.28,2.32,2,1.3,3.28,125.0,10,5,0,4,5,0,23,27,67,63,0.6666666666666666,0.4444444444444444
6,68.0,2.26,1.98,2,0.0,8.49,155.0,75.0,2.74,3.7,4,1.0,1.25,155.0,3,1,1,7,2,0,27,25,69,75,0.6,0.7777777777777778
6,72.0,3.72,1.65,2,0.0,7.08,155.0,70.0,1.8,3.93,2,1.0,0.0,155.0,7,2,0,13,2,0,33,26,69,67,0.7777777777777778,0.8666666666666667
2,69.0,2.53,3.4,2,0.0,3.0,145.0,70.0,1.81,1.78,4,1.8,1.75,145.0,9,2,0,12,1,0,27,24,67,70,0.8181818181818182,0.9230769230769231
2,70.0,5.89,4.65,2,0.4,2.02,145.0,70.0,4.45,4.36,2,0.3,0.64,145.0,18,9,0,22,9,0,28,34,70,70,0.6666666666666666,0.7096774193548387
7,76.0,3.04,3.19,4,1.9,0.76,185.0,77.0,3.25,2.73,4,1.8,2.56,185.0,11,3,1,29,12,0,28,31,72,73,0.7333333333333333,0.7073170731707317
4,72.0,2.75,4.25,2,0.5,1.95,235.0,80.0,3.69,4.95,2,0.0,2.2,240.0,22,2,0,19,3,0,39,36,71,76,0.9166666666666666,0.8636363636363636
4,83.0,1.97,2.15,2,0.5,0.0,250.0,79.0,2.29,2.63,2,0.0,0.52,260.0,14,3,0,22,7,0,32,33,76,75,0.8235294117647058,0.7586206896551724
10,71.0,4.5,4.27,2,0.0,0.61,170.0,70.0,3.17,3.55,2,0.3,0.29,155.0,13,6,0,17,4,0,27,34,70,71,0.6842105263157895,0.8095238095238095
6,75.0,2.09,2.28,4,1.2,3.55,170.0,72.0,3.48,2.97,2,1.2,0.69,170.0,16,4,0,22,9,0,31,31,73,70,0.8,0.7096774193548387
5,76.0,2.85,3.01,4,0.2,0.0,205.0,73.0,4.57,7.09,2,0.0,0.0,205.0,9,4,0,1,2,0,28,35,73,72,0.6923076923076923,0.3333333333333333
7,79.0,3.57,3.31,2,0.2,0.75,185.0,72.0,6.84,8.43,0,0.0,0.0,185.0,16,9,0,13,0,0,34,27,72,73,0.64,1.0
0,66.0,2.35,3.32,2,0.3,1.54,135.0,71.0,3.89,5.11,2,0.8,1.25,135.0,27,7,0,17,4,0,36,31,65,68,0.7941176470588235,0.8095238095238095
6,71.0,4.77,4.41,2,0.5,1.35,155.0,70.0,3.74,3.98,2,0.0,1.67,155.0,10,4,2,11,1,1,26,30,69,69,0.625,0.8461538461538461
10,76.0,2.95,3.86,2,0.0,0.43,170.0,76.0,4.11,4.22,2,0.6,1.89,170.0,17,5,0,15,7,0,31,33,74,71,0.7727272727272727,0.6818181818181818
6,71.0,3.05,3.09,2,0.7,2.43,155.0,75.0,4.72,4.73,5,0.4,0.4,155.0,17,3,0,20,8,0,32,28,70,72,0.85,0.7142857142857143
14,63.0,2.95,2.84,0,0.6,1.18,115.0,65.0,4.0,4.51,2,0.0,1.0,115.0,4,3,0,4,3,0,27,29,65,61,0.5714285714285714,0.5714285714285714
4,73.0,3.93,3.09,4,0.2,1.07,250.0,77.0,3.09,4.76,2,0.1,0.33,238.0,18,3,0,21,6,0,32,34,71,76,0.8571428571428571,0.7777777777777778
10,71.0,1.96,3.58,2,0.6,1.81,170.0,72.0,2.73,2.63,2,0.4,0.97,170.0,11,2,0,17,7,0,22,32,72,71,0.8461538461538461,0.7083333333333334
2,66.0,3.07,4.42,2,1.1,3.89,155.0,70.0,4.29,4.31,4,0.3,0.67,145.0,18,9,0,21,6,1,32,29,66,72,0.6666666666666666,0.75
10,76.0,4.46,3.06,2,1.3,1.08,170.0,78.0,2.42,3.41,2,0.6,0.95,170.0,14,3,0,12,3,0,29,28,72,75,0.8235294117647058,0.8
2,73.0,2.16,2.94,2,0.3,2.16,145.0,66.0,2.35,2.78,2,0.3,4.13,145.0,17,4,0,18,5,0,30,33,70,66,0.8095238095238095,0.782608695652174
11,68.0,1.63,2.57,4,0.8,2.77,145.0,68.0,2.93,3.46,2,1.1,0.35,135.0,10,4,0,9,5,1,36,41,66,66,0.7142857142857143,0.6
0,69.0,3.51,3.41,2,0.1,0.28,135.0,67.0,2.94,3.52,2,0.1,0.52,135.0,24,13,1,22,8,1,34,29,67,66,0.631578947368421,0.7096774193548387
2,71.0,3.14,6.15,2,0.4,2.16,145.0,71.0,2.8,3.27,2,1.3,2.52,145.0,21,1,0,25,8,0,30,34,66,70,0.9545454545454546,0.7575757575757576
3,66.0,2.16,3.56,4,0.5,3.42,125.0,70.0,1.95,4.69,2,0.0,0.86,135.0,11,5,0,13,1,0,26,26,67,68,0.6875,0.9285714285714286
2,67.0,4.85,5.77,2,1.0,2.46,135.0,70.0,4.28,4.51,2,0.7,0.97,155.0,14,1,0,17,7,0,31,32,67,71,0.9333333333333333,0.7083333333333334
13,64.0,3.78,4.05,2,0.0,0.25,125.0,66.0,2.51,2.78,2,0.3,2.57,125.0,17,6,1,13,7,0,30,34,64,66,0.7083333333333334,0.65
3,65.0,4.04,3.05,2,0.3,0.77,135.0,67.0,5.05,1.59,4,1.4,0.68,125.0,11,3,0,6,2,0,24,26,66,65,0.7857142857142857,0.75
14,64.0,7.37,4.1,2,0.0,0.75,115.0,63.0,7.19,4.93,2,0.2,0.94,115.0,6,6,0,20,8,0,32,36,61,63,0.5,0.7142857142857143
5,76.0,4.28,3.06,2,0.8,0.41,205.0,76.0,2.68,3.63,2,0.8,2.17,205.0,32,14,0,26,11,1,30,37,76,73,0.6956521739130435,0.6842105263157895
5,76.0,3.84,3.41,2,1.0,2.0,205.0,79.0,2.18,4.45,2,0.0,4.98,205.0,30,7,0,14,4,0,39,29,74,75,0.8108108108108109,0.7777777777777778
7,76.0,1.27,3.2,2,0.0,1.0,185.0,77.0,2.95,2.98,2,0.2,0.95,185.0,14,1,1,13,7,0,32,39,69,73,0.875,0.65
4,84.0,4.0,3.13,2,1.7,0.58,265.0,78.0,3.2,3.61,2,0.1,1.48,249.0,33,12,0,17,6,0,30,33,83,75,0.7333333333333333,0.7391304347826086
10,74.0,3.08,3.41,4,0.4,0.18,170.0,75.0,4.32,3.38,2,3.3,0.94,170.0,17,5,0,17,5,0,31,28,73,72,0.7727272727272727,0.7727272727272727
6,73.0,2.41,2.86,2,0.0,2.5,155.0,72.0,3.2,5.24,4,0.0,0.3,155.0,14,3,0,11,2,0,25,23,70,70,0.8235294117647058,0.8461538461538461
6,70.0,3.0,3.0,2,0.2,0.68,155.0,66.0,3.61,2.65,4,0.0,0.86,155.0,13,5,0,14,5,0,32,34,69,66,0.7222222222222222,0.7368421052631579
10,74.0,2.64,2.24,5,1.3,0.33,170.0,75.0,1.35,2.22,2,0.0,7.17,170.0,9,4,1,14,3,0,30,32,71,72,0.6428571428571429,0.8235294117647058
2,70.0,2.8,3.8,2,0.0,2.64,145.0,69.0,2.29,2.64,2,0.5,0.0,135.0,12,3,0,14,2,0,31,26,68,65,0.8,0.875
5,80.0,4.46,3.45,2,0.3,0.32,205.0,78.0,1.63,5.25,2,0.0,1.29,205.0,9,2,0,12,1,0,30,26,76,76,0.8181818181818182,0.9230769230769231
0,71.0,2.68,2.92,2,3.1,3.06,145.0,69.0,1.68,3.13,0,0.0,2.64,135.0,14,2,0,11,4,0,24,33,70,68,0.875,0.7333333333333333
5,72.0,3.84,2.81,5,0.0,1.41,205.0,76.0,2.83,2.86,2,0.0,2.26,205.0,15,8,0,13,3,0,27,26,72,72,0.6521739130434783,0.8125
0,72.0,3.55,2.6,2,1.4,0.34,135.0,70.0,3.1,1.86,2,0.6,2.64,135.0,13,6,0,10,6,0,25,28,66,65,0.6842105263157895,0.625
6,69.0,4.39,4.32,2,0.5,2.92,155.0,72.0,3.97,5.51,4,1.2,1.55,155.0,29,6,0,25,6,0,34,29,69,69,0.8285714285714286,0.8064516129032258
2,70.0,3.18,3.47,2,0.1,0.64,135.0,71.0,2.98,3.09,2,0.4,1.18,145.0,28,6,0,28,17,0,32,32,67,69,0.8235294117647058,0.6222222222222222
14,60.0,3.46,4.04,2,0.1,0.67,115.0,65.0,2.73,6.18,2,0.1,0.3,125.0,10,5,0,16,3,0,29,31,61,66,0.6666666666666666,0.8421052631578947
