f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
69.0,2.14,1.37,2,40,52,0.9,60,1.79,64,68.0,1.95,2.8,4,52,51,0.3,50,2.8,75,7,2,8,5,27,39
69.0,3.42,5.02,2,53,67,0.5,46,1.75,62,64.0,3.61,1.9,4,45,38,0.8,100,0.8,46,11,3,6,3,29,23
71.0,3.59,4.78,2,42,65,0.0,54,1.05,78,75.0,5.34,5.18,2,53,51,1.0,50,0.82,64,14,4,17,7,32,27
67.0,2.49,2.44,2,47,58,0.6,36,4.11,50,75.0,2.75,2.47,4,32,53,0.8,28,0.75,62,26,3,23,7,37,34
70.0,3.24,3.12,2,34,63,0.6,43,2.02,62,67.0,3.47,4.4,2,46,56,1.4,31,0.96,60,16,5,21,4,25,28
67.0,2.77,3.65,2,58,55,0.0,100,1.27,88,66.0,7.22,5.4,2,44,58,0.3,0,0.0,83,8,2,6,3,30,29
71.0,4.79,2.22,4,41,41,0.5,46,2.9,62,71.0,2.93,4.32,4,41,71,1.5,100,0.21,56,14,7,21,8,24,30
70.0,3.13,3.93,0,39,69,0.2,45,4.56,68,72.0,4.33,4.65,2,35,60,0.1,45,0.71,56,17,5,10,8,29,28
69.0,4.68,3.47,0,42,53,0.6,0,0.0,52,66.0,3.15,3.97,2,46,54,0.1,32,1.77,62,19,8,13,6,38,38
72.0,3.73,1.95,4,44,50,1.3,36,3.06,0,77.0,1.8,5.4,2,50,59,0.0,100,1.0,71,10,2,8,2,22,34
75.0,2.73,3.93,2,44,59,0.0,45,0.36,78,74.0,3.03,2.41,4,46,59,0.0,41,0.66,82,15,4,18,2,35,26
80.0,2.22,3.86,2,46,56,0.3,46,2.62,60,76.0,3.28,1.23,2,40,39,0.8,0,0.0,50,21,8,14,9,31,28
69.0,2.71,1.28,2,41,51,0.4,47,3.45,22,70.0,1.78,3.01,4,39,66,0.5,56,1.6,70,9,3,15,1,24,24
72.0,2.77,1.6,4,47,50,1.5,34,3.39,57,71.0,3.02,2.95,2,33,51,1.7,31,1.31,47,15,4,20,6,30,26
74.0,2.62,3.66,2,51,66,0.0,76,1.94,73,71.0,2.17,2.8,4,51,45,2.1,33,3.32,50,15,7,14,1,37,36
74.0,2.44,2.94,2,44,54,0.0,44,1.38,65,73.0,5.72,3.71,2,45,55,1.0,20,1.31,75,11,4,12,6,28,32
70.0,4.64,3.62,4,38,61,0.3,34,1.86,78,73.0,2.57,3.85,4,49,65,0.3,0,0.0,72,13,4,11,1,41,27
65.0,3.9,3.21,2,57,45,0.2,33,0.83,52,68.0,2.84,2.72,4,49,50,0.0,77,3.18,20,10,4,5,3,36,30
76.0,4.31,3.52,0,41,57,0.7,15,0.32,63,75.0,4.12,4.17,4,37,61,0.0,44,2.91,0,12,6,11,3,29,25
63.0,2.75,2.18,0,50,54,1.3,47,3.44,0,62.0,4.95,6.49,2,49,68,0.9,33,2.59,40,7,4,10,2,23,28
75.0,3.31,3.29,2,55,51,0.7,32,1.7,60,75.0,2.39,4.19,2,42,53,0.0,28,1.27,59,15,10,17,3,37,30
67.0,3.69,3.53,2,39,58,0.5,25,0.46,66,68.0,3.88,4.1,2,40,61,0.0,23,0.7,95,23,6,22,4,30,29
72.0,2.55,3.29,2,45,56,0.4,60,4.0,22,71.0,2.14,3.58,2,49,60,0.9,47,7.02,0,12,2,13,1,36,32
77.0,2.68,2.96,4,38,61,0.2,33,0.35,76,82.0,5.3,2.6,2,35,46,0.0,66,0.74,0,13,7,6,3,35,28
71.0,2.83,2.47,2,39,60,0.4,47,2.04,86,77.0,3.58,3.23,2,50,51,1.3,40,0.2,66,31,15,22,13,33,35
70.0,2.87,4.25,4,36,67,0.6,30,0.58,93,69.0,3.93,3.08,2,46,56,0.3,18,0.56,60,16,4,7,4,29,30
