f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
75.0,1.36,2.32,2,50,55,1.6,50,1.31,60,70.0,3.38,0.96,2,52,36,0.4,25,1.94,46,16,8,14,5,31,27
72.0,4.17,2.01,2,36,30,2.2,33,5.59,0,77.0,3.58,3.23,2,50,51,1.3,40,0.2,66,12,7,22,13,24,25
75.0,2.42,2.14,2,37,63,0.0,44,2.98,73,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,24,8,21,8,29,39
76.0,3.8,3.69,2,42,61,0.0,34,3.0,91,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,12,5,29,7,32,34
74.0,2.7,2.44,2,47,51,0.3,52,1.52,57,71.0,2.04,1.75,2,51,59,4.1,45,3.93,0,32,15,24,5,38,28
72.0,3.28,3.22,2,42,62,2.0,41,1.86,78,74.0,2.32,2.71,2,49,55,0.8,51,1.87,70,20,7,38,19,26,29
76.0,1.89,2.12,4,49,58,0.6,43,2.93,71,75.0,2.58,3.75,2,54,56,1.6,47,1.64,63,22,4,24,16,27,27
68.0,2.31,2.0,2,40,62,1.5,42,3.83,62,70.0,1.94,2.45,2,43,63,0.8,54,2.9,69,24,7,16,6,24,29
74.0,2.9,2.93,2,50,57,0.8,34,1.45,59,72.0,5.53,1.65,2,28,55,0.0,0,0.0,0,21,13,12,4,27,0
75.0,1.84,3.21,2,58,50,2.4,36,1.35,28,80.0,2.7,1.55,2,52,46,2.0,16,1.43,35,25,12,26,16,33,33
70.0,2.25,2.57,2,43,60,0.3,41,0.61,39,74.0,1.82,1.46,2,46,62,1.4,42,3.05,83,20,12,21,11,32,30
72.0,3.63,3.29,2,46,58,1.3,34,1.09,46,76.0,3.78,4.62,4,45,53,1.4,30,1.19,42,33,13,21,12,25,23
70.0,2.46,2.45,2,33,65,0.7,37,3.32,69,70.0,3.44,3.39,2,48,57,0.6,37,1.2,46,35,16,22,12,27,28
77.0,3.13,3.33,2,49,44,1.2,48,2.2,59,73.0,3.1,2.7,2,41,59,0.9,26,0.44,55,26,14,17,7,28,24
75.0,3.38,1.89,2,34,56,1.8,36,1.81,50,72.0,3.2,3.06,2,54,52,0.0,57,1.19,33,14,7,13,8,31,36
72.0,5.71,1.43,2,42,38,0.0,20,1.07,0,72.0,2.8,3.96,2,47,59,0.0,78,2.18,62,11,5,19,11,0,27
76.0,4.06,3.02,2,39,56,2.2,66,0.9,57,76.0,2.99,2.84,2,39,59,1.9,50,1.55,31,12,8,15,8,30,31
71.0,3.45,1.99,2,40,58,0.0,50,0.65,40,71.0,5.39,2.84,2,39,54,2.0,45,2.39,54,15,8,28,16,26,24
71.0,1.78,2.66,2,40,65,1.3,25,2.37,25,74.0,6.95,0.5,2,62,27,0.0,0,0.0,0,18,5,10,6,33,29
72.0,4.56,5.13,4,51,52,0.7,100,1.42,56,73.0,3.59,2.08,4,45,54,1.4,24,2.74,50,10,6,13,6,30,26
74.0,3.06,2.03,2,36,49,1.8,54,1.67,47,73.0,4.79,1.86,2,48,38,2.4,46,2.08,25,14,8,24,8,27,27
74.0,2.87,2.87,4,42,52,0.8,41,1.14,53,75.0,2.71,4.33,2,38,65,0.3,43,1.05,63,22,11,31,9,28,29
76.0,2.98,3.25,2,36,59,0.7,45,1.18,62,76.0,2.81,3.03,2,56,52,0.2,53,0.7,59,17,10,12,7,33,31
78.0,2.61,2.26,2,45,56,0.9,47,1.93,78,77.0,5.0,4.79,4,41,60,0.3,28,0.56,100,12,10,12,5,24,27
68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,72.0,4.47,4.44,2,47,55,0.5,25,0.27,56,31,18,11,6,34,29
70.0,2.61,3.22,2,37,59,1.5,60,1.34,30,70.0,2.79,2.72,4,39,65,1.4,48,1.6,47,12,4,20,9,24,35
74.0,3.44,2.46,2,35,51,0.4,35,0.73,35,68.0,2.67,2.18,5,48,63,0.5,84,1.01,46,25,10,32,16,26,34
70.0,8.57,2.64,2,50,43,0.0,0,0.0,50,80.0,3.53,4.38,2,47,53,0.0,33,1.42,42,10,3,12,2,0,33
71.0,1.64,1.11,2,57,54,0.0,63,2.65,14,72.0,2.76,2.46,2,51,41,1.6,53,3.28,30,16,9,19,11,29,0
70.0,4.08,4.17,2,28,57,0.1,38,0.63,77,73.0,2.53,2.16,2,35,67,1.4,30,0.43,39,21,12,15,5,24,22
71.0,2.89,2.78,4,40,59,2.0,42,1.77,47,66.0,2.1,1.17,5,30,56,0.7,0,0.0,14,31,13,17,3,25,35
68.0,2.62,1.68,2,34,38,0.9,50,0.94,66,72.0,2.38,2.07,2,61,67,3.6,11,2.07,50,10,6,14,5,33,0
77.0,1.98,3.04,4,62,61,0.8,77,0.52,69,71.0,3.21,2.81,2,48,48,0.2,20,0.68,43,34,10,24,11,33,28
73.0,2.27,1.79,2,36,63,0.4,48,2.46,64,70.0,3.42,3.73,2,41,62,0.3,60,0.71,63,19,10,28,15,31,25
70.0,2.64,1.92,2,32,66,0.7,47,2.91,81,72.0,2.29,1.43,4,37,60,1.1,42,1.72,25,14,8,40,20,29,32
77.0,2.45,3.61,2,51,56,1.1,30,1.65,31,77.0,3.09,4.76,2,48,58,0.1,55,0.33,80,23,8,21,6,31,24
67.0,2.71,2.17,2,35,55,0.4,46,4.09,56,68.0,2.3,3.71,2,41,65,0.9,46,1.87,59,36,4,15,6,35,24
72.0,4.56,5.13,4,51,52,0.7,100,1.42,56,78.0,2.99,2.13,2,40,52,1.1,27,2.1,30,10,6,28,9,30,27
70.0,3.03,3.17,4,43,64,0.8,30,0.67,60,71.0,1.88,1.25,2,39,58,3.4,27,2.13,50,25,9,14,6,32,27
73.0,2.16,1.11,2,62,38,2.7,9,0.33,28,74.0,3.06,2.03,2,36,49,1.8,54,1.67,47,26,19,14,8,30,27
71.0,2.85,1.78,2,39,55,2.4,36,1.53,37,74.0,2.27,1.42,2,33,59,1.3,27,1.69,27,22,12,21,10,34,35
72.0,3.13,2.69,2,43,51,0.3,36,2.53,72,75.0,3.65,2.6,2,42,51,0.9,21,0.91,47,29,17,9,5,28,26
81.0,2.11,3.53,2,72,50,0.5,55,3.9,60,75.0,1.53,2.85,2,57,59,0.5,46,2.78,58,5,3,19,11,31,45
70.0,2.44,2.05,2,44,60,2.2,44,2.75,39,74.0,1.85,2.41,4,40,63,1.3,33,2.22,60,31,14,14,6,26,32
76.0,3.51,2.24,2,40,46,4.1,50,0.55,25,78.0,1.6,2.07,5,49,46,2.5,50,2.28,33,12,7,14,5,22,22
74.0,11.8,0.98,4,20,29,0.0,0,0.0,0,76.0,2.94,2.12,2,45,57,1.1,39,2.8,66,18,7,17,11,32,29
72.0,2.01,1.82,4,43,63,1.0,25,2.49,61,72.0,2.8,4.96,1,44,66,0.0,33,0.25,60,28,9,12,4,31,36
69.0,3.62,3.37,2,32,62,0.5,23,0.81,60,69.0,3.78,3.45,4,34,61,0.1,34,1.18,60,14,9,29,14,31,28
71.0,2.98,3.09,2,40,58,0.4,38,1.18,65,70.0,3.28,3.57,4,45,62,0.7,39,1.89,60,28,17,29,12,22,24
68.0,1.29,1.57,4,50,51,1.2,50,1.24,25,75.0,2.32,2.34,2,43,60,1.3,36,3.65,31,12,6,12,5,26,27
75.0,2.58,3.75,2,54,56,1.6,47,1.64,63,72.0,4.17,2.01,2,36,30,2.2,33,5.59,0,24,16,12,7,27,24
70.0,3.67,0.85,4,36,36,2.8,28,1.41,25,73.0,2.27,1.79,2,36,63,0.4,48,2.46,64,13,6,19,10,34,31
77.0,2.29,2.36,2,37,54,0.6,50,1.06,61,73.0,2.0,1.61,2,41,46,0.6,70,4.17,45,15,6,23,12,29,29
74.0,3.14,3.27,2,39,60,0.0,14,0.65,57,75.0,5.76,3.63,2,34,55,0.7,30,0.65,80,11,5,7,6,26,22
75.0,3.13,3.59,2,30,57,3.3,100,0.41,50,74.0,4.11,1.81,2,40,59,2.1,0,0.0,0,12,4,9,1,31,28
68.0,3.57,3.18,2,50,51,1.5,37,2.14,56,71.0,2.89,2.78,4,40,59,2.0,42,1.77,47,16,9,31,13,25,25
70.0,2.21,2.23,2,42,69,0.9,63,3.76,67,73.0,2.17,1.69,2,45,53,0.9,50,0.9,20,22,11,14,6,27,28
72.0,0.84,3.29,2,64,47,0.0,25,1.15,50,70.0,3.38,0.96,2,52,36,0.4,25,1.94,46,12,4,14,5,26,27
77.0,3.58,3.23,2,50,51,1.3,40,0.2,66,69.0,10.91,0.47,2,33,19,0.0,0,0.0,0,22,13,7,5,25,33
80.0,1.61,3.57,2,46,70,0.0,80,3.02,100,69.0,1.55,1.14,2,35,66,2.5,100,1.22,25,4,4,6,3,30,29
73.0,2.02,1.58,2,37,46,0.0,44,1.28,43,74.0,3.3,3.45,2,43,43,0.0,26,1.13,42,10,5,13,5,32,26
72.0,2.48,1.79,2,35,56,0.7,28,0.99,44,70.0,2.3,2.92,2,44,63,0.8,40,1.31,66,12,8,25,11,24,22
74.0,1.39,2.82,2,43,71,0.4,44,3.37,80,79.0,3.97,2.14,2,24,68,0.8,44,1.55,66,23,5,11,7,25,24
74.0,4.3,2.74,2,38,52,0.8,50,0.28,47,78.0,1.83,3.25,2,47,60,0.6,57,2.43,77,9,5,22,6,28,24
76.0,4.06,3.02,2,39,56,2.2,66,0.9,57,80.0,2.7,1.55,2,52,46,2.0,16,1.43,35,12,8,26,16,30,33
67.0,4.32,2.88,2,46,67,0.7,43,4.88,0,69.0,1.76,3.76,2,48,66,3.5,66,3.53,0,3,4,4,5,29,24
77.0,3.13,3.37,1,39,58,1.0,25,0.52,71,75.0,2.25,0.83,2,26,62,0.0,20,1.78,0,26,12,6,5,31,24
72.0,5.52,0.69,4,50,46,0.0,0,0.0,0,77.0,2.39,1.93,2,27,67,0.9,33,0.47,79,1,2,10,4,31,28
74.0,2.41,2.5,4,42,60,1.4,32,2.46,57,76.0,3.81,2.97,2,40,51,0.0,41,2.64,52,10,6,11,6,25,26
72.0,2.47,3.43,2,34,60,0.1,57,1.05,59,70.0,2.84,1.38,4,31,61,1.6,18,1.31,54,15,13,15,5,27,24
77.0,1.83,1.56,2,40,62,3.5,22,1.17,0,70.0,2.05,0.14,2,4,44,2.0,0,0.0,75,11,5,2,2,27,27
75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,74.0,2.7,2.44,2,47,51,0.3,52,1.52,57,29,7,32,15,35,39
76.0,2.68,3.63,2,50,55,0.8,48,2.17,47,75.0,2.62,1.88,2,52,40,0.8,40,3.89,50,26,11,16,10,28,45
74.0,1.99,1.19,2,39,55,1.1,38,1.83,29,71.0,2.04,1.75,2,51,59,4.1,45,3.93,0,88,21,24,5,34,29
73.0,3.1,2.7,2,41,59,0.9,26,0.44,55,77.0,1.65,2.27,2,35,67,1.2,65,2.51,38,17,7,34,15,25,32
68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,70.0,2.79,2.72,4,39,65,1.4,48,1.6,47,31,18,20,9,35,36
75.0,1.8,3.4,2,40,62,0.9,43,2.61,60,71.0,3.91,0.0,2,0,50,0.0,0,0.0,28,17,2,5,3,22,0
69.0,4.05,0.98,4,40,36,0.0,50,1.84,100,72.0,3.28,3.22,2,42,62,2.0,41,1.86,78,18,8,20,7,33,27
75.0,3.38,1.89,2,34,56,1.8,36,1.81,50,77.0,6.85,1.34,4,47,22,0.0,50,2.51,100,14,7,17,10,32,28
72.0,5.33,0.86,2,26,29,0.0,0,0.0,0,76.0,2.26,3.29,2,38,57,0.4,60,3.55,82,12,4,19,4,0,27
70.0,2.67,3.87,2,32,65,0.3,32,0.87,65,72.0,2.5,3.79,2,41,74,0.0,50,0.45,71,23,11,9,7,30,26
77.0,2.81,4.38,2,36,61,0.7,48,1.05,57,75.0,2.42,2.14,2,37,63,0.0,44,2.98,73,19,7,24,8,29,29
79.0,3.84,2.18,4,47,38,2.0,40,2.02,54,77.0,2.4,1.95,2,42,55,2.4,29,1.3,36,18,11,34,10,29,32
73.0,3.59,2.08,4,45,54,1.4,24,2.74,50,76.0,2.58,2.65,2,47,54,1.2,54,3.55,62,13,6,18,10,26,25
73.0,2.51,3.25,2,54,55,0.1,56,1.52,73,74.0,2.19,2.79,2,40,60,0.6,53,0.97,62,36,11,35,12,30,32
77.0,3.61,1.36,2,19,53,0.0,0,0.0,0,82.0,1.28,3.33,2,56,54,0.2,56,2.3,52,6,6,29,9,35,33
75.0,2.25,2.06,4,38,60,0.5,39,1.98,84,75.0,1.89,1.26,2,35,61,1.1,15,1.58,50,35,12,11,7,27,32
72.0,6.43,1.82,2,56,22,0.0,50,6.29,0,78.0,3.07,3.4,2,61,46,0.9,0,0.0,40,10,4,8,6,31,32
76.0,3.8,3.69,2,42,61,0.0,34,3.0,91,72.0,3.5,2.87,2,50,58,0.0,20,0.67,40,12,5,7,3,32,35
70.0,2.25,2.57,2,43,60,0.3,41,0.61,39,73.0,3.59,4.55,2,35,65,0.7,50,0.93,76,20,12,18,13,32,31
74.0,3.54,2.72,2,52,59,0.2,0,0.0,76,75.0,3.86,0.27,2,10,38,4.0,0,0.0,0,8,7,11,4,29,34
70.0,3.2,2.76,2,48,56,0.5,55,1.19,74,76.0,1.4,3.78,2,53,72,1.1,74,4.16,83,16,14,26,2,31,28
74.0,1.57,2.59,4,53,61,0.4,65,1.21,75,74.0,2.55,3.92,2,50,67,0.7,47,1.03,70,24,8,16,3,31,27
78.0,3.01,2.76,2,38,52,1.0,40,1.32,60,84.0,2.03,4.31,2,57,65,0.5,46,1.9,95,17,8,25,1,32,22
72.0,2.19,2.49,2,41,58,1.0,59,5.27,59,76.0,1.89,2.12,4,49,58,0.6,43,2.93,71,19,8,22,4,27,28
76.0,3.78,4.62,4,45,53,1.4,30,1.19,42,70.0,2.46,2.45,2,33,65,0.7,37,3.32,69,21,12,35,16,24,28
76.0,1.65,2.61,2,50,54,0.8,51,3.6,56,68.0,2.67,2.18,5,48,63,0.5,84,1.01,46,27,5,32,16,31,35
67.0,2.83,2.13,2,41,55,0.7,34,3.26,69,68.0,2.31,2.0,2,40,62,1.5,42,3.83,62,18,11,24,7,28,25
71.0,3.08,2.15,2,50,51,0.4,49,2.7,53,75.0,1.36,2.32,2,50,55,1.6,50,1.31,60,23,12,16,8,26,32
77.0,3.04,3.12,2,27,56,1.2,42,1.22,45,76.0,1.92,1.31,2,31,69,0.2,54,6.39,25,8,5,13,4,34,25
74.0,2.1,0.97,2,30,31,0.5,0,0.0,66,72.0,2.01,1.62,2,47,58,5.3,36,2.12,100,7,3,3,3,24,27
71.0,2.98,3.09,2,40,58,0.4,38,1.18,65,71.0,5.39,2.84,2,39,54,2.0,45,2.39,54,28,17,28,16,23,25
77.0,2.33,6.37,2,57,57,0.4,45,5.13,85,72.0,6.06,1.51,2,23,36,1.0,0,0.0,80,14,3,9,3,27,29
70.0,3.44,3.39,2,48,57,0.6,37,1.2,46,72.0,3.63,3.29,2,46,58,1.3,34,1.09,46,22,12,33,13,29,26
78.0,1.83,3.25,2,47,60,0.6,57,2.43,77,70.0,2.21,2.23,2,42,69,0.9,63,3.76,67,22,6,22,11,25,28
70.0,2.83,2.5,2,30,64,0.4,52,2.02,65,70.0,1.94,2.45,2,43,63,0.8,54,2.9,69,11,10,16,6,28,30
74.0,3.06,2.03,2,36,49,1.8,54,1.67,47,73.0,2.33,2.68,2,53,49,1.8,68,6.51,0,14,8,12,3,28,27
70.0,2.69,4.09,2,53,56,0.5,37,2.19,82,71.0,4.91,1.12,2,28,44,1.5,38,3.64,100,15,5,15,4,28,28
71.0,2.51,1.95,4,31,63,0.8,53,4.08,92,72.0,2.29,1.43,4,37,60,1.1,42,1.72,25,40,14,40,20,26,33
73.0,3.36,0.32,2,100,12,0.0,16,2.4,0,72.0,2.32,2.11,4,44,63,0.5,44,3.71,83,11,4,10,4,29,28
74.0,2.74,3.01,4,42,54,0.5,50,3.51,89,70.0,3.38,0.96,2,52,36,0.4,25,1.94,46,7,3,14,5,23,28
70.0,2.44,2.05,2,44,60,2.2,44,2.75,39,72.0,2.91,2.75,4,38,57,0.9,25,1.62,47,31,14,31,12,27,28
74.0,3.44,2.46,2,35,51,0.4,35,0.73,35,71.0,10.27,1.98,2,21,45,0.0,0,0.0,0,25,10,16,6,27,27
76.0,4.06,3.02,2,39,56,2.2,66,0.9,57,74.0,2.32,2.71,2,49,55,0.8,51,1.87,70,12,8,38,19,31,30
72.0,2.01,1.82,4,43,63,1.0,25,2.49,61,74.0,1.1,3.08,4,43,62,0.4,59,3.81,66,28,9,29,14,32,32
73.0,2.27,1.79,2,36,63,0.4,48,2.46,64,73.0,1.99,1.71,2,39,63,1.2,31,1.42,63,19,10,15,8,32,28
73.0,2.53,2.16,2,35,67,1.4,30,0.43,39,71.0,3.68,0.0,2,0,55,0.0,50,5.81,0,15,5,19,6,23,0
84.0,4.0,3.13,2,47,46,1.7,50,0.58,55,77.0,3.09,4.76,2,48,58,0.1,55,0.33,80,33,12,21,6,21,25
70.0,3.54,5.35,4,39,61,1.0,33,1.83,80,72.0,2.38,2.07,2,61,67,3.6,11,2.07,50,18,8,14,5,28,0
78.0,0.0,0.0,2,0,0,14.3,0,0.0,100,72.0,4.62,0.51,2,50,57,5.1,0,0.0,20,11,5,19,4,38,30
70.0,2.61,3.22,2,37,59,1.5,60,1.34,30,69.0,4.71,3.52,2,56,63,0.0,66,3.1,57,12,4,3,2,25,29
76.0,2.98,3.25,2,36,59,0.7,45,1.18,62,73.0,2.51,3.25,2,54,55,0.1,56,1.52,73,17,10,36,11,34,31
80.0,3.53,4.38,2,47,53,0.0,33,1.42,42,76.0,2.94,2.12,2,45,57,1.1,39,2.8,66,12,2,17,11,34,30
75.0,3.65,2.6,2,42,51,0.9,21,0.91,47,75.0,2.58,3.75,2,54,56,1.6,47,1.64,63,9,5,24,16,27,28
76.0,3.8,3.69,2,42,61,0.0,34,3.0,91,72.0,2.26,3.12,2,51,57,0.6,29,3.17,57,12,5,14,6,33,31
71.0,2.89,2.78,4,40,59,2.0,42,1.77,47,70.0,2.64,1.92,2,32,66,0.7,47,2.91,81,31,13,14,8,26,30
78.0,1.6,2.07,5,49,46,2.5,50,2.28,33,72.0,3.35,0.0,2,0,47,0.0,0,0.0,0,14,5,5,3,23,0
72.0,3.46,3.61,2,54,47,0.0,100,1.13,0,79.0,2.4,2.31,2,41,54,1.7,45,0.49,56,19,12,13,10,28,27
71.0,1.78,2.66,2,40,65,1.3,25,2.37,25,74.0,2.9,2.93,2,50,57,0.8,34,1.45,59,18,5,21,13,34,28
72.0,5.53,1.65,2,28,55,0.0,0,0.0,0,76.0,2.81,3.03,2,56,52,0.2,53,0.7,59,12,4,12,7,0,32
70.0,2.84,1.38,4,31,61,1.6,18,1.31,54,69.0,3.78,3.45,4,34,61,0.1,34,1.18,60,15,5,29,14,25,29
75.0,2.34,3.56,2,39,57,1.2,55,0.58,36,72.0,3.28,3.22,2,42,62,2.0,41,1.86,78,30,13,20,7,25,27
74.0,1.39,2.82,2,43,71,0.4,44,3.37,80,73.0,2.04,0.84,2,34,54,0.9,36,3.21,36,23,5,14,5,26,28
70.0,3.28,3.57,4,45,62,0.7,39,1.89,60,68.0,2.3,3.71,2,41,65,0.9,46,1.87,59,29,12,15,6,25,25
74.0,3.88,3.0,2,33,59,1.8,36,0.6,38,69.0,1.76,3.76,2,48,66,3.5,66,3.53,0,21,11,4,5,25,25
71.0,2.98,3.09,2,40,58,0.4,38,1.18,65,71.0,2.51,1.95,4,31,63,0.8,53,4.08,92,28,17,40,14,23,26
74.0,1.2,2.02,2,49,61,1.2,38,3.74,31,73.0,2.16,1.11,2,62,38,2.7,9,0.33,28,13,5,26,19,33,31
72.0,6.45,0.0,2,0,35,0.0,0,0.0,50,71.0,1.5,1.39,4,46,55,2.0,34,2.67,43,22,6,33,6,0,32
75.0,3.13,3.59,2,30,57,3.3,100,0.41,50,72.0,2.32,2.11,4,44,63,0.5,44,3.71,83,12,4,10,4,32,28
74.0,2.9,3.15,2,58,41,1.3,12,0.63,42,73.0,2.64,3.16,2,48,54,0.1,50,0.84,63,9,3,19,9,28,37
73.0,4.79,1.86,2,48,38,2.4,46,2.08,25,72.0,5.71,1.43,2,42,38,0.0,20,1.07,0,24,8,11,5,28,0
74.0,2.96,1.37,2,54,44,2.1,0,0.0,28,73.0,2.53,3.6,2,52,56,0.5,34,3.78,83,13,8,11,4,27,35
77.0,1.98,3.04,4,62,61,0.8,77,0.52,69,78.0,2.99,2.13,2,40,52,1.1,27,2.1,30,34,10,28,9,34,28
68.0,3.57,3.18,2,50,51,1.5,37,2.14,56,70.0,4.08,4.17,2,28,57,0.1,38,0.63,77,16,9,21,12,26,25
76.0,2.68,3.63,2,50,55,0.8,48,2.17,47,76.0,2.71,2.97,2,35,56,0.0,75,0.44,81,26,11,21,8,28,40
74.0,2.65,3.28,2,42,59,0.3,12,0.12,60,77.0,3.13,3.37,1,39,58,1.0,25,0.52,71,12,6,26,12,29,32
82.0,1.28,3.33,2,56,54,0.2,56,2.3,52,78.0,3.07,3.4,2,61,46,0.9,0,0.0,40,29,9,8,6,34,33
75.0,5.76,3.63,2,34,55,0.7,30,0.65,80,77.0,5.0,4.79,4,41,60,0.3,28,0.56,100,7,6,12,5,23,28
77.0,1.65,2.27,2,35,67,1.2,65,2.51,38,73.0,2.5,1.47,1,43,49,0.0,0,0.0,16,34,15,21,16,32,27
80.0,2.7,1.55,2,52,46,2.0,16,1.43,35,72.0,2.8,4.96,1,44,66,0.0,33,0.25,60,26,16,12,4,34,37
77.0,3.13,3.33,2,49,44,1.2,48,2.2,59,76.0,3.64,1.59,2,44,43,0.1,42,0.43,36,26,14,20,10,29,30
71.0,1.64,1.11,2,57,54,0.0,63,2.65,14,75.0,2.32,2.34,2,43,60,1.3,36,3.65,31,16,9,12,5,30,28
72.0,3.21,3.95,2,54,56,0.6,43,1.63,36,70.0,2.25,2.57,2,43,60,0.3,41,0.61,39,21,5,20,12,25,33
79.0,3.97,2.14,2,24,68,0.8,44,1.55,66,77.0,2.39,1.93,2,27,67,0.9,33,0.47,79,11,7,10,4,25,29
74.0,1.57,2.59,4,53,61,0.4,65,1.21,75,75.0,2.42,2.14,2,37,63,0.0,44,2.98,73,24,8,24,8,31,30
68.0,2.64,1.98,2,39,46,0.9,20,2.05,38,73.0,1.36,2.14,5,53,53,1.2,50,2.95,35,11,7,45,9,35,36
72.0,4.56,5.13,4,51,52,0.7,100,1.42,56,73.0,2.5,1.47,1,43,49,0.0,0,0.0,16,10,6,21,16,31,27
74.0,3.06,2.03,2,36,49,1.8,54,1.67,47,74.0,1.1,3.08,4,43,62,0.4,59,3.81,66,14,8,29,14,28,32
68.0,2.39,3.6,2,39,69,0.3,31,2.36,65,67.0,2.71,2.17,2,35,55,0.4,46,4.09,56,22,7,36,4,28,36
74.0,2.84,2.74,2,45,60,1.5,35,1.8,70,71.0,1.5,1.39,4,46,55,2.0,34,2.67,43,27,14,33,6,34,32
76.0,4.14,2.79,2,47,46,0.9,33,1.72,85,74.0,3.54,2.72,2,52,59,0.2,0,0.0,76,13,5,8,7,26,30
72.0,2.48,1.79,2,35,56,0.7,28,0.99,44,71.0,3.45,1.99,2,40,58,0.0,50,0.65,40,12,8,15,8,25,27
77.0,3.13,3.37,1,39,58,1.0,25,0.52,71,72.0,3.28,2.79,2,43,60,0.0,0,0.0,60,26,12,6,3,32,32
69.0,10.91,0.47,2,33,19,0.0,0,0.0,0,70.0,3.67,0.85,4,36,36,2.8,28,1.41,25,7,5,13,6,34,35
72.0,2.47,3.43,2,34,60,0.1,57,1.05,59,67.0,4.32,2.88,2,46,67,0.7,43,4.88,0,15,13,3,4,28,30
74.0,2.19,2.79,2,40,60,0.6,53,0.97,62,75.0,2.07,4.1,4,44,62,0.7,66,1.31,63,35,12,29,7,33,35
77.0,2.33,6.37,2,57,57,0.4,45,5.13,85,82.0,1.28,3.33,2,56,54,0.2,56,2.3,52,14,3,29,9,27,34
77.0,3.61,1.36,2,19,53,0.0,0,0.0,0,73.0,1.89,2.11,4,50,63,0.3,40,0.19,78,6,6,31,11,36,35
77.0,2.29,2.36,2,37,54,0.6,50,1.06,61,77.0,3.58,3.23,2,50,51,1.3,40,0.2,66,15,6,22,13,30,26
70.0,1.9,1.91,4,49,50,0.5,31,1.95,37,70.0,3.03,3.17,4,43,64,0.8,30,0.67,60,26,15,25,9,34,33
74.0,3.44,2.46,2,35,51,0.4,35,0.73,35,70.0,2.79,2.72,4,39,65,1.4,48,1.6,47,25,10,20,9,27,36
73.0,4.14,2.35,2,26,51,0.8,0,0.0,33,73.0,2.53,2.16,2,35,67,1.4,30,0.43,39,12,6,15,5,26,23
70.0,2.67,3.87,2,32,65,0.3,32,0.87,65,69.0,1.55,1.14,2,35,66,2.5,100,1.22,25,23,11,6,3,30,30
75.0,2.89,2.17,4,39,59,0.6,35,1.76,77,72.0,4.47,4.44,2,47,55,0.5,25,0.27,56,17,6,11,6,22,30
70.0,2.61,3.22,2,37,59,1.5,60,1.34,30,77.0,1.83,1.56,2,40,62,3.5,22,1.17,0,12,4,11,5,25,28
72.0,6.06,1.51,2,23,36,1.0,0,0.0,80,84.0,4.0,3.13,2,47,46,1.7,50,0.58,55,9,3,33,12,29,21
75.0,1.8,3.4,2,40,62,0.9,43,2.61,60,71.0,2.17,3.8,4,41,62,0.9,48,2.53,63,17,2,19,9,22,25
70.0,2.46,2.45,2,33,65,0.7,37,3.32,69,72.0,2.91,2.75,4,38,57,0.9,25,1.62,47,35,16,31,12,28,28
75.0,2.03,1.82,2,45,50,3.8,22,1.27,66,75.0,3.75,2.11,2,37,51,0.7,55,1.18,19,7,4,18,12,31,27
74.0,4.3,2.74,2,38,52,0.8,50,0.28,47,68.0,3.03,3.76,2,45,58,2.4,55,0.7,55,9,5,31,18,29,35
69.0,4.09,3.68,2,40,62,0.0,35,0.74,75,73.0,4.57,2.52,2,33,51,0.0,0,0.0,74,22,16,13,6,25,28
76.0,3.78,4.62,4,45,53,1.4,30,1.19,42,70.0,2.44,2.05,2,44,60,2.2,44,2.75,39,21,12,31,14,24,27
68.0,1.85,2.96,2,40,66,0.2,63,1.3,61,71.0,2.51,1.95,4,31,63,0.8,53,4.08,92,48,15,40,14,26,26
71.0,4.23,3.16,2,29,60,0.6,57,2.21,50,73.0,3.59,4.55,2,35,65,0.7,50,0.93,76,14,5,18,13,25,32
76.0,2.26,3.29,2,38,57,0.4,60,3.55,82,72.0,4.62,0.51,2,50,57,5.1,0,0.0,20,19,4,19,4,27,30
71.0,3.82,2.18,2,36,53,0.0,0,0.0,0,76.0,3.77,2.83,2,50,50,1.0,45,1.2,71,6,6,5,3,25,25
71.0,3.7,2.01,2,39,62,1.4,0,0.0,26,71.0,2.94,5.04,2,38,61,0.0,0,0.0,0,21,12,9,4,29,22
73.0,1.99,1.71,2,39,63,1.2,31,1.42,63,76.0,1.65,2.61,2,50,54,0.8,51,3.6,56,15,8,27,5,28,31
81.0,2.11,3.53,2,72,50,0.5,55,3.9,60,79.0,3.84,2.18,4,47,38,2.0,40,2.02,54,5,3,18,11,32,30
70.0,3.42,3.73,2,41,62,0.3,60,0.71,63,76.0,1.4,3.78,2,53,72,1.1,74,4.16,83,28,15,26,2,26,28
74.0,2.7,2.44,2,47,51,0.3,52,1.52,57,75.0,2.71,4.33,2,38,65,0.3,43,1.05,63,32,15,31,9,39,30
