weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,win_rate_diff
11,67.0,3.33,3.39,2,45,64,0.9,26,1.14,64,135.0,69.0,2.63,4.34,2,49,55,0.7,47,2.33,80,135.0,10,8,0,19,4,0,30,30,67,68,-0.27053140096618356
7,71.0,3.01,3.75,4,43,59,0.1,35,0.8,62,185.0,72.0,2.81,2.54,2,46,62,1.4,38,2.46,60,185.0,16,5,0,26,8,0,27,39,69,73,-0.0028011204481792618
14,64.0,3.2,3.55,5,44,51,1.8,38,1.53,28,115.0,63.0,4.07,3.24,2,32,64,0.9,8,0.46,0,115.0,4,5,0,7,1,0,27,25,63,64,-0.4305555555555556
0,67.0,4.27,5.36,2,40,56,0.6,58,0.56,67,135.0,66.0,5.98,5.01,5,45,54,0.6,26,1.25,84,135.0,31,9,0,19,10,0,28,32,63,66,0.1198275862068966
7,74.0,2.83,1.59,4,46,50,0.6,60,1.02,53,185.0,74.0,1.57,2.59,4,53,61,0.4,65,1.21,75,185.0,26,14,0,24,8,0,41,40,72,73,-0.09999999999999998
7,78.0,2.44,1.9,4,42,53,0.5,53,2.69,84,185.0,74.0,1.8,3.16,4,52,64,0.8,57,1.07,53,185.0,14,8,0,9,2,0,33,28,73,73,-0.18181818181818188
4,74.0,6.08,3.98,2,51,52,0.0,37,1.54,100,264.0,80.0,3.61,3.53,2,51,49,2.4,39,2.69,20,240.0,14,6,0,57,13,1,27,41,75,74,-0.10281690140845079
6,70.0,2.8,2.74,2,39,57,0.7,50,2.42,100,155.0,66.0,3.61,2.65,4,35,59,0.0,33,0.86,83,155.0,10,3,0,14,5,0,32,34,66,66,0.03238866396761142
10,76.0,3.62,4.34,2,35,64,0.5,57,1.37,81,170.0,73.0,3.03,4.18,2,39,61,0.6,14,0.45,48,170.0,20,3,0,21,6,0,27,32,73,71,0.09178743961352653
10,72.0,3.69,3.01,2,46,50,1.0,52,1.39,75,170.0,74.0,2.2,1.41,2,45,56,0.0,38,1.76,100,170.0,14,4,0,15,3,0,27,34,71,71,-0.05555555555555558
7,78.0,2.99,2.13,2,40,52,1.1,27,2.1,30,185.0,77.0,2.56,5.13,2,48,56,0.7,36,2.23,77,185.0,28,9,0,20,5,0,37,30,73,73,-0.043243243243243246
10,76.0,1.73,2.38,4,43,70,0.2,22,1.5,80,170.0,77.0,3.7,3.23,2,38,47,0.0,20,1.85,50,170.0,18,4,0,13,1,0,31,36,70,72,-0.11038961038961037
7,81.0,3.64,0.65,2,26,21,0.0,0,0.0,0,205.0,73.0,3.96,2.75,2,48,52,1.1,26,1.08,80,185.0,8,3,0,11,3,0,29,30,76,73,-0.058441558441558406
10,76.0,2.17,4.6,5,52,60,0.2,50,3.44,100,170.0,72.0,2.01,1.82,4,43,63,1.0,25,2.49,61,170.0,16,1,0,28,9,0,31,41,72,73,0.18441971383147848
14,66.0,3.61,5.25,2,41,63,0.6,33,0.19,63,115.0,66.0,1.45,4.82,0,65,48,0.6,62,6.47,100,115.0,11,3,0,9,0,0,25,28,65,65,-0.2142857142857143
5,77.0,2.24,5.03,4,52,57,0.4,16,0.39,84,205.0,77.0,2.82,3.72,5,51,66,0.0,33,0.18,51,185.0,12,0,0,13,4,0,29,34,76,71,0.23529411764705888
0,69.0,2.14,1.37,2,40,52,0.9,60,1.79,64,145.0,68.0,1.95,2.8,4,52,51,0.3,50,2.8,75,135.0,7,2,0,8,5,0,27,39,68,66,0.16239316239316237
13,69.0,3.42,5.02,2,53,67,0.5,46,1.75,62,125.0,64.0,3.61,1.9,4,45,38,0.8,100,0.8,46,125.0,11,3,0,6,3,1,29,23,66,64,0.18571428571428572
10,71.0,3.59,4.78,2,42,65,0.0,54,1.05,78,170.0,75.0,5.34,5.18,2,53,51,1.0,50,0.82,64,170.0,14,4,0,17,7,1,32,27,70,71,0.09777777777777774
10,67.0,2.49,2.44,2,47,58,0.6,36,4.11,50,170.0,75.0,2.75,2.47,4,32,53,0.8,28,0.75,62,185.0,26,3,0,23,7,0,37,34,66,72,0.12988505747126433
3,70.0,3.24,3.12,2,34,63,0.6,43,2.02,62,125.0,67.0,3.47,4.4,2,46,56,1.4,31,0.96,60,125.0,16,5,1,21,4,0,25,28,67,65,-0.11272727272727268
14,67.0,2.77,3.65,2,58,55,0.0,100,1.27,88,115.0,66.0,7.22,5.4,2,44,58,0.3,0,0.0,83,115.0,8,2,0,6,3,0,30,29,68,64,0.13333333333333341
