reach,sapm,slpm,stance,stk_acc,stk_def,sub_avg,td_acc,td_avg,td_def,weight,wins,losses,draws,age,height
2.0,-5.699999999999999,-3.0600000000000005,2.0,-6.0,2.0,1.2,37.0,1.55,-19.0,0.0,4.0,4.0,0.0,-1.0,-2.0
-1.0,0.08999999999999986,0.6600000000000001,0.0,-11.0,11.0,0.5,16.0,-2.28,-25.0,0.0,11.0,5.0,-1.0,4.0,3.0
6.0,-0.25,0.41000000000000014,1.0,9.0,0.0,-0.19999999999999996,-45.0,-1.43,5.0,0.0,4.0,-4.0,-1.0,4.0,4.0
5.0,0.8500000000000005,1.4499999999999997,0.0,-15.0,5.0,-0.7,-20.0,-1.5299999999999998,-19.0,0.0,-9.0,0.0,0.0,-1.0,4.0
5.0,-0.9199999999999999,-1.0200000000000002,0.0,-6.0,-4.0,0.09999999999999998,10.0,2.25,-6.0,0.0,-10.0,-9.0,0.0,-9.0,2.0
7.0,0.6500000000000001,-0.3700000000000001,3.0,2.0,-22.0,0.0,-24.0,-0.27,-17.0,0.0,-3.0,4.0,0.0,1.0,2.0
1.0,-0.4900000000000002,0.7399999999999998,-2.0,14.0,1.0,0.5000000000000001,-19.0,-4.53,-3.0,0.0,-4.0,-3.0,0.0,1.0,2.0
3.0,-0.9499999999999997,-0.16000000000000014,2.0,4.0,3.0,0.1,13.0,0.3599999999999999,8.0,0.0,4.0,-3.0,0.0,-2.0,0.0
-2.0,-0.5100000000000002,0.41999999999999993,-2.0,0.0,14.0,0.29999999999999993,11.0,1.1800000000000002,5.0,0.0,4.0,-3.0,0.0,0.0,-2.0
2.0,1.5399999999999996,-0.52,-2.0,-8.0,-5.0,0.0,-25.0,-0.29999999999999993,-71.0,0.0,-2.0,0.0,0.0,2.0,1.0
0.0,-0.71,-0.7799999999999998,2.0,-2.0,-2.0,-0.30000000000000004,-5.0,0.32000000000000006,18.0,0.0,18.0,5.0,0.0,8.0,0.0
-6.0,1.38,0.6500000000000001,0.0,18.0,11.0,-0.4,42.0,1.32,42.0,-5.0,-1.0,-1.0,0.0,6.0,-4.0
-2.0,-0.79,0.3900000000000001,-2.0,-15.0,9.0,-1.2,-40.0,-2.8,2.0,0.0,12.0,4.0,1.0,-2.0,-1.0
6.0,0.07000000000000028,-1.88,-2.0,0.0,-2.0,0.09999999999999998,16.0,2.34,30.0,0.0,-5.0,3.0,0.0,4.0,2.0
2.0,-0.98,-0.10999999999999988,0.0,-1.0,-8.0,0.8,-2.0,2.74,-6.0,15.0,-2.0,-3.0,0.0,-6.0,-2.0
2.0,1.2599999999999998,0.9899999999999998,0.0,10.0,-8.0,0.2,19.0,-1.2999999999999998,-5.0,0.0,4.0,4.0,-1.0,-2.0,2.0
0.0,-3.19,-2.4399999999999995,2.0,16.0,6.0,0.0,66.0,0.96,-41.0,14.0,-3.0,-4.0,0.0,2.0,-3.0
-2.0,0.28,2.7800000000000002,0.0,8.0,1.0,0.1,8.0,-1.7199999999999998,25.0,20.0,-1.0,1.0,0.0,-3.0,1.0
0.0,-2.79,1.4399999999999995,0.0,5.0,11.0,0.30000000000000004,-19.0,-1.8100000000000003,-27.0,0.0,3.0,1.0,0.0,3.0,0.0
-4.0,-1.8299999999999996,-1.9500000000000006,-1.0,-4.0,4.0,1.6,9.0,1.37,-31.0,0.0,11.0,5.0,0.0,7.0,-4.0
2.0,-1.1699999999999997,1.08,2.0,9.0,4.0,0.1,-8.0,-1.5900000000000003,-8.0,0.0,-1.0,-3.0,0.0,4.0,4.0
-1.0,-1.5899999999999999,0.79,0.0,-3.0,-10.0,-0.2,-6.0,0.21999999999999975,9.0,0.0,-6.0,1.0,0.0,1.0,0.0
-2.0,0.040000000000000036,-1.25,0.0,-7.0,-13.0,0.0,49.0,1.0,-23.0,0.0,9.0,5.0,0.0,9.0,-1.0
-3.0,1.17,-0.1900000000000004,0.0,4.0,-4.0,0.1,-9.0,-0.4900000000000002,-55.0,0.0,-4.0,3.0,0.0,9.0,-1.0
0.0,-0.75,0.4700000000000002,-2.0,0.0,1.0,0.8,-23.0,-0.9699999999999999,1.0,0.0,-17.0,-5.0,-2.0,-5.0,1.0
-2.0,0.7000000000000002,-0.9499999999999997,0.0,-4.0,9.0,0.20000000000000007,-21.0,-1.1900000000000002,-16.0,0.0,-9.0,4.0,0.0,0.0,-1.0
-1.0,0.19999999999999973,1.21,2.0,-3.0,-3.0,-1.2999999999999998,-3.0,-1.66,2.0,0.0,-10.0,-3.0,0.0,-12.0,-4.0
1.0,-0.8700000000000001,0.3099999999999996,3.0,12.0,-13.0,0.9,30.0,1.07,28.0,0.0,-3.0,4.0,0.0,2.0,-1.0
1.0,-1.7100000000000009,0.35000000000000053,-3.0,-5.0,2.0,0.0,32.0,-0.69,-17.0,0.0,12.0,-1.0,0.0,-4.0,-3.0
0.0,1.26,-0.9999999999999998,0.0,-7.0,-11.0,0.19999999999999996,-5.0,-0.18999999999999995,-22.0,0.0,2.0,6.0,0.0,1.0,-1.0
4.0,0.6399999999999999,-1.2600000000000002,0.0,-10.0,-11.0,-0.30000000000000004,-4.0,1.6199999999999999,31.0,0.0,5.0,6.0,0.0,5.0,0.0
-6.0,2.47,0.4500000000000002,0.0,0.0,3.0,-2.4,-2.0,-1.15,80.0,24.0,-43.0,-7.0,-1.0,-14.0,1.0
