iter	Logloss
154	0.527675963
155	0.5272616493
156	0.5267163995
157	0.5263523867
158	0.5257073777
159	0.5254328294
160	0.5250646401
161	0.5245052122
162	0.5239289319
163	0.523505789
164	0.5230320888
165	0.522599787
166	0.5221487277
167	0.5217223608
168	0.521311381
169	0.5210023951
170	0.5205789591
171	0.5203260992
172	0.5199083418
173	0.5195035167
174	0.5190961272
175	0.5187397713
176	0.5183421269
177	0.5178933023
178	0.5173971444
179	0.5170463571
180	0.5168143796
181	0.5164619803
182	0.5161272395
183	0.5157952097
184	0.5154730349
185	0.5150166634
186	0.5148050553
187	0.5143242111
188	0.513959832
189	0.5136846975
190	0.5133100237
191	0.5130341199
192	0.5127390189
193	0.5123411181
194	0.511890535
195	0.5115688365
196	0.5112587882
197	0.5109923364
198	0.5107401359
199	0.5103889456
200	0.5100370959
201	0.5096042812
202	0.5092725811
203	0.5090101592
204	0.5087784381
205	0.5084405466
206	0.5081836934
207	0.5078209262
208	0.5075009496
209	0.5071738656
210	0.5067483048
211	0.5064397219
212	0.5060817906
213	0.5058194054
214	0.5055037518
215	0.5051532942
216	0.5047663475
217	0.5045744128
218	0.5041037167
219	0.5039290374
220	0.50367321
221	0.5034175291
222	0.5031562796
223	0.5029576772
224	0.5026371511
225	0.5022689251
226	0.5019107374
227	0.5016526386
228	0.5013191067
229	0.5009910703
230	0.5006850152
231	0.5002843667
232	0.5000227142
233	0.49971959
234	0.4993749209
235	0.4991385837
236	0.498854217
237	0.4984831335
238	0.4982554423
239	0.4977885563
240	0.4974687995
241	0.497214291
242	0.4969575477
243	0.4965356504
244	0.4962649122
245	0.4960417639
246	0.4957673255
247	0.4954550424
248	0.4950589367
249	0.4948552419
250	0.4944521021
251	0.4941905595
252	0.4938140539
253	0.493575372
254	0.4931921988
255	0.4929350524
256	0.4927059691
257	0.4924821247
258	0.4920582857
259	0.4918055357
260	0.4914933625
261	0.4911872708
262	0.4908697121
263	0.4906134084
264	0.4902942378
265	0.4901011674
266	0.489834679
267	0.4894507363
268	0.4891098773
269	0.4888407878
270	0.4885747023
271	0.4883539353
272	0.4881108938
273	0.4879058801
274	0.4876687736
275	0.4873614729
276	0.4870018564
277	0.4867762535
278	0.4865559994
279	0.4863040187
280	0.4859847748
281	0.485714293
282	0.4855122835
283	0.485232423
284	0.4850016545
285	0.4846304244
286	0.4843870165
287	0.4840674795
288	0.4838635283
289	0.4836302685
290	0.4833821712
291	0.4830033576
292	0.4826972293
293	0.4824370056
294	0.4821909232
295	0.4817114346
296	0.4815096449
297	0.4811719365
298	0.4809534776
299	0.4806197992
300	0.4803921813
301	0.4801922966
302	0.479979736
303	0.4798032983
304	0.4795154146
305	0.479187891
306	0.4790636958
307	0.4788978091
308	0.4786910736
309	0.4784522818
310	0.4782780788
311	0.4780791467
312	0.4777756562
313	0.4775155057
314	0.4774078699
315	0.4771614212
316	0.4769244246
317	0.4766115186
318	0.4762546132
319	0.4759532109
320	0.4756437487
321	0.4752872096
322	0.4750745025
323	0.4748820915
324	0.4747183297
325	0.4743390765
326	0.4741619792
327	0.4739258252
328	0.4736458548
329	0.4734958681
330	0.4733419613
331	0.4730386173
332	0.4726763264
333	0.472481241
334	0.472149944
335	0.4719193586
336	0.4716418794
337	0.4713859421
338	0.4711538912
339	0.4709153925
340	0.4706671487
341	0.47042865
342	0.4702585502
343	0.4698698815
344	0.4696322254
345	0.469418236
346	0.469182888
347	0.4689029176
348	0.4685838569
349	0.4683809681
350	0.4681329807
351	0.467888547
352	0.467586412
353	0.4674341905
354	0.4672640541
355	0.4671078026
356	0.4668752022
357	0.4665835084
358	0.4662420266
359	0.4660531693
360	0.465881311
361	0.4656978392
362	0.4654882094
363	0.465292428
364	0.4650282476
365	0.464729593
366	0.4645782874
367	0.4644069053
368	0.4641433478
369	0.4638178758
370	0.4635500318
371	0.4632988205
372	0.4631103662
373	0.4627339705
374	0.4625885633
375	0.4624592024
376	0.4622123508
377	0.4619988376
378	0.4617265974
379	0.4614325955
380	0.4612019368
381	0.4609658927
382	0.4607468476
383	0.4605539237
384	0.4603056799
385	0.4601497948
386	0.4599728808
387	0.4597261756
388	0.4595392967
389	0.4593272123
390	0.4590383395
391	0.4587980456
392	0.4585403497
393	0.4581337296
394	0.4579683924
395	0.4577798282
396	0.4574326313
397	0.4571829953
398	0.4571646041
399	0.4569973253
400	0.4566922961
401	0.456464898
402	0.4562973993
403	0.4560610621
404	0.4557732517
405	0.4556052401
406	0.4554038901
407	0.4552803177
408	0.455100253
409	0.4548353033
410	0.454654286
411	0.4544220887
412	0.4542163789
413	0.4540301228
414	0.4537890229
415	0.4535907136
416	0.4534051169
417	0.4531279309
418	0.4529041231
419	0.4526169354
420	0.4524023232
421	0.4522013029
422	0.4520095147
423	0.4518736694
424	0.45160828
425	0.451394657
426	0.4511167382
427	0.4509653227
428	0.4507864669
429	0.4506157443
430	0.4502755448
431	0.4500528727
432	0.4497646593
433	0.4495034098
434	0.4491667639
435	0.4490209902
436	0.4488240731
437	0.4487187453
438	0.4485543607
439	0.4481939749
440	0.447993504
441	0.4477900657
442	0.4476248385
443	0.4472953
444	0.4470122522
445	0.4468036849
446	0.4465296128
447	0.4463573515
448	0.4462026388
449	0.4459768527
450	0.445783709
451	0.445561733
452	0.4453781513
453	0.4452101397
454	0.4449342359
455	0.4447276836
456	0.4445013845
457	0.4441855111
458	0.4439629856
459	0.4438068074
460	0.4435171285
461	0.443283539
462	0.4429965346
463	0.4428669173
464	0.4427465688
465	0.4425153973
466	0.4423296174
467	0.4420983726
468	0.4417371807
469	0.4414471355
470	0.4412593407
471	0.4409915333
472	0.4406649989
473	0.4403489423
474	0.4400845055
475	0.4399077014
476	0.4396319807
477	0.4392416635
478	0.4390148882
479	0.438773825
480	0.4386468455
481	0.4384325996
482	0.4380312183
483	0.4377235147
484	0.4374359973
485	0.4372658609
486	0.4369637626
487	0.4368662016
488	0.4365109813
489	0.4362731421
490	0.4358844734
491	0.4357340104
492	0.4354152794
493	0.4351038755
494	0.4348855631
495	0.4346738085
496	0.4343210795
497	0.4339117117
498	0.4337437368
499	0.4334732917
500	0.4332077558
501	0.4330099227
502	0.4328589102
503	0.4325354165
504	0.4322735808
505	0.431980678
506	0.4316032565
507	0.4313733306
508	0.4311778056
509	0.4309581743
510	0.4306815011
511	0.430296496
512	0.4301379365
513	0.4299492624
514	0.4297213881
515	0.4295038084
516	0.4293857313
517	0.4291244818
518	0.4288654304
519	0.428754131
520	0.4284599094
521	0.4281633796
522	0.4278588633
523	0.4275426601
524	0.4272826929
525	0.4269116826
526	0.4265332354
527	0.4263793652
528	0.4261279707
529	0.4259189271
530	0.425674237
531	0.4254938792
532	0.4251656229
533	0.4249269776
534	0.4245957905
535	0.4242791111
536	0.4240605055
537	0.4239029718
538	0.4235718946
539	0.4233156275
540	0.4229319413
541	0.4227138487
542	0.4225236359
543	0.4222231129
544	0.4219055176
545	0.4215726085
546	0.4211222086
547	0.4209207487
548	0.4207919374
549	0.4205103917
550	0.4203500004
551	0.420146965
552	0.4199039601
553	0.4197228696
554	0.4195624783
555	0.4193399528
556	0.4191163282
557	0.4188452969
558	0.4185700892
559	0.4184073165
560	0.4180088295
561	0.4177342079
562	0.4175206215
563	0.4173352813
564	0.4169074857
565	0.416823773
566	0.4165902201
567	0.4163429288
568	0.4160000548
569	0.4158712435
570	0.4155825172
571	0.4154512513
572	0.4152322794
573	0.4148265385
574	0.4146299511
575	0.4143878987
576	0.4140429365
577	0.4138577794
578	0.4135198513
579	0.413299817
580	0.413164338
581	0.4130092222
582	0.4127241961
583	0.4124777841
584	0.4121912925
585	0.4118958619
586	0.411657876
587	0.4112855836
588	0.4110464987
589	0.410879403
590	0.4104250465
591	0.4101023588
592	0.4100154222
593	0.4098038141
594	0.4095265548
595	0.4093209549
596	0.4090780599
597	0.4088074317
598	0.4086681059
599	0.4085323338
600	0.4083791964
601	0.4080265407
602	0.407847685
603	0.4076119339
604	0.407406444
605	0.4070435303
606	0.4068758485
607	0.4064366958
608	0.406199809
609	0.4059169811
610	0.4055857573
611	0.4053530836
612	0.4050525972
613	0.4046677753
614	0.4044149154
615	0.4040233891
616	0.4036124826
617	0.4032275508
618	0.4029548343
619	0.4029437703
620	0.402694867
621	0.4024712424
622	0.4022240244
623	0.4020686155
624	0.4016959933
625	0.4014454048
626	0.401185694
627	0.4009582593
628	0.4006361944
629	0.4003221528
630	0.4000321808
631	0.3998130991
632	0.3994733391
633	0.3992153136
634	0.3988734654
635	0.3985197839
636	0.3981435714
637	0.3978080246
638	0.3974637951
639	0.3971766441
640	0.396882862
641	0.3966162271
642	0.3963987206
643	0.3963843594
644	0.3961679887
645	0.3958999249
646	0.395678242
647	0.395428203
648	0.3952677018
649	0.3950906046
650	0.3949185998
651	0.3946794416
652	0.3944945776
653	0.3943277751
654	0.393932915
655	0.3939207519
656	0.3937394782
657	0.3934723303
658	0.3931291267
659	0.3929304876
660	0.3925940249
661	0.3922549244
662	0.3920430965
663	0.3920007456
664	0.3916653087
665	0.3916528892
666	0.3914566681
667	0.3912183526
668	0.390872621
669	0.3905108796
670	0.3903048768
671	0.3901438261
672	0.3899755581
673	0.3895986862
674	0.3893675879
675	0.389062925
676	0.3888250857
677	0.3885379347
678	0.3882182512
679	0.387908386
680	0.3876917955
681	0.3874335134
682	0.3872369993
683	0.3870954754
684	0.3868523972
685	0.3865320542
686	0.3863052789
687	0.3859766563
688	0.3856595373
689	0.3852442344
690	0.3850311609
691	0.3847994032
692	0.3846734495
693	0.3844091225
694	0.3841801125
695	0.3839420167
696	0.3836830386
697	0.3834366999
698	0.383419188
699	0.3832620939
700	0.3829483087
701	0.382660828
702	0.3824459227
703	0.3822673234
704	0.382047802
705	0.3820360786
706	0.3818042842
707	0.3815821983
708	0.381383486
709	0.3811280982
710	0.3809527229
711	0.3807413346
712	0.3805017368
713	0.3801917984
714	0.3799607001
715	0.3796583086
716	0.379412153
717	0.3792644743
718	0.3790481769
719	0.3787412792
720	0.3785565984
721	0.3782465867
722	0.3780122645
723	0.3778036605
724	0.3774923666
725	0.3772267208
726	0.3770535069
727	0.3768384551
728	0.3766438094
729	0.3764154954
730	0.3761555648
731	0.3759974449
732	0.375769827
733	0.3755997272
734	0.3753056887
735	0.3750635264
736	0.3748230127
737	0.3745794949
738	0.3743386515
739	0.3741093117
740	0.373906716
741	0.3736112487
742	0.3732835419
743	0.3729511824
744	0.3726085649
745	0.3723888603
746	0.3720852599
747	0.3717808168
748	0.3713705697
749	0.3711466887
750	0.3709320764
751	0.3705502587
752	0.3704010413
753	0.3702125137
754	0.3699817085
755	0.3698109126
756	0.369494966
757	0.3691505899
758	0.368903665
759	0.3686553112
760	0.3682797582
761	0.3681005727
762	0.3678088423
763	0.3675266738
764	0.3673490636
765	0.3670779225
766	0.367008974
767	0.3668572654
768	0.3666186567
769	0.3664254764
770	0.3661920335
771	0.3659175218
772	0.3657449308
773	0.365648652
774	0.3653091119
775	0.3650593294
776	0.3648703988
777	0.3648327007
778	0.3645228355
779	0.3641340569
780	0.3638703895
781	0.3637539977
782	0.3635271491
783	0.3633052098
784	0.3630153477
785	0.3627440234
786	0.3625393028
787	0.362516149
788	0.3622901431
789	0.3621753633
790	0.3618148309
791	0.3615315267
792	0.3612473065
793	0.3612375981
794	0.3610021401
795	0.3608058458
796	0.3605929188
797	0.3603753391
798	0.3601982419
799	0.359893982
800	0.3596344544
801	0.3594907323
802	0.3592228151
803	0.3589296925
804	0.3587433631
805	0.3586186183
806	0.3584577874
807	0.358247718
808	0.3580407993
809	0.3578560819
810	0.3576809264
811	0.3574752533
812	0.3572947856
813	0.3572852969
814	0.3569571872
815	0.35680775
816	0.3566613901
817	0.3565395763
818	0.35627056
819	0.3560863921
820	0.3558774584
821	0.3556339772
822	0.3553388396
823	0.3551582254
824	0.3549781241
825	0.354754243
826	0.3544222865
827	0.3542147083
828	0.354022737
829	0.3537430964
830	0.3535313784
831	0.3533191108
832	0.3531455307
833	0.3528572073
834	0.3526523402
835	0.3524521625
836	0.352154607
837	0.3519606939
838	0.3517485363
839	0.351543596
840	0.3512985761
841	0.3510221227
842	0.3507205372
843	0.3503950653
844	0.3502620775
845	0.3499730214
846	0.349648099
847	0.3494923238
848	0.3491681707
849	0.348907141
850	0.3486553801
851	0.3483832864
852	0.3482025623
853	0.348131379
854	0.3479605832
855	0.3477713595
856	0.3474285588
857	0.3471227969
858	0.3468623167
859	0.3466323541
860	0.3463911077
861	0.3461851782
862	0.3459339302
863	0.3457226152
864	0.3456441781
865	0.3454498987
866	0.3452470832
867	0.3450231655
868	0.3447696828
869	0.3445742311
870	0.3442616549
871	0.3440247315
872	0.3439894879
873	0.3437438452
874	0.3435369265
875	0.3433833861
876	0.3433368953
877	0.3431649271
878	0.3429705745
879	0.3428184628
880	0.3426351742
881	0.342532301
882	0.3424653309
883	0.3422062795
884	0.3420854548
885	0.3418389328
886	0.3416062592
887	0.3412573037
888	0.3411329986
889	0.3409948452
890	0.3407990271
891	0.3406219666
892	0.340371378
893	0.3401973216
894	0.3398490988
895	0.3396054345
896	0.3393707092
897	0.3390901527
898	0.3387323679
899	0.3384553284
900	0.3382674237
901	0.3381129307
902	0.3379299718
903	0.3377379638
904	0.3375503888
905	0.3373679428
906	0.3372166738
907	0.336915821
908	0.3366547913
909	0.3364022245
910	0.336106574
911	0.3358682951
912	0.3357131793
913	0.3354287027
914	0.3351192039
915	0.3351094955
916	0.3347813491
917	0.3344597238
918	0.3342337912
919	0.3339921418
920	0.3337153953
921	0.3334627186
922	0.3333300605
923	0.3331098064
924	0.3328427318
925	0.3325570463
926	0.3322874804
927	0.3320945566
928	0.3319539852
929	0.3317945831
930	0.3315639244
931	0.3314197261
932	0.3312801439
933	0.3310196271
934	0.3307916428
935	0.3305869955
936	0.3303840335
937	0.3302104167
938	0.3300446766
939	0.3300371296
940	0.3298078997
941	0.3294736352
942	0.329264042
943	0.3290695062
944	0.3289765247
945	0.3287389785
946	0.3285361996
947	0.328362766
948	0.328182225
949	0.3280463064
950	0.3279416381
951	0.3276113668
952	0.3275768926
953	0.3272743179
954	0.3269963625
955	0.326810949
956	0.3267340139
957	0.3265090704
958	0.3263511704
959	0.3262274148
960	0.325944367
961	0.3257218415
962	0.3254899372
963	0.3252530504
964	0.325076576
965	0.3248754091
966	0.3246332102
967	0.3244026615
968	0.324209701
969	0.3240356445
970	0.3237853857
971	0.3236395388
972	0.3234607564
973	0.3234548214
974	0.323282267
975	0.3230709154
976	0.3228616886
977	0.3226379907
978	0.3226282456
979	0.3223889409
980	0.3221612131
981	0.3219227877
982	0.3217691007
983	0.3216511702
984	0.3214027066
985	0.3211954948
986	0.3208950084
987	0.3207308802
988	0.3205266726
989	0.3203496853
990	0.3201250349
991	0.3199491467
992	0.3197059586
993	0.3195052679
994	0.3192902894
995	0.3191791365
996	0.3189266429
997	0.3188231836
998	0.3186055672
999	0.3184519902
.323576777999	0.3085792848
